country_id,mine_id,year_id,panamax
country_17,Mine_71,Y_23,10.46298789
country_17,Mine_71,Y_24,10.46298789
country_17,Mine_71,Y_25,10.46298789
country_17,Mine_71,Y_26,10.46298789
country_17,Mine_72,Y_10,7.344907567
country_17,Mine_72,Y_11,7.344907567
country_17,Mine_72,Y_12,6.843266605
country_17,Mine_72,Y_13,9.779232296
country_17,Mine_72,Y_14,11.47016279
country_17,Mine_72,Y_15,9.749701636
country_17,Mine_72,Y_16,10.23761451
country_17,Mine_72,Y_17,9.966642199
country_17,Mine_72,Y_18,9.84761488
country_17,Mine_72,Y_19,10.22852601
country_17,Mine_72,Y_20,10.22852601
country_17,Mine_72,Y_21,10.22852601
country_17,Mine_72,Y_22,10.22852601
country_17,Mine_72,Y_23,10.22852601
country_17,Mine_72,Y_24,10.22852601
country_17,Mine_72,Y_25,10.22852601
country_17,Mine_72,Y_26,10.22852601
country_17,Mine_73,Y_10,10.50815126
country_17,Mine_73,Y_11,9.332987225
country_17,Mine_73,Y_12,7.855370016
country_17,Mine_73,Y_13,11.26578608
country_17,Mine_73,Y_14,14.34149786
country_17,Mine_73,Y_15,13.11974098
country_17,Mine_73,Y_16,14.65281667
country_17,Mine_73,Y_17,14.25083361
country_17,Mine_73,Y_18,14.06527967
country_17,Mine_73,Y_19,14.66457952
country_17,Mine_73,Y_20,14.66457952
country_17,Mine_73,Y_21,14.66457952
country_17,Mine_73,Y_22,14.66457952
country_17,Mine_73,Y_23,14.66457952
country_17,Mine_73,Y_24,14.66457952
country_17,Mine_73,Y_25,14.66457952
country_17,Mine_73,Y_26,14.66457952
country_17,Mine_74,Y_10,5.863378307
country_17,Mine_74,Y_11,5.863378307
country_17,Mine_74,Y_12,5.360194521
country_17,Mine_74,Y_13,8.351942895
country_17,Mine_74,Y_14,10.06600435
country_17,Mine_74,Y_15,9.110330681
country_17,Mine_74,Y_16,10.39553787
country_17,Mine_74,Y_17,10.12404605
country_17,Mine_74,Y_18,10.00486288
country_17,Mine_74,Y_19,10.39695054
country_17,Mine_74,Y_20,10.39695054
country_17,Mine_74,Y_21,10.39695054
country_17,Mine_74,Y_22,10.39695054
country_17,Mine_74,Y_23,10.39695054
country_17,Mine_74,Y_24,10.39695054
country_17,Mine_74,Y_25,10.39695054
country_17,Mine_74,Y_26,10.39695054
country_17,Mine_75,Y_10,5.784907567
country_17,Mine_75,Y_11,5.784907567
country_17,Mine_75,Y_12,5.283266605
country_17,Mine_75,Y_13,8.219232296
country_17,Mine_75,Y_14,9.910162791
country_17,Mine_75,Y_15,8.969701636
country_17,Mine_75,Y_16,10.23761451
country_17,Mine_75,Y_17,9.966642199
country_17,Mine_75,Y_18,9.84761488
country_17,Mine_75,Y_19,10.22852601
country_17,Mine_75,Y_20,10.22852601
country_17,Mine_75,Y_21,10.22852601
