mine_id,country_id,year_id,cost_spec,Field
Mine_97,country_46,Y_10,0,Other penalties - extra processing costs
Mine_97,country_46,Y_10,0.436,LT Avail AA
Mine_97,country_46,Y_10,0.49,Total Alumina
Mine_97,country_46,Y_10,0.019,LT React. Silica
Mine_97,country_46,Y_10,0.02,Total Silica
Mine_97,country_46,Y_10,0.035,Monhydrate
Mine_97,country_46,Y_10,0.06,Moisture
Mine_97,country_46,Y_10,LT,Bauxite style
Mine_97,country_46,Y_10,Moderate,Total Organic Carbon
Mine_97,country_46,Y_10,Panamax,Vessel size
Mine_97,country_46,Y_10,40,Capital cost of mine (inc. all infrasturure for export)
Mine_97,country_46,Y_10,25,Life of mine
Mine_97,country_46,Y_10,2,constructiuon period for mine & infrastructure
Mine_97,country_46,Y_10,0.15,IRR
Mine_103,country_46,Y_10,0,Other penalties - extra processing costs
Mine_103,country_46,Y_10,0.456,LT Avail AA
Mine_103,country_46,Y_10,0.49,Total Alumina
Mine_103,country_46,Y_10,0.014,LT React. Silica
Mine_103,country_46,Y_10,0.015,Total Silica
Mine_103,country_46,Y_10,0.02,Monhydrate
Mine_103,country_46,Y_10,0.1,Moisture
Mine_103,country_46,Y_10,LT,Bauxite style
Mine_103,country_46,Y_10,Moderate,Total Organic Carbon
Mine_103,country_46,Y_10,Capesize,Vessel size
Mine_103,country_46,Y_10,36,Capital cost of mine (inc. all infrasturure for export)
Mine_103,country_46,Y_10,25,Life of mine
Mine_103,country_46,Y_10,4,constructiuon period for mine & infrastructure
Mine_103,country_46,Y_10,0.08,IRR
Mine_99,country_46,Y_10,0,Other penalties - extra processing costs
Mine_99,country_46,Y_10,0.4069,LT Avail AA
Mine_99,country_46,Y_10,0.466,Total Alumina
Mine_99,country_46,Y_10,0.0118,LT React. Silica
Mine_99,country_46,Y_10,0.022,Total Silica
Mine_99,country_46,Y_10,0.0473,Monhydrate
Mine_99,country_46,Y_10,0.0891,Moisture
Mine_99,country_46,Y_10,LT,Bauxite style
Mine_99,country_46,Y_10,Moderate,Total Organic Carbon
Mine_99,country_46,Y_10,Capesize,Vessel size
Mine_99,country_46,Y_10,65,Capital cost of mine (inc. all infrasturure for export)
Mine_99,country_46,Y_10,30,Life of mine
Mine_99,country_46,Y_10,3,constructiuon period for mine & infrastructure
Mine_99,country_46,Y_10,0.08,IRR
Mine_98,country_46,Y_10,0,Other penalties - extra processing costs
Mine_98,country_46,Y_10,0.35,LT Avail AA
Mine_98,country_46,Y_10,0.4,Total Alumina
Mine_98,country_46,Y_10,0.015,LT React. Silica
Mine_98,country_46,Y_10,0.028,Total Silica
Mine_98,country_46,Y_10,0.035,Monhydrate
Mine_98,country_46,Y_10,0.1,Moisture
Mine_98,country_46,Y_10,LT,Bauxite style
Mine_98,country_46,Y_10,Moderate,Total Organic Carbon
Mine_98,country_46,Y_10,Panamax,Vessel size
Mine_98,country_46,Y_10,65,Capital cost of mine (inc. all infrasturure for export)
Mine_98,country_46,Y_10,40,Life of mine
Mine_98,country_46,Y_10,4,constructiuon period for mine & infrastructure
Mine_98,country_46,Y_10,0.08,IRR
Mine_102,country_46,Y_10,0,Other penalties - extra processing costs
Mine_102,country_46,Y_10,0.368,LT Avail AA
Mine_102,country_46,Y_10,0.391,Total Alumina
Mine_102,country_46,Y_10,0.008,LT React. Silica
Mine_102,country_46,Y_10,0.015,Total Silica
Mine_102,country_46,Y_10,0.015,Monhydrate
Mine_102,country_46,Y_10,0.1,Moisture
Mine_102,country_46,Y_10,LT,Bauxite style
Mine_102,country_46,Y_10,Moderate,Total Organic Carbon
Mine_102,country_46,Y_10,Panamax,Vessel size
Mine_102,country_46,Y_10,65,Capital cost of mine (inc. all infrasturure for export)
Mine_102,country_46,Y_10,40,Life of mine
Mine_102,country_46,Y_10,4,constructiuon period for mine & infrastructure
Mine_102,country_46,Y_10,0.08,IRR
Mine_100,country_46,Y_10,0,Other penalties - extra processing costs
Mine_100,country_46,Y_10,0.405,LT Avail AA
Mine_100,country_46,Y_10,0.47,Total Alumina
Mine_100,country_46,Y_10,0.017,LT React. Silica
Mine_100,country_46,Y_10,0.045,Total Silica
Mine_100,country_46,Y_10,0,Monhydrate
Mine_100,country_46,Y_10,0.1,Moisture
Mine_100,country_46,Y_10,LT,Bauxite style
Mine_100,country_46,Y_10,Moderate,Total Organic Carbon
Mine_100,country_46,Y_10,Capesize,Vessel size
Mine_100,country_46,Y_10,18,Capital cost of mine (inc. all infrasturure for export)
Mine_100,country_46,Y_10,15,Life of mine
Mine_100,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_100,country_46,Y_10,0.15,IRR
Mine_111,country_46,Y_10,0,Other penalties - extra processing costs
Mine_111,country_46,Y_10,0.38,LT Avail AA
Mine_111,country_46,Y_10,0.42,Total Alumina
Mine_111,country_46,Y_10,0.01,LT React. Silica
Mine_111,country_46,Y_10,0.02,Total Silica
Mine_111,country_46,Y_10,0.03,Monhydrate
Mine_111,country_46,Y_10,0.1,Moisture
Mine_111,country_46,Y_10,LT,Bauxite style
Mine_111,country_46,Y_10,Moderate,Total Organic Carbon
Mine_111,country_46,Y_10,Capesize,Vessel size
Mine_111,country_46,Y_10,11.24444444,Capital cost of mine (inc. all infrasturure for export)
Mine_111,country_46,Y_10,15,Life of mine
Mine_111,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_111,country_46,Y_10,0.15,IRR
Mine_101,country_46,Y_10,0,Other penalties - extra processing costs
Mine_101,country_46,Y_10,0.458,LT Avail AA
Mine_101,country_46,Y_10,0.49,Total Alumina
Mine_101,country_46,Y_10,0.012,LT React. Silica
Mine_101,country_46,Y_10,0.028,Total Silica
Mine_101,country_46,Y_10,0.02,Monhydrate
Mine_101,country_46,Y_10,0.1,Moisture
Mine_101,country_46,Y_10,LT,Bauxite style
Mine_101,country_46,Y_10,Moderate,Total Organic Carbon
Mine_101,country_46,Y_10,Capesize,Vessel size
Mine_101,country_46,Y_10,27,Capital cost of mine (inc. all infrasturure for export)
Mine_101,country_46,Y_10,30,Life of mine
Mine_101,country_46,Y_10,2,constructiuon period for mine & infrastructure
Mine_101,country_46,Y_10,0.15,IRR
Mine_108,country_46,Y_10,0,Other penalties - extra processing costs
Mine_108,country_46,Y_10,0.416,LT Avail AA
Mine_108,country_46,Y_10,0.457,Total Alumina
Mine_108,country_46,Y_10,0.014,LT React. Silica
Mine_108,country_46,Y_10,0.023,Total Silica
Mine_108,country_46,Y_10,0.027,Monhydrate
Mine_108,country_46,Y_10,0.1,Moisture
Mine_108,country_46,Y_10,LT,Bauxite style
Mine_108,country_46,Y_10,Moderate,Total Organic Carbon
Mine_108,country_46,Y_10,Capesize,Vessel size
Mine_108,country_46,Y_10,20,Capital cost of mine (inc. all infrasturure for export)
Mine_108,country_46,Y_10,25,Life of mine
Mine_108,country_46,Y_10,2,constructiuon period for mine & infrastructure
Mine_108,country_46,Y_10,0.08,IRR
Mine_105,country_46,Y_10,0,Other penalties - extra processing costs
Mine_105,country_46,Y_10,0.425,LT Avail AA
Mine_105,country_46,Y_10,0.46,Total Alumina
Mine_105,country_46,Y_10,0.015,LT React. Silica
Mine_105,country_46,Y_10,0.02,Total Silica
Mine_105,country_46,Y_10,0.02,Monhydrate
Mine_105,country_46,Y_10,0.1,Moisture
Mine_105,country_46,Y_10,LT,Bauxite style
Mine_105,country_46,Y_10,Moderate,Total Organic Carbon
Mine_105,country_46,Y_10,Capesize,Vessel size
Mine_105,country_46,Y_10,20,Capital cost of mine (inc. all infrasturure for export)
Mine_105,country_46,Y_10,20,Life of mine
Mine_105,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_105,country_46,Y_10,0.04,IRR
Mine_104,country_46,Y_10,0,Other penalties - extra processing costs
Mine_104,country_46,Y_10,0.405,LT Avail AA
Mine_104,country_46,Y_10,0.44,Total Alumina
Mine_104,country_46,Y_10,0.015,LT React. Silica
Mine_104,country_46,Y_10,0.02,Total Silica
Mine_104,country_46,Y_10,0.02,Monhydrate
Mine_104,country_46,Y_10,0.1,Moisture
Mine_104,country_46,Y_10,LT,Bauxite style
Mine_104,country_46,Y_10,Moderate,Total Organic Carbon
Mine_104,country_46,Y_10,Capesize,Vessel size
Mine_104,country_46,Y_10,15,Capital cost of mine (inc. all infrasturure for export)
Mine_104,country_46,Y_10,20,Life of mine
Mine_104,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_104,country_46,Y_10,0.04,IRR
Mine_93,country_46,Y_10,0,Other penalties - extra processing costs
Mine_93,country_46,Y_10,0.405,LT Avail AA
Mine_93,country_46,Y_10,0.44,Total Alumina
Mine_93,country_46,Y_10,0.015,LT React. Silica
Mine_93,country_46,Y_10,0.02,Total Silica
Mine_93,country_46,Y_10,0.02,Monhydrate
Mine_93,country_46,Y_10,0.1,Moisture
Mine_93,country_46,Y_10,LT,Bauxite style
Mine_93,country_46,Y_10,Moderate,Total Organic Carbon
Mine_93,country_46,Y_10,Capesize,Vessel size
Mine_93,country_46,Y_10,15,Capital cost of mine (inc. all infrasturure for export)
Mine_93,country_46,Y_10,20,Life of mine
Mine_93,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_93,country_46,Y_10,0.04,IRR
Mine_106,country_46,Y_10,0,Other penalties - extra processing costs
Mine_106,country_46,Y_10,0.415,LT Avail AA
Mine_106,country_46,Y_10,0.45,Total Alumina
Mine_106,country_46,Y_10,0.015,LT React. Silica
Mine_106,country_46,Y_10,0.02,Total Silica
Mine_106,country_46,Y_10,0.02,Monhydrate
Mine_106,country_46,Y_10,0.1,Moisture
Mine_106,country_46,Y_10,LT,Bauxite style
Mine_106,country_46,Y_10,Moderate,Total Organic Carbon
Mine_106,country_46,Y_10,Capesize,Vessel size
Mine_106,country_46,Y_10,15,Capital cost of mine (inc. all infrasturure for export)
Mine_106,country_46,Y_10,20,Life of mine
Mine_106,country_46,Y_10,1,constructiuon period for mine & infrastructure
Mine_106,country_46,Y_10,0.08,IRR
Mine_94,country_46,Y_10,0,Other penalties - extra processing costs
Mine_94,country_46,Y_10,0.385,LT Avail AA
Mine_94,country_46,Y_10,0.42,Total Alumina
