country_id,mine_id,y_id,capfright
country_17,Mine_50,Y_10,7.715626328
country_17,Mine_50,Y_11,8.443175178
country_17,Mine_50,Y_12,7.798629348
country_17,Mine_50,Y_13,10.35997343
country_17,Mine_50,Y_14,11.32172197
country_17,Mine_50,Y_15,10.12378899
country_17,Mine_50,Y_16,11.05309096
country_17,Mine_50,Y_17,10.87277325
country_17,Mine_50,Y_18,10.81512669
country_17,Mine_50,Y_19,11.03646639
country_17,Mine_50,Y_20,11.03646639
country_17,Mine_50,Y_21,11.03646639
country_17,Mine_50,Y_22,11.03646639
country_17,Mine_50,Y_23,11.03646639
country_17,Mine_50,Y_24,11.03646639
country_17,Mine_50,Y_25,11.03646639
country_17,Mine_50,Y_26,11.03646639
country_17,Mine_56,Y_10,7.718832174
country_17,Mine_56,Y_11,8.411460568
country_17,Mine_56,Y_12,7.775203597
country_17,Mine_56,Y_13,10.33840338
country_17,Mine_56,Y_14,11.26790979
country_17,Mine_56,Y_15,10.07313688
country_17,Mine_56,Y_16,10.98557825
country_17,Mine_56,Y_17,10.81512837
country_17,Mine_56,Y_18,10.76065979
country_17,Mine_56,Y_19,10.99020485
country_17,Mine_56,Y_20,10.99020485
country_17,Mine_56,Y_21,10.99020485
country_17,Mine_56,Y_22,10.99020485
country_17,Mine_56,Y_23,10.99020485
country_17,Mine_56,Y_24,10.99020485
country_17,Mine_56,Y_25,10.99020485
country_17,Mine_56,Y_26,10.99020485
country_17,Mine_66,Y_10,9.639502885
country_17,Mine_66,Y_11,9.322605159
country_17,Mine_66,Y_12,8.55986483
country_17,Mine_66,Y_13,11.77793886
country_17,Mine_66,Y_14,13.00577491
country_17,Mine_66,Y_15,11.50876452
country_17,Mine_66,Y_16,12.69173698
country_17,Mine_66,Y_17,12.45764404
country_17,Mine_66,Y_18,12.38278762
country_17,Mine_66,Y_19,12.65424092
country_17,Mine_66,Y_20,12.65424092
country_17,Mine_66,Y_21,12.65424092
country_17,Mine_66,Y_22,12.65424092
country_17,Mine_66,Y_23,12.65424092
country_17,Mine_66,Y_24,12.65424092
country_17,Mine_66,Y_25,12.65424092
country_17,Mine_66,Y_26,12.65424092
country_17,Mine_67,Y_10,9.537928057
country_17,Mine_67,Y_11,9.303589191
country_17,Mine_67,Y_12,8.543482243
country_17,Mine_67,Y_13,11.74788342
country_17,Mine_67,Y_14,12.96948612
country_17,Mine_67,Y_15,11.47878642
country_17,Mine_67,Y_16,12.65610803
country_17,Mine_67,Y_17,12.4233453
country_17,Mine_67,Y_18,12.34891501
country_17,Mine_67,Y_19,12.61949449
country_17,Mine_67,Y_20,12.61949449
country_17,Mine_67,Y_21,12.61949449
country_17,Mine_67,Y_22,12.61949449
country_17,Mine_67,Y_23,12.61949449
country_17,Mine_67,Y_24,12.61949449
country_17,Mine_67,Y_25,12.61949449
country_17,Mine_67,Y_26,12.61949449
country_17,Mine_68,Y_10,9.537928057
country_17,Mine_68,Y_11,9.303589191
country_17,Mine_68,Y_12,8.543482243
country_17,Mine_68,Y_13,11.74788342
country_17,Mine_68,Y_14,12.96948612
country_17,Mine_68,Y_15,11.47878642
country_17,Mine_68,Y_16,12.65610803
country_17,Mine_68,Y_17,12.4233453
country_17,Mine_68,Y_18,12.34891501
country_17,Mine_68,Y_19,12.61949449
country_17,Mine_68,Y_20,12.61949449
country_17,Mine_68,Y_21,12.61949449
country_17,Mine_68,Y_22,12.61949449
country_17,Mine_68,Y_23,12.61949449
country_17,Mine_68,Y_24,12.61949449
country_17,Mine_68,Y_25,12.61949449
country_17,Mine_68,Y_26,12.61949449
country_17,Mine_69,Y_10,6.50557724
country_17,Mine_69,Y_11,6.50557724
country_17,Mine_69,Y_12,5.860070287
country_17,Mine_69,Y_13,8.422534302
country_17,Mine_69,Y_14,9.384470258
country_17,Mine_69,Y_15,7.406043585
country_17,Mine_69,Y_16,7.55562857
country_17,Mine_69,Y_17,7.375302523
country_17,Mine_69,Y_18,7.317653464
country_17,Mine_69,Y_19,7.539146598
country_17,Mine_69,Y_20,7.539146598
country_17,Mine_69,Y_21,7.539146598
country_17,Mine_69,Y_22,7.539146598
country_17,Mine_69,Y_23,7.539146598
country_17,Mine_69,Y_24,7.539146598
country_17,Mine_69,Y_25,7.539146598
country_17,Mine_69,Y_26,7.539146598
country_17,Mine_70,Y_10,6.50557724
country_17,Mine_70,Y_11,6.50557724
country_17,Mine_70,Y_12,5.860070287
country_17,Mine_70,Y_13,8.422534302
country_17,Mine_70,Y_14,9.384470258
country_17,Mine_70,Y_15,7.406043585
country_17,Mine_70,Y_16,7.55562857
country_17,Mine_70,Y_17,7.375302523
country_17,Mine_70,Y_18,7.317653464
country_17,Mine_70,Y_19,7.539146598
country_17,Mine_70,Y_20,7.539146598
country_17,Mine_70,Y_21,7.539146598
country_17,Mine_70,Y_22,7.539146598
country_17,Mine_70,Y_23,7.539146598
country_17,Mine_70,Y_24,7.539146598
country_17,Mine_70,Y_25,7.539146598
country_17,Mine_70,Y_26,7.539146598
country_17,Mine_71,Y_10,6.50557724
country_17,Mine_71,Y_11,6.50557724
country_17,Mine_71,Y_12,5.860070287
country_17,Mine_71,Y_13,8.422534302
country_17,Mine_71,Y_14,9.384470258
country_17,Mine_71,Y_15,7.406043585
country_17,Mine_71,Y_16,7.55562857
country_17,Mine_71,Y_17,7.375302523
country_17,Mine_71,Y_18,7.317653464
country_17,Mine_71,Y_19,7.539146598
country_17,Mine_71,Y_20,7.539146598
country_17,Mine_71,Y_21,7.539146598
country_17,Mine_71,Y_22,7.539146598
country_17,Mine_71,Y_23,7.539146598
country_17,Mine_71,Y_24,7.539146598
country_17,Mine_71,Y_25,7.539146598
country_17,Mine_71,Y_26,7.539146598
country_17,Mine_72,Y_10,6.503175178
country_17,Mine_72,Y_11,6.503175178
country_17,Mine_72,Y_12,5.858629348
country_17,Mine_72,Y_13,8.419973426
