country_id,year_id,fxrates
country_13,Y_11,0.905156068
country_13,Y_12,0.905156068
country_13,Y_13,0.905156068
country_13,Y_14,0.905156068
country_13,Y_15,0.905156068
country_13,Y_16,0.905156068
country_13,Y_17,0.905156068
country_13,Y_18,0.905156068
country_13,Y_19,0.905156068
country_13,Y_20,0.905156068
country_13,Y_21,0.905156068
country_13,Y_22,0.905156068
country_13,Y_23,0.905156068
country_13,Y_24,0.905156068
country_13,Y_25,0.905156068
country_13,Y_26,0.905156068
country_13,Y_27,0.905156068
country_46,Y_10,7025
country_46,Y_11,7400
country_46,Y_12,7708
country_46,Y_13,7708
country_46,Y_14,7708
country_46,Y_15,7708
country_46,Y_16,7708
country_46,Y_17,7708
country_46,Y_18,7708
country_46,Y_19,7708
country_46,Y_20,7708
country_46,Y_21,7708
country_46,Y_22,7708
country_46,Y_23,7708
country_46,Y_24,7708
country_46,Y_25,7708
country_46,Y_26,7708
country_46,Y_27,7708
country_47,Y_10,208
country_47,Y_11,206
country_47,Y_12,206
country_47,Y_13,206
country_47,Y_14,206
country_47,Y_15,206
country_47,Y_16,206
country_47,Y_17,206
country_47,Y_18,206
country_47,Y_19,206
country_47,Y_20,206
country_47,Y_21,206
country_47,Y_22,206
country_47,Y_23,206
country_47,Y_24,206
country_47,Y_25,206
country_47,Y_26,206
country_47,Y_27,206
country_48,Y_10,232.564434
country_48,Y_11,278.783736
country_48,Y_12,278.783736
country_48,Y_13,278.783736
country_48,Y_14,278.783736
country_48,Y_15,278.783736
country_48,Y_16,278.783736
country_48,Y_17,278.783736
country_48,Y_18,278.783736
country_48,Y_19,278.783736
country_48,Y_20,278.783736
country_48,Y_21,278.783736
country_48,Y_22,278.783736
country_48,Y_23,278.783736
country_48,Y_24,278.783736
country_48,Y_25,278.783736
country_48,Y_26,278.783736
country_48,Y_27,278.783736
country_24,Y_10,61.03448276
country_24,Y_11,64.0716161
country_24,Y_12,69.39832965
country_24,Y_13,70.70955097
country_24,Y_14,70.93417964
country_24,Y_15,69.27629541
country_24,Y_16,69.27629541
country_24,Y_17,69.27629541
country_24,Y_18,69.27629541
country_24,Y_19,69.27629541
country_24,Y_20,69.27629541
country_24,Y_21,69.27629541
country_24,Y_22,69.27629541
country_24,Y_23,69.27629541
country_24,Y_24,69.27629541
country_24,Y_25,69.27629541
country_24,Y_26,69.27629541
country_24,Y_27,69.27629541
country_26,Y_10,11860.40044
country_26,Y_11,13409.4224
country_26,Y_12,14512.35342
country_26,Y_13,14651.60391
country_26,Y_14,14100
country_26,Y_15,13950
country_26,Y_16,13950
country_26,Y_17,13950
country_26,Y_18,13950
country_26,Y_19,13950
country_26,Y_20,13950
country_26,Y_21,13950
country_26,Y_22,13950
country_26,Y_23,13950
country_26,Y_24,13950
country_26,Y_25,13950
country_26,Y_26,13950
country_26,Y_27,13950
country_8,Y_10,25923
country_8,Y_11,28946
country_8,Y_12,28946
country_8,Y_13,28946
country_8,Y_14,28946
country_8,Y_15,28946
country_8,Y_16,28946
country_8,Y_17,28946
country_8,Y_18,28946
country_8,Y_19,28946
country_8,Y_20,28946
country_8,Y_21,28946
country_8,Y_22,28946
country_8,Y_23,28946
country_8,Y_24,28946
country_8,Y_25,28946
country_8,Y_26,28946
country_8,Y_27,28946
country_49,Y_10,0.757387838
country_49,Y_11,0.905156068
country_49,Y_12,0.905156068
country_49,Y_13,0.905156068
country_49,Y_14,0.905156068
country_49,Y_15,0.905156068
country_49,Y_16,0.905156068
country_49,Y_17,0.905156068
country_49,Y_18,0.905156068
country_49,Y_19,0.905156068
country_49,Y_20,0.905156068
country_49,Y_21,0.905156068
country_49,Y_22,0.905156068
country_49,Y_23,0.905156068
country_49,Y_24,0.905156068
country_49,Y_25,0.905156068
country_49,Y_26,0.905156068
country_49,Y_27,0.905156068
country_50,Y_10,0.757387838
country_50,Y_11,0.905156068
country_50,Y_12,0.905156068
country_50,Y_13,0.905156068
country_50,Y_14,0.905156068
country_50,Y_15,0.905156068
country_50,Y_16,0.905156068
country_50,Y_17,0.905156068
country_50,Y_18,0.905156068
country_50,Y_19,0.905156068
country_50,Y_20,0.905156068
country_50,Y_21,0.905156068
country_50,Y_22,0.905156068
country_50,Y_23,0.905156068
country_50,Y_24,0.905156068
country_50,Y_25,0.905156068
country_50,Y_26,0.905156068
country_50,Y_27,0.905156068
country_51,Y_10,112
country_51,Y_11,117
country_51,Y_12,120
country_51,Y_13,120
country_51,Y_14,120
country_51,Y_15,120
country_51,Y_16,120
country_51,Y_17,120
country_51,Y_18,120
country_51,Y_19,120
country_51,Y_20,120
country_51,Y_21,120
country_51,Y_22,120
country_51,Y_23,120
country_51,Y_24,120
country_51,Y_25,120
country_51,Y_26,120
country_51,Y_27,120
country_52,Y_10,106.1123471
country_52,Y_11,120.9840529
country_52,Y_12,120.9840529
country_52,Y_13,120.9840529
country_52,Y_14,120.9840529
country_52,Y_15,120.9840529
country_52,Y_16,120.9840529
country_52,Y_17,120.9840529
country_52,Y_18,120.9840529
country_52,Y_19,120.9840529
country_52,Y_20,120.9840529
country_52,Y_21,120.9840529
country_52,Y_22,120.9840529
country_52,Y_23,120.9840529
country_52,Y_24,120.9840529
country_52,Y_25,120.9840529
country_52,Y_26,120.9840529
country_52,Y_27,120.9840529
country_36,Y_10,180
country_36,Y_11,225
country_36,Y_12,225
country_36,Y_13,225
country_36,Y_14,225
country_36,Y_15,225
country_36,Y_16,225
country_36,Y_17,225
country_36,Y_18,225
country_36,Y_19,225
country_36,Y_20,225
country_36,Y_21,225
country_36,Y_22,225
country_36,Y_23,225
country_36,Y_24,225
country_36,Y_25,225
country_36,Y_26,225
country_36,Y_27,225
country_37,Y_10,3.277419355
country_37,Y_11,3.893511766
country_37,Y_12,4.3075
country_37,Y_13,4.2075
country_37,Y_14,4.025
country_37,Y_15,3.825
country_37,Y_16,3.825
country_37,Y_17,3.825
country_37,Y_18,3.825
country_37,Y_19,3.825
country_37,Y_20,3.825
country_37,Y_21,3.825
country_37,Y_22,3.825
country_37,Y_23,3.825
country_37,Y_24,3.825
country_37,Y_25,3.825
country_37,Y_26,3.825
country_37,Y_27,3.825
country_29,Y_10,0.757387838
country_29,Y_11,0.905156068
country_29,Y_12,0.905156068
country_29,Y_13,0.905156068
country_29,Y_14,0.905156068
country_29,Y_15,0.905156068
country_29,Y_16,0.905156068
country_29,Y_17,0.905156068
country_29,Y_18,0.905156068
country_29,Y_19,0.905156068
country_29,Y_20,0.905156068
country_29,Y_21,0.905156068
country_29,Y_22,0.905156068
country_29,Y_23,0.905156068
country_29,Y_24,0.905156068
country_29,Y_25,0.905156068
country_29,Y_26,0.905156068
country_29,Y_27,0.905156068
country_53,Y_10,3.349
country_53,Y_11,3.998
country_53,Y_12,3.998
country_53,Y_13,3.998
country_53,Y_14,3.998
country_53,Y_15,3.998
country_53,Y_16,3.998
country_53,Y_17,3.998
country_53,Y_18,3.998
country_53,Y_19,3.998
country_53,Y_20,3.998
country_53,Y_21,3.998
country_53,Y_22,3.998
country_53,Y_23,3.998
country_53,Y_24,3.998
country_53,Y_25,3.998
country_53,Y_26,3.998
country_53,Y_27,3.998
country_18,Y_10,38.512175
country_18,Y_11,60.609247
country_18,Y_12,76
country_18,Y_13,76
country_18,Y_14,76
country_18,Y_15,76
country_18,Y_16,76
country_18,Y_17,76
country_18,Y_18,76
country_18,Y_19,76
country_18,Y_20,76
country_18,Y_21,76
country_18,Y_22,76
country_18,Y_23,76
country_18,Y_24,76
country_18,Y_25,76
country_18,Y_26,76
country_18,Y_27,76
country_33,Y_10,3.75
country_33,Y_11,3.75
country_33,Y_12,3.75
country_33,Y_13,3.75
country_33,Y_14,3.75
country_33,Y_15,3.75
country_33,Y_16,3.75
country_33,Y_17,3.75
country_33,Y_18,3.75
country_33,Y_19,3.75
country_33,Y_20,3.75
country_33,Y_21,3.75
country_33,Y_22,3.75
country_33,Y_23,3.75
country_33,Y_24,3.75
country_33,Y_25,3.75
country_33,Y_26,3.75
country_33,Y_27,3.75
country_54,Y_10,4300
country_54,Y_11,4350
country_54,Y_12,4350
country_54,Y_13,4350
country_54,Y_14,4350
country_54,Y_15,4350
country_54,Y_16,4350
country_54,Y_17,4350
country_54,Y_18,4350
country_54,Y_19,4350
country_54,Y_20,4350
country_54,Y_21,4350
country_54,Y_22,4350
country_54,Y_23,4350
country_54,Y_24,4350
country_54,Y_25,4350
country_54,Y_26,4350
country_54,Y_27,4350
country_55,Y_10,7.37
country_55,Y_11,7.9
country_55,Y_12,7.9
country_55,Y_13,7.9
country_55,Y_14,7.9
country_55,Y_15,7.9
country_55,Y_16,7.9
country_55,Y_17,7.9
country_55,Y_18,7.9
country_55,Y_19,7.9
country_55,Y_20,7.9
country_55,Y_21,7.9
country_55,Y_22,7.9
country_55,Y_23,7.9
country_55,Y_24,7.9
country_55,Y_25,7.9
country_55,Y_26,7.9
country_55,Y_27,7.9
country_6,Y_10,0.757387838
country_6,Y_11,0.905156068
country_6,Y_12,0.905156068
country_6,Y_13,0.905156068
country_6,Y_14,0.905156068
country_6,Y_15,0.905156068
country_6,Y_16,0.905156068
country_6,Y_17,0.905156068
country_6,Y_18,0.905156068
country_6,Y_19,0.905156068
country_6,Y_20,0.905156068
country_6,Y_21,0.905156068
country_6,Y_22,0.905156068
country_6,Y_23,0.905156068
country_6,Y_24,0.905156068
country_6,Y_25,0.905156068
country_6,Y_26,0.905156068
country_6,Y_27,0.905156068
country_56,Y_10,3.275
