Province,County,"Grade
(%Al2O3)","A/S
Ratio"
Beijing,,0.45,3
Chongqing,Fengdu,0,3
Chongqing,Nanchuan,0,6.448240886
Chongqing,Qinjiang,0,4.7
Chongqing,Wulong,0,5.228765189
Chongqing,,0,0
Fujian,,0.45,3
Guangdong,,0.45,3
Guangxi,Binyang,0,2.06
Guangxi,Chongzuo,0,3.9
Guangxi,Debao,0,7.242822811
Guangxi,Donglan,0,3.508405643
Guangxi,Fusui,0.4771,3.8
Guangxi,Guigang,0.27,4
Guangxi,Heng,0.5,5
Guangxi,Jingxi,0,6.144343856
Guangxi,Laibin,0,3.58
Guangxi,Lingyun,0.5154,1.68
Guangxi,Long'an,0.468,2.97
Guangxi,Longzhou,0,5
Guangxi,Mashan,0,2.01
Guangxi,Napo,0,6.54
Guangxi,Ningming,0.507,3.29
Guangxi,Pingguo,0,8.319559568
Guangxi,Pingxiang,0.411,3.32
Guangxi,Shanglin,0,3.28
Guangxi,Tiandong,0,6.02
Guangxi,Tianyang,0,8.0490789
Guangxi,Tian'e,0,4.92
Guangxi,Tianlin,0,5
Guangxi,Yizhou,0,2.52
Guangxi,Yongning,0,9.86
Guangxi,,0.510811446,5.668088956
Guizhou,Daozhen,0,7.61
Guizhou,Fuquan,0,6
Guizhou,Guiyang,0,6.742442304
Guizhou,Huangping,0,6.8
Guizhou,Kaili,0,6.649060347
Guizhou,Kaiyang,0,7.67667196
Guizhou,Jinsha,0,3.69
Guizhou,Longli,0,5
Guizhou,Qingzhen,0,8.124162278
Guizhou,Tongzi,0.6,5
Guizhou,Weng'an,0,7
Guizhou,Wuchuan,0,7
Guizhou,Xifeng,0,4.4
Guizhou,Xiuwen,0,5.66291595
Guizhou,Zheng'an,0,5.984797468
Guizhou,Zhijin,0,8.06
Guizhou,Zunyi,0,6.995697144
Guizhou,Other,0.6018,6.8
Guizhou,,0,0
Hainan,Wenchang,0,6.3
Hainan,,0,6.3
Hebei,Fengfeng,0,5
Hebei,Jingxing,0,5
Hebei,Tangshan,0,5
Hebei,Wu'an,0,5
Hebei,,0,0
Henan,Baofeng,0,4.783374175
Henan,Dengfeng,0,6.1
Henan,Gongyi,0,4.750568373
Henan,Hubin,0,4
Henan,Jiaxian,0,4
Henan,Jiyuan,0,4
Henan,Lushan,0,5.86587991
Henan,Mianchi,0,7.11442601
Henan,Pingdingshan,0,5.4
Henan,Qinyang,0,4
Henan,Ruyang,0.6,4
Henan,Ruzhou,0,6.128702067
Henan,Sanmenxia,0,5.7
Henan,Shaan,0,7.310645463
Henan,Xin'an,0,5.080999353
Henan,Xingyang,0,4
Henan,Xinmi,0,6.796335196
Henan,Yanshi,0,5.874020922
Henan,Yichuan,0,4
Henan,Yiyang,0,5.4
Henan,Yuzhou,0,5
Henan,Other,0.6,4
Henan,,0,0
Hubei,Yicheng,0,5.25
Hubei,,0,5.25
Hunan,Chenxi,0,5
Hunan,,0,5
Inner Mongolia,Qingshuihe,0.55,5
Inner Mongolia,,0.55,5
Jiangxi,,0.45,3
Liaoning,,0.45,3
Shandong,Tai'an,0,4
Shandong,Zhangqiu,0,4
Shandong,Zouwu,0.55,2.4
Shandong,Zibo,0,4.039071862
Shandong,,0,0
Shaanxi,Chencheng,0,5
Shaanxi,Pucheng,0,5
Shaanxi,Fugu,0,5
Shaanxi,Hancheng,0,5
Shaanxi,Tongchuan,0,5
Shaanxi,Xixiang,0,5
Shaanxi,Zhenba,0,5
Shaanxi,,0.55,5
Shanxi,Baode,0,8.633615685
Shanxi,Fangshan,0.6803,8.72
Shanxi,Fenxi,0,4.297074112
Shanxi,Fenyang,0,6.132953466
Shanxi,Gujiao,0.55,5
Shanxi,Gu,0,4.8
Shanxi,Hequ,0.55,5
Shanxi,Heshun,0,4.8
Shanxi,Huairen,0,3.78
Shanxi,Huozhou,0,3.15
Shanxi,Jiaokou,0,5.546165406
Shanxi,Jiexiu,0,5.453721254
Shanxi,Jingle,0.55,5
Shanxi,Jincheng,0,6.8
Shanxi,Lin,0,6.731056564
Shanxi,Linfen,0.6,4.8
Shanxi,Lingshi,0,4.359845958
Shanxi,Liulin,0,6.77849563
Shanxi,Lvliang,0,5
Shanxi,Loufan,0,7.48
Shanxi,Yingze,0.55,5
Shanxi,Yu,0,4.065729431
Shanxi,Ningwu,0,5.036151015
Shanxi,Pinglu,0,4.868164381
Shanxi,Qinyuan,0,4.142143723
Shanxi,Shenchi,0,6.778804873
Shanxi,Shuozhou,0,6.48
Shanxi,Wutai,0,4.66057162
Shanxi,Wuxiang,0,5
Shanxi,Xia,0,4.023525902
Shanxi,Xiangyuan,0,5
Shanxi,Xiaoyi,0,5.34492074
Shanxi,Xing,0,8.284987247
Shanxi,Xiyang,0,4.23
Shanxi,Yuanping,0,4.554409418
Shanxi,Yangquan,0,4.566993801
Shanxi,Yuanqu,0.6,4.8
Shanxi,Zhongyang,0,6.047244753
Shanxi,Zuoquan,0.5,5
Shanxi,,0.624324799,5.386458518
Sichuan,Guangyuan,0.55,5
Sichuan,Lushan,0,5
Sichuan,Miyi,0,5
Sichuan,Tianquan,0,3.47
Sichuan,,0.55,5
Xinjiang,,0.45,3
Yunnan,Annin,0,5.882661187
Yunnan,Chengong,0,5.58
Yunnan,Fumin,0,5.324604897
Yunnan,Guangnan,0,7.29
Yunnan,Gudu,0,3.9
Yunnan,Heqing,0,5.22
Yunnan,Hongta,0,4.5
Yunnan,Jinnin,0,3.09
Yunnan,Ludian,0.5242,3.09
Yunnan,Malipo,0,6.366068796
Yunnan,Songming,0,4.95
Yunnan,Wenshan,0,6.755964649
Yunnan,Xichou,0,7.571967726
Yunnan,Xishan,0,6.399333977
Yunnan,Yanshan,0,5.91
Yunnan,,0,0
China Total,,0.32298675,0
