Country,Resources_1,Resources_2,Resources_3,Reserves_1,Reserves_2,Reserves_3,Production 2016 _1,Production 2016 _2,Production 2016 _3
1 Guinea,6400,200,400,3150,#N/A,#N/A,27.6,#N/A,#N/A
2 China,6400,200,400,2860,#N/A,#N/A,114.4,#N/A,#N/A
3 Brazil,5000,#N/A,#N/A,2600,#N/A,#N/A,39.2,#N/A,#N/A
4 Indonesia,6400,200,400,2418,#N/A,#N/A,1,#N/A,#N/A
5 Vietnam,5531,#N/A,#N/A,2387,#N/A,#N/A,1.5,#N/A,#N/A
6 Australia,6021,#N/A,#N/A,2300,#N/A,#N/A,86.5,#N/A,#N/A
7 Guyana,1000,#N/A,#N/A,850,#N/A,#N/A,1.6,#N/A,#N/A
8 Cameroon,1500,#N/A,#N/A,680,#N/A,#N/A, -   ,#N/A,#N/A
9 India,3480,#N/A,#N/A,593,#N/A,#N/A,19.4,#N/A,#N/A
10 Jamaica,1200,#N/A,#N/A,500,#N/A,#N/A,8.4,#N/A,#N/A
11 Ghana,900,#N/A,#N/A,476,#N/A,#N/A,1,#N/A,#N/A
12 Venezuela,500,#N/A,#N/A,320,#N/A,#N/A,2.2,#N/A,#N/A
13 Lao PDR,442,#N/A,#N/A,291,#N/A,#N/A, -   ,#N/A,#N/A
14 Saudi Arabia,500,#N/A,#N/A,250,#N/A,#N/A,4.3,#N/A,#N/A
15 Malaysia,960,#N/A,#N/A,180,#N/A,#N/A,7.7,#N/A,#N/A
16 Russia,1000,#N/A,#N/A,200,#N/A,#N/A,6.3,#N/A,#N/A
17 Greece,600,#N/A,#N/A,100,#N/A,#N/A,1.8,#N/A,#N/A
18 Philippines,140,#N/A,#N/A,91,#N/A,#N/A, -   ,#N/A,#N/A
19 Madagascar,300,#N/A,#N/A,90,#N/A,#N/A, -   ,#N/A,#N/A
20 Cambodia,344,#N/A,#N/A,75,#N/A,#N/A, -   ,#N/A,#N/A
21 Turkey,460,#N/A,#N/A,51,#N/A,#N/A,1.4,#N/A,#N/A
22 Iran,70,#N/A,#N/A,39,#N/A,#N/A,0.9,#N/A,#N/A
23 Montenegro,50,#N/A,#N/A,38.7,#N/A,#N/A,1.2,#N/A,#N/A
24 Dominican Republic,60,#N/A,#N/A,25,#N/A,#N/A,0,#N/A,#N/A
25 Fiji,1000,#N/A,#N/A,20,#N/A,#N/A,0.6,#N/A,#N/A
26 Solomon Islands,60,#N/A,#N/A,20,#N/A,#N/A, -   ,#N/A,#N/A
27 Sierra Leone,31,#N/A,#N/A,12,#N/A,#N/A,1.2,#N/A,#N/A
28 Iraq,30,#N/A,#N/A,12,#N/A,#N/A, -   ,#N/A,#N/A
29 Suriname,500,#N/A,#N/A,2,#N/A,#N/A,0,#N/A,#N/A
