"frieght,data,id",week,"indonesia,panamax","indonesia,capesize","australia,panamax","india,supramax","india,panamax","india,capesize","malaysia,superamax","malaysia,panamax","guinea,capesize","brazil,capesize",weekbeforecbx
1,40725.0,8.709998487,6.729209723,12.09716167,0,0,0,0,0,0,0,0
2,40732.0,8.843885372,6.680072022,11.39575196,0,0,0,0,0,0,0,0
3,40739.0,9.011987099,6.736517937,11.62636627,0,0,0,0,0,0,0,0
4,40746.0,8.676369605,6.462655436,11.22834122,0,0,0,0,0,0,0,0
5,40753.0,8.775823861,6.351145804,11.35263841,0,0,0,0,0,0,0,0
6,40760.0,8.593256913,6.226680536,11.12686115,0,0,0,0,0,0,0,0
7,40767.0,8.482600788,6.144151108,10.9599849,0,0,0,0,0,0,0,0
8,40774.0,9.313023513,6.477410368,11.97130836,0,0,0,0,0,0,0,0
9,40781.0,9.387612326,7.460509082,12.06275881,0,0,0,0,0,0,0,0
10,40788.0,9.662555362,8.270706828,12.40756654,0,0,0,0,0,0,0,0
11,40795.0,10.67084406,9.46702545,13.6233026,0,0,0,0,0,0,0,0
12,40802.0,11.06403807,10.05368732,14.10014955,0,0,0,0,0,0,0,0
13,40809.0,10.16254608,9.311291287,13.01902527,0,0,0,0,0,0,0,0
14,40816.0,9.511422404,10.00520619,12.22630595,0,0,0,0,0,0,0,0
15,40823.0,9.897474985,9.333203348,12.70277612,0,0,0,0,0,0,0,0
16,40830.0,10.83538005,10.29352216,13.84739057,0,0,0,0,0,0,0,0
17,40837.0,11.23812887,10.89138197,14.35279189,0,0,0,0,0,0,0,0
18,40844.0,10.71483677,10.76511485,13.71716005,0,0,0,0,0,0,0,0
19,40851.0,10.45552746,8.896134299,13.40459798,0,0,0,0,0,0,0,0
20,40858.0,10.04712678,8.653726469,12.94742184,0,0,0,0,0,0,0,0
21,40865.0,10.08771138,9.182788465,13.00898501,0,0,0,0,0,0,0,0
22,40872.0,9.972695795,9.142437089,12.82851456,0,0,0,0,0,0,0,0
23,40879.0,9.622838797,9.480146632,12.41181039,0,0,0,0,0,0,0,0
24,40886.0,9.404912057,10.36993729,12.13031023,0,0,0,0,0,0,0,0
25,40893.0,9.628690739,11.40186096,12.38046144,0,0,0,0,0,0,0,0
26,40900.0,9.607991933,11.03080404,12.35744397,0,0,0,0,0,0,0,0
27,40907.0,9.652906865,10.93023792,12.44240761,0,0,0,0,0,0,0,0
28,40914.0,9.802934951,9.052357529,12.67910817,0,0,0,0,0,0,0,0
29,40921.0,8.988334925,6.938261281,11.69801239,0,0,0,0,0,0,0,0
30,40928.0,8.420587456,5.77708379,11.00784038,0,0,0,0,0,0,0,0
31,40935.0,8.123061083,5.617184323,10.64201361,0,0,0,0,0,0,0,0
32,40942.0,7.840635165,5.56540918,10.29719945,0,0,0,0,0,0,0,0
33,40949.0,8.131201367,5.563068195,10.64450273,0,0,0,0,0,0,0,0
34,40956.0,8.901776853,5.655169955,11.58333022,0,0,0,0,0,0,0,0
35,40963.0,8.774394224,5.700242758,11.42703898,0,0,0,0,0,0,0,0
36,40970.0,9.027367874,5.937159357,11.73098008,0,0,0,0,0,0,0,0
37,40977.0,9.124070056,5.987923306,11.85828378,0,0,0,0,0,0,0,0
38,40984.0,8.889836705,5.972274017,11.57199036,0,0,0,0,0,0,0,0
39,40991.0,8.828250254,5.807724651,11.49978016,0,0,0,0,0,0,0,0
40,40998.0,8.920740796,5.698571408,11.61686622,0,0,0,0,0,0,0,0
41,41005.0,8.715001837,5.836072102,11.35388634,0,0,0,0,0,0,0,0
42,41012.0,8.745623278,5.997971837,11.38385093,0,0,0,0,0,0,0,0
43,41019.0,9.365256791,5.907458121,12.11963431,0,0,0,0,0,0,0,0
44,41026.0,10.19030266,5.859259815,13.12631005,0,0,0,0,0,0,0,0
45,41033.0,10.11794531,5.814209745,13.03840333,0,0,0,0,0,0,0,0
46,41040.0,9.321396202,5.864296049,12.03149759,0,0,0,0,0,0,0,0
47,41047.0,8.733681143,5.849310736,11.29629243,0,0,0,0,0,0,0,0
48,41054.0,8.2474962,5.789368916,10.6885608,0,0,0,0,0,0,0,0
49,41061.0,7.558744086,5.51543669,9.844759926,0,0,0,0,0,0,0,0
50,41068.0,6.869396589,5.119714831,8.929377299,0,0,0,0,0,0,0,0
51,41075.0,7.103336208,5.005570041,9.216014921,0,0,0,0,0,0,0,0
52,41082.0,7.534583837,4.886729743,9.724614643,0,0,0,0,0,0,0,0
53,41089.0,7.462891713,4.874092586,9.609774657,0,0,0,0,0,0,0,0
54,41096.0,7.749127041,5.388856592,9.999424522,0,0,0,0,0,0,0,0
55,41103.0,8.143182741,5.703378882,10.47982253,0,0,0,0,0,0,0,0
56,41110.0,8.418844056,5.377313875,10.83762885,0,0,0,0,0,0,0,0
57,41117.0,8.293898569,5.280675519,10.69310163,0,0,0,0,0,0,0,0
58,41124.0,8.063306158,5.140222909,10.42436863,0,0,0,0,0,0,0,0
59,41131.0,7.844659261,5.309408008,10.18125826,0,0,0,0,0,0,0,0
60,41138.0,7.741900307,5.263745535,10.08675768,0,0,0,0,0,0,0,0
61,41145.0,7.845059046,5.203627139,10.23196291,0,0,0,0,0,0,0,0
62,41152.0,7.714040042,5.344277334,10.07431482,0,0,0,0,0,0,0,0
63,41159.0,7.423052423,5.342775195,9.74065905,0,0,0,0,0,0,0,0
64,41166.0,7.180492935,5.316165381,9.441763056,0,0,0,0,0,0,0,0
65,41173.0,7.142350403,5.630158828,9.379996643,0,0,0,0,0,0,0,0
66,41180.0,7.174839306,6.005713701,9.386171743,0,0,0,0,0,0,0,0
67,41187.0,8.430507608,6.250779614,10.89260895,0,0,0,0,0,0,0,0
68,41194.0,7.987792342,6.869339523,10.3461003,0,0,0,0,0,0,0,0
69,41201.0,7.944924209,7.513894814,10.29264608,0,0,0,0,0,0,0,0
70,41208.0,7.900879503,8.705839551,10.22019434,0,0,0,0,0,0,0,0
71,41215.0,7.897104234,8.64950383,10.1966148,0,0,0,0,0,0,0,0
72,41222.0,7.90255911,7.746027333,10.18091769,0,0,0,0,0,0,0,0
73,41229.0,7.916084229,7.935932494,10.18906758,0,0,0,0,0,0,0,0
