domestic_price_data_id,date,Shanxi 4.5 - 5.0,Henan 4.0 - 5.0,Guizhou 5.5 - 6.5
1,07-07-2017,365,345.8333333,250
2,14-07-2017,370,330.8333333,250
3,21-07-2017,370,330.8333333,250
4,28-07-2017,370,330.8333333,250
5,04-08-2017,385,363.3333333,250
6,11-08-2017,385,363.3333333,250
7,18-08-2017,385,363.3333333,250
8,25-08-2017,385,361.6666667,250
9,01-09-2017,385,361.6666667,250
10,08-09-2017,390,382.5,245
11,15-09-2017,382.5,382.5,245
12,22-09-2017,382.5,382.5,255
13,29-09-2017,382.5,382.5,255
14,06-10-2017,382.5,382.5,255
15,13-10-2017,380,357.5,255
16,20-10-2017,390,377.5,255
17,27-10-2017,390,397.5,255
18,03-11-2017,390,417.5,265
19,10-11-2017,430,492.5,262.5
20,17-11-2017,430,492.5,302.5
21,24-11-2017,430,482.5,302.5
22,01-12-2017,430,482.5,302.5
23,08-12-2017,430,478.3333333,302.5
24,15-12-2017,400,398.3333333,282.5
25,22-12-2017,400,388.3333333,282.5
26,29-12-2017,400,388.3333333,282.5
27,05-01-2018,365,370,280
28,12-01-2018,365,370,280
29,19-01-2018,365,370,280
30,26-01-2018,365,370,280
31,02-02-2018,365,370,280
32,09-02-2018,365,370,280
33,16-02-2018,365,370,280
34,23-02-2018,365,370,275
35,02-03-2018,365,361.6666667,265
36,09-03-2018,375,381.6666667,295
37,16-03-2018,375,381.6666667,290
38,23-03-2018,375,381.6666667,290
39,30-03-2018,375,381.6666667,290
40,06-04-2018,375,381.6666667,290
41,13-04-2018,402.5,416.6666667,290
42,20-04-2018,402.5,416.6666667,290
43,27-04-2018,402.5,416.6666667,297.5
44,04-05-2018,410,410,300
45,11-05-2018,410,410,300
46,18-05-2018,425,435,305
47,25-05-2018,432.5,435,325
48,01-06-2018,432.5,435,325
49,08-06-2018,432.5,435,325
50,15-06-2018,442.5,435,325
51,22-06-2018,442.5,435,325
52,29-06-2018,442.5,435,325
53,06-07-2018,475,445,325
54,13-07-2018,475,445,325
55,20-07-2018,500,465,325
56,27-07-2018,500,465,325
57,03-08-2018,500,465,325
58,10-08-2018,500,465,325
59,17-08-2018,500,465,325
60,24-08-2018,500,465,325
61,31-08-2018,500,465,325
62,07-09-2018,520,485,325
63,14-09-2018,520,485,325
64,21-09-2018,540,515,335
65,28-09-2018,540,515,335
66,05-10-2018,540,515,335
67,12-10-2018,540,515,335
68,19-10-2018,552.5,540,335
69,26-10-2018,552.5,540,335
70,02-11-2018,552.5,540,335
71,09-11-2018,552.5,540,335
72,16-11-2018,552.5,540,335
73,23-11-2018,552.5,540,335
74,30-11-2018,575,540,365
75,07-12-2018,575,560,365
76,14-12-2018,575,560,365
77,21-12-2018,575,560,365
78,28-12-2018,555,540,345
79,04-01-2019,525,520,345
80,11-01-2019,525,520,345
81,18-01-2019,525,520,345
82,25-01-2019,525,520,345
83,15-02-2019,515,490,345
84,22-02-2019,515,490,345
85,01-03-2019,515,490,345
86,08-03-2019,515,490,345
87,15-03-2019,515,490,345
88,22-03-2019,515,490,345
89,29-03-2019,515,465,345
90,05-04-2019,515,465,345
91,12-04-2019,515,465,345
92,19-04-2019,515,465,345
93,26-04-2019,505,440,345
94,03-05-2019,505,440,345
95,10-05-2019,505,440,345
96,17-05-2019,505,440,345
97,24-05-2019,505,440,345
98,31-05-2019,505,440,345
99,07-06-2019,505,475,345
100,14-06-2019,505,475,345
101,21-06-2019,505,475,345
102,28-06-2019,505,475,375
103,05-07-2019,505,475,375
104,12-07-2019,505,475,375
105,19-07-2019,505,475,375
106,26-07-2019,505,475,375
107,02-08-2019,505,465,375
108,09-08-2019,505,465,375
109,16-08-2019,505,465,375
110,23-08-2019,505,465,375
111,30-08-2019,495,435,375
112,06-09-2019,495,435,375
113,13-09-2019,495,435,375
114,20-09-2019,495,435,375
115,27-09-2019,495,435,375
116,04-10-2019,495,435,375
117,11-10-2019,515,435,375
118,18-10-2019,515,435,375
119,25-10-2019,515,435,375
120,01-11-2019,515,435,375
121,08-11-2019,515,435,375
122,15-11-2019,515,435,375
123,22-11-2019,515,435,375
124,29-11-2019,515,435,375
125,06-12-2019,515,435,375
126,13-12-2019,515,435,375
127,20-12-2019,495,425,375
128,27-12-2019,495,425,375
129,03-01-2020,495,425,375
130,10-01-2020,495,425,375
131,17-01-2020,495,425,375
132,24-01-2020,495,425,375
133,31-01-2020,495,425,375
134,07-02-2020,495,425,375
135,14-02-2020,495,425,375
136,21-02-2020,495,425,375
137,28-02-2020,495,425,375
138,06-03-2020,495,425,375
139,13-03-2020,495,425,375
140,20-03-2020,495,425,375
141,27-03-2020,495,425,375
142,03-04-2020,455,385,375
143,10-04-2020,455,385,375
144,17-04-2020,415,385,375
145,24-04-2020,415,385,375
146,01-05-2020,415,385,345
147,08-05-2020,415,385,345
148,15-05-2020,385,345,325
149,22-05-2020,385,345,325
150,29-05-2020,385,345,325
151,05-06-2020,385,345,325
152,12-06-2020,385,345,325
153,19-06-2020,385,345,325
154,26-06-2020,385,345,325
155,03-07-2020,405,345,325
156,10-07-2020,405,345,325
157,17-07-2020,405,345,325
158,24-07-2020,405,345,325
159,31-07-2020,405,345,325
160,07-08-2020,405,345,325
161,14-08-2020,405,345,325
