,snapshot_id,model_id,output_set,output_id,output_label,output_row,output_value,override_value,actual_value
0,22,18,Sorted Input Data,1,level_0,0,0,,
1,22,18,Sorted Input Data,2,index,0,3,,
2,22,18,Sorted Input Data,3,cc_other_data_id,0,4,,
3,22,18,Sorted Input Data,4,Label regardless,0,1,,
4,22,18,Sorted Input Data,5,Linear order,0,4.0,,
5,22,18,Sorted Input Data,6,Rank,0,1,,
6,22,18,Sorted Input Data,7,Name,0,Vietnam Others,,
7,22,18,Sorted Input Data,8,Prodn / Capacity,0,1.0,,
8,22,18,Sorted Input Data,9,Series 1,0,22.23696303,,
9,22,18,Sorted Input Data,10,Series 2,0,0.0,,
10,22,18,Sorted Input Data,11,Series 3,0,0.0,,
11,22,18,Sorted Input Data,12,Series 4,0,0.0,,
12,22,18,Sorted Input Data,13,Series 5,0,0.0,,
13,22,18,Sorted Input Data,14,Series 6,0,0.0,,
14,22,18,Sorted Input Data,15,Series 7,0,0.0,,
15,22,18,Sorted Input Data,16,Series 8,0,0.0,,
16,22,18,Sorted Input Data,17,Series 9,0,0.0,,
17,22,18,Sorted Input Data,18,Series 10,0,0.0,,
18,22,18,Sorted Input Data,19,Total Cost,0,22.23696303,,
19,22,18,Sorted Input Data,20,Rank Cost Proxy,0,22.23696305,,
20,22,18,Sorted Input Data,21,Associated Text,0,0.0,,
21,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,0,1.0,,
22,22,18,Sorted Input Data,1,level_0,1,1,,
23,22,18,Sorted Input Data,2,index,1,4,,
24,22,18,Sorted Input Data,3,cc_other_data_id,1,5,,
25,22,18,Sorted Input Data,4,Label regardless,1,-,,
26,22,18,Sorted Input Data,5,Linear order,1,5.0,,
27,22,18,Sorted Input Data,6,Rank,1,2,,
28,22,18,Sorted Input Data,7,Name,1,Gove,,
29,22,18,Sorted Input Data,8,Prodn / Capacity,1,8.6,,
30,22,18,Sorted Input Data,9,Series 1,1,23.25931928,,
31,22,18,Sorted Input Data,10,Series 2,1,0.0,,
32,22,18,Sorted Input Data,11,Series 3,1,0.0,,
33,22,18,Sorted Input Data,12,Series 4,1,0.0,,
34,22,18,Sorted Input Data,13,Series 5,1,0.0,,
35,22,18,Sorted Input Data,14,Series 6,1,0.0,,
36,22,18,Sorted Input Data,15,Series 7,1,0.0,,
37,22,18,Sorted Input Data,16,Series 8,1,0.0,,
38,22,18,Sorted Input Data,17,Series 9,1,0.0,,
39,22,18,Sorted Input Data,18,Series 10,1,0.0,,
40,22,18,Sorted Input Data,19,Total Cost,1,23.25931928,,
41,22,18,Sorted Input Data,20,Rank Cost Proxy,1,23.259319301,,
42,22,18,Sorted Input Data,21,Associated Text,1,Gove 8.6mln t $23.3,,
43,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,1,9.6,,
44,22,18,Sorted Input Data,1,level_0,2,2,,
45,22,18,Sorted Input Data,2,index,2,5,,
46,22,18,Sorted Input Data,3,cc_other_data_id,2,6,,
47,22,18,Sorted Input Data,4,Label regardless,2,-,,
48,22,18,Sorted Input Data,5,Linear order,2,6.0,,
49,22,18,Sorted Input Data,6,Rank,2,3,,
50,22,18,Sorted Input Data,7,Name,2,Solomon Islands,,
51,22,18,Sorted Input Data,8,Prodn / Capacity,2,2.8,,
52,22,18,Sorted Input Data,9,Series 1,2,32.93129375,,
53,22,18,Sorted Input Data,10,Series 2,2,0.0,,
54,22,18,Sorted Input Data,11,Series 3,2,0.0,,
55,22,18,Sorted Input Data,12,Series 4,2,0.0,,
56,22,18,Sorted Input Data,13,Series 5,2,0.0,,
57,22,18,Sorted Input Data,14,Series 6,2,0.0,,
58,22,18,Sorted Input Data,15,Series 7,2,0.0,,
59,22,18,Sorted Input Data,16,Series 8,2,0.0,,
60,22,18,Sorted Input Data,17,Series 9,2,0.0,,
61,22,18,Sorted Input Data,18,Series 10,2,0.0,,
62,22,18,Sorted Input Data,19,Total Cost,2,32.93129375,,
63,22,18,Sorted Input Data,20,Rank Cost Proxy,2,32.931293772000004,,
64,22,18,Sorted Input Data,21,Associated Text,2,0,,
65,22,18,Sorted Input Data,22,Cumulative Prodn / Capacity,2,12.399999999999999,,
66,22,18,Sorted Input Data,1,level_0,3,3,,
67,22,18,Sorted Input Data,2,index,3,6,,
68,22,18,Sorted Input Data,3,cc_other_data_id,3,7,,
69,22,18,Sorted Input Data,4,Label regardless,3,-,,
70,22,18,Sorted Input Data,5,Linear order,3,7.0,,
71,22,18,Sorted Input Data,6,Rank,3,4,,
72,22,18,Sorted Input Data,7,Name,3,Weipa/Amrun Generic,,
73,22,18,Sorted Input Data,8,Prodn / Capacity,3,4.2,,
74,22,18,Sorted Input Data,9,Series 1,3,34.06173177,,
75,22,18,Sorted Input Data,10,Series 2,3,0.0,,
76,22,18,Sorted Input Data,11,Series 3,3,0.0,,
