mine,mine_id
SMB-WAP 122,mine_155
West Coast,mine_156
East Coast,mine_157
Noranda,mine_158
Kuantan UnWashed,mine_159
Kuantan Washed,mine_160
Kuantan blend,mine_161
Johor UnWashed,mine_162
Johor Washed,mine_163
Johor blend,mine_164
all products blend,mine_165
West Kal,mine_166
Cam Pha,mine_167
Metro,mine_168
Dominican Republic,mine_169
Greece,mine_170
Fiji,mine_171
Ghana,mine_172
SMB,mine_173
Guinea-Bissau,mine_174
Guyana,mine_175
Antam,mine_176
Jamaica,mine_177
Malaysia,mine_178
Montenegro,mine_179
Pakistan,mine_180
Sierra Leone,mine_181
Vietnam,mine_182
Fenxi County-Total,mine_183
Hequ County-Total,mine_184
CBG LT,mine_185
SMB-WAP,mine_186
SMB SH no rail capital,mine_187
Metro BH1 Xinfa,mine_188
Elmin,mine_189
Gujarat,mine_190
Johor,mine_191
Kwinana,mine_192
Lang Son,mine_193
Rennell,mine_194
W-Kalimantan,mine_195
Weipa-LMB,mine_196
Weipa-LMB1,mine_197
C-Kalimantan,mine_198
Indonesia,mine_199
AUS LT,mine_200
India,mine_201
Brazil,mine_202
Vietnam Land,mine_203
Vietnam Sea,mine_204
WA,mine_205
Eurasian 3rd Prty 50km,mine_213
Spare G2,mine_214
Metro BH1 Xinfa §,mine_215
Henan-Chine §,mine_216
SMB Malapouya-Boké,mine_217
GDM §,mine_218
SMB Santou-Houda §,mine_219
Chalco Boffa §,mine_220
Aurum Xinfa-Fiji §,mine_221
Awaso §,mine_222
AMR §,mine_223
SMB Kaboye §,mine_224
Kuantan & Joho,mine_225
SMB Dabiss S §,mine_226
Ashapura Guinea §,mine_227
SMB Malapouya-Boké §,mine_228
