,province,expence,2007,2008,2009,2010,2011,2012,2013,2014,2015,2018
0,Anhui,water,,,,,,,,,3.955071477,2.39
1,Australia,water,,,,,,,,,4.159292035,3.55
2,Bandar Abbas,water,,,,,,,,,3.955071477,4.55
3,Brazil,water,,,,,,,,,5.840707965,5.4
4,Chongqing,dissel,5243.333333,6164.916667,6491.916667,7472.916667,8470.833333,8734.0,8602.834677,8280.417627,6719.191213,8402.827381
5,Chongqing,electicity,0.52635,0.52635,0.53783,0.55856,0.599422247,0.67392375,0.6531175,0.6531175,0.6531175,0.6
6,Chongqing,labor,21686.0,25985.0,28012.0,31491.0,37703.0,41848.0,45092.0,48429.0,50850.45,60198.0
7,Chongqing,water,,,,,,,,,3.955071477,4.55
8,Guangxi,dissel,5183.333333,6104.695341,6425.519713,7397.897849,8395.826613,8658.954765,8516.522849,8205.417627,6644.191213,8327.827381
9,Guangxi,electicity,0.45704,0.45704,0.47083,0.49506,0.532249167,0.569192569,0.5972,0.6035,0.6035,0.6035
10,Guangxi,labor,20909.0,22385.0,24110.0,28708.0,33527.0,34933.0,37414.0,44610.0,46840.5,56445.0
11,Guangxi,water,1.82,2.12,2.12,2.41,2.41,2.71,2.71,2.71,2.71,3.7
12,Guizhou,dissel,5208.333333,6129.695341,6450.519713,7422.897849,8420.826613,8683.954765,8574.044355,8230.417627,6669.191213,8352.827381
13,Guizhou,electicity,0.38682,0.38682,0.41534,0.41545,0.457397321,0.507458681,0.505536806,0.51465625,0.51465625,0.49
14,Guizhou,labor,20367.0,24487.0,27280.0,32779.0,40914.0,43113.0,45308.0,50309.0,52824.45,56586.0
15,Guizhou,water,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.23,3.23,4.0
16,Hainan,dissel,5183.333333,6104.695341,6425.519713,7397.897849,8395.826613,8658.954765,8530.662634,8566.466014,6657.211741,8327.827381
17,Hainan,electicity,0.61469,0.61469,0.66117,0.68202,0.652809524,0.679666667,0.679666667,0.679666667,0.679666667,0.679666667
18,Hainan,labor,18580.0,24119.0,30234.0,30151.0,39104.0,39582.0,45707.0,51548.0,54125.4,58005.0
19,Hainan,water,,,,,,,,,3.955071477,3.6
20,Henan,dissel,5058.333333,5979.345878,6290.519713,7262.897849,8260.826613,8523.954765,8414.044355,8070.417627,6509.191213,8192.827381
21,Henan,electicity,0.45925,0.45925,0.481175,0.49871,0.536367039,0.562198177,0.564241146,0.564241146,0.564241146,0.527915625
22,Henan,labor,30703.0,37249.0,42784.0,49514.0,57900.0,62091.0,61544.0,59363.0,62331.15,60268.0
23,Henan,water,,,,,,,,,4.646017699,4.5
24,Hubei,dissel,5083.333333,6004.345878,6315.519713,7287.897849,8285.826613,8548.954765,8437.630376,8095.417627,6534.191213,8217.827381
25,Hubei,electicity,0.532,0.532,0.55567,0.58487,0.596635746,0.599414722,0.599500889,0.599500889,0.599500889,0.599314222
26,Hubei,labor,20439.0,24727.0,28158.0,31989.0,35715.0,41417.0,41853.0,48910.0,51355.5,57631.0
27,Hubei,water,,,,,,,,,3.955071477,3.15
28,Hunan,dissel,5138.333333,6059.520609,6375.519713,7347.897849,8345.826613,8608.954765,8513.18414,8155.417627,6594.191213,8277.827381
29,Hunan,electicity,0.51055,0.51055,0.5262,0.55833,0.597202571,0.638147,0.637901542,0.637901542,0.637901542,0.637790708
30,Hunan,labor,17346.0,21007.0,22732.0,24867.0,31827.0,36492.0,37388.0,40044.0,42046.2,47119.0
31,Hunan,water,,,,,,,,,3.398230088,3.44
32,Inner Mongolia,dissel,5073.333333,5994.345878,6305.519713,7277.897849,8275.826613,8538.954765,8430.458333,8085.417627,6524.191213,8207.827381
33,Inner Mongolia,electicity,0.34206,0.34206,0.396635,0.44394,0.443142857,0.453,0.453,0.453,0.453,0.453
34,Inner Mongolia,labor,27317.0,32123.0,37156.0,42248.0,51159.0,59315.0,69278.0,68787.0,72226.35,85135.0
35,Inner Mongolia,water,,,,,,,,,3.938053097,4.45
36,Ireland,dissel,5123.333333,6044.520609,6360.519713,7332.897849,8330.826613,8593.954765,8464.248656,8501.466014,6606.231291,8262.827381
37,Ireland,electicity,0.68968,0.68968,0.6994,0.70669,0.686652381,0.715069444,0.717933333,0.717933333,0.717933333,0.717933333
38,Ireland,labor,31631.0,36224.0,41176.0,47254.0,53944.0,56370.0,71465.0,78585.0,82514.25,104687.0
39,Ireland,water,,,,,,,,,3.955071477,4.86
40,Jiangxi,water,,,,,,,,,6.760381212,6.205071477000001
41,Liaoning,dissel,5058.333333,5979.345878,6290.519713,7262.897849,8260.826613,8523.954765,8414.044355,8070.417627,6509.191213,8192.827381
42,Liaoning,electicity,0.52231,0.52231,0.58241,0.59623,0.479505357,0.522561458,0.5246,0.5246,0.5246,0.5246
43,Liaoning,labor,27349.0,36040.0,35463.0,41238.0,49014.0,54082.0,56411.0,58246.0,61158.3,63317.0
44,Liaoning,water,,,,,,,,,3.097345133,3.5
