,Date,RMB_per_US,AU_per_US,MONTH,RMB_per_US1,AU_per_US1
92,2013-04-04,6.2633,1.0459,4 2013,6.2468,1.0404
93,2013-04-11,6.2606,1.0449,4 2013,6.2468,1.0404
94,2013-04-18,6.2425,1.0429,4 2013,6.2468,1.0404
95,2013-04-25,6.2208,1.0279,4 2013,6.2468,1.0404
96,2013-05-02,6.21,1.0317,5 2013,6.19566,0.9987039999999998
97,2013-05-09,6.2016,1.0236,5 2013,6.19566,0.9987039999999998
98,2013-05-16,6.1997,0.9962,5 2013,6.19566,0.9987039999999998
99,2013-05-23,6.187,0.9784,5 2013,6.19566,0.9987039999999998
100,2013-05-30,6.18,0.96362,5 2013,6.19566,0.9987039999999998
101,2013-06-06,6.16,0.96154,6 2013,6.17,0.9451799999999999
102,2013-06-13,6.16,0.9448,6 2013,6.17,0.9451799999999999
103,2013-06-20,6.18,0.9489,6 2013,6.17,0.9451799999999999
104,2013-06-27,6.18,0.92548,6 2013,6.17,0.9451799999999999
105,2013-07-04,6.178,0.9169,7 2013,6.172924999999999,0.9179999999999999
106,2013-07-11,6.1716,0.9162,7 2013,6.172924999999999,0.9179999999999999
107,2013-07-18,6.167,0.9173,7 2013,6.172924999999999,0.9179999999999999
108,2013-07-25,6.1751,0.9216,7 2013,6.172924999999999,0.9179999999999999
109,2013-08-01,6.1817,0.9121,8 2013,6.13386049297668,0.90632
110,2013-08-08,6.12182430364249,0.8981,8 2013,6.13386049297668,0.90632
111,2013-08-15,6.12636234982754,0.9143,8 2013,6.13386049297668,0.90632
112,2013-08-22,6.11834095066782,0.909,8 2013,6.13386049297668,0.90632
113,2013-08-29,6.12107486074555,0.8981,8 2013,6.13386049297668,0.90632
114,2013-09-05,6.11995104039168,0.897,9 2013,6.121741758981498,0.921925
115,2013-09-12,6.11995104039168,0.922,9 2013,6.121741758981498,0.921925
116,2013-09-19,6.11961397475047,0.9293,9 2013,6.121741758981498,0.921925
117,2013-09-26,6.127450980392161,0.9394,9 2013,6.121741758981498,0.921925
118,2013-10-12,6.12055035988836,0.9396000000000002,10 2013,6.112002874076737,0.9524666666666667
119,2013-10-18,6.11022852254674,0.9519,10 2013,6.112002874076737,0.9524666666666667
