Imported Bauxite Stocks,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
Refineries,6.17289651833581,9.86246314909132,7.27632344896019,8.83572519945435,13.0736064982246,8.48345846130442,8.42848437092752,8.60878187952685,9.80757344543388,11.185102700638,12.383844889926,11.4324477363815,13.4230888851752,14.9410468727531,15.6391608477044,16.6705566692142,19.1701291152301,19.1336197418412,20.3580664596468,21.1217675741427,22.3495390097604,22.5286642063457,24.4164920350428,25.0957552009485,26.6200272315147,27.8053248818605,31.2102192672861,30.521887006156,31.7907201227932,31.5039059473945,30.8092440118772,29.850293287615,30.0047472736482,29.5126304249091,25.3558914254977,25.9046745354115,
Port,13.212,9.576,11.988,11.682,7.704,13.167,14.355,13.194,12.4281818181818,12.5983636363636,12.8536363636364,14.7681818181818,14.3852727272727,13.194,14.2576363636364,14.6830909090909,13.6221818181818,15.2321818181818,15.336,14.67,15.201,16.425,16.605,19.017,20.25,22.5,21.87,23.355,23.841,25.02,24.93,23.697,22.455,23.22,26.685,26.505,
Weeks of Supply,15.0493568089316,15.0201781325739,14.5621174279443,15.5484766492569,15.6062900676503,16.9120658410718,18.001075146125,17.7067040344049,17.5068732237609,18.7066517082627,19.9619262904643,20.3652978494887,21.6859014436462,21.9175617335029,23.8871801716428,24.5323478253456,26.6481506408747,27.2272256029046,27.3590806190344,26.2371652390998,27.2287538146302,29.4811657925324,31.104108362063,30.334745015234,32.988205596792,33.9370481117828,36.5403785770794,33.0217391987708,33.8430838540749,32.2824742477911,31.552799372529,29.0902701516343,28.7950431836934,28.8448357057314,28.4753736694729,27.9713029268115,
TOTAL,19.38489651833581,19.43846314909132,19.26432344896019,20.51772519945435,20.7776064982246,21.650458461304417,22.78348437092752,21.80278187952685,22.23575526361568,23.7834663370016,25.2374812535624,26.2006295545633,27.8083616124479,28.1350468727531,29.8967972113408,31.3536475783051,32.7923109334119,34.365801560023,35.6940664596468,35.7917675741427,37.5505390097604,38.9536642063457,41.0214920350428,44.1127552009485,46.8700272315147,50.3053248818605,53.0802192672861,53.876887006156,55.6317201227932,56.523905947394496,55.739244011877204,53.547293287615,52.4597472736482,52.732630424909104,52.0408914254977,52.4096745354115,0.0
