Mine,Amount per Capacity Tarrif Graduations - Tonnage Reference,Amount per Capacity Tarrif Graduations - 1st,Amount per Capacity Tarrif Graduations - 2nd,Amount per Capacity Tarrif Graduations - 3rd,Amount per Capacity Tarrif Graduations - 4th,Amount per Capacity Tarrif Graduations - 5th,Amount per Capacity Tarrif Graduations - 6th,Amount per Capacity Tarrif Graduations - 7th,Amount per Capacity Tarrif Graduations - 8th,Amount per Capacity Tarrif Graduations - 9th,Amounts per Cargo Tarrif Graduations - Tonnage Reference,Amounts per Cargo Tarrif Graduations - 1st,Amounts per Cargo Tarrif Graduations - 2nd,Amounts per Cargo Tarrif Graduations - 3rd,Amounts per Cargo Tarrif Graduations - 4th,Amounts per Cargo Tarrif Graduations - 5th,Amounts per Cargo Tarrif Graduations - 6th,Amounts per Cargo Tarrif Graduations - 7th,Amounts per Cargo Tarrif Graduations - 8th,Amounts per Cargo Tarrif Graduations - 9th
West Kalimantan Generic,92911.01055806939,92911.01055806939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90588.23529411765,90588.23529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Kalimantan Generic,184615.38461538462,184615.38461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weipa/Amrun Generic,91954.02298850576,91954.02298850576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89655.17241379312,89655.17241379312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia Kuantan washed,,,,,,,,,,,,,,,,,,,,
Malaysia Kuantan washed,,,,,,,,,,,,,,,,,,,,
India Gujarat,,,,,,,,,,,,,,,,,,,,
India Gujarat,,,,,,,,,,,,,,,,,,,,
India Gujarat,,,,,,,,,,,,,,,,,,,,
SMB Generic,172079.77207977208,172079.77207977208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167777.77777777778,167777.77777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
