Price,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties
50.14999999999999,0.448,0.4,0.023,0.013,0.01,0.035,0.1,LT,0.33
52.94117647058824,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33
50.0,0.53,0.3625,0.08999999999999998,0.0675,0.0225,0.1,0.13,HT-D,0.67
50.14999999999999,0.495,0.425,0.05,0.042,0.008,0.028,0.095,LT,0.67
50.14999999999999,0.46,0.405,0.048,0.017,0.031,0.038,0.101,LT,0.33
50.14999999999999,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33
50.14999999999999,0.487,0.433,0.022,0.019,0.003,0.035,0.071,LT,0.33
50.14999999999999,0.35,0.33,0.2,0.011,0.18899999999999997,0.008999999999999958,0.08,LT,1.0
100.29999999999998,0.562,0.45,0.082,0.05,0.032,0.062,0.05,HT-D,0.0
50.14999999999999,0.513,0.405,0.095,0.051,0.044,0.057,0.1,HT-D,0.67
50.14999999999999,0.42,0.371,0.019,0.013999999999999999,0.005,0.035,0.1,LT,0.33
50.14999999999999,0.48,0.47,0.011,0.01,0.0009999999999999987,0.0,0.15,HT-D,2.5
50.14999999999999,0.49,0.43,0.015,0.01,0.005,0.05,0.17,HT-D,0.8299999999999998
50.14999999999999,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,0.0
