Date,Typical Mine,Exporting Port,Importing Port,VLOC – Distance using Main Engine Fuel,VLOC – Distance using Auxiliary Fuel,VLOC – Applicable Time Charter Index,VLOC – Applicable Fuel Region,VLOC – Main Engine Fuel,VLOC – Auxiliary Fuel,VLOC – Canals used,Capesize – Distance using Main Engine Fuel,Capesize – Distance using Auxiliary Fuel,Capesize – Applicable Time Charter Index,Capesize – Applicable Fuel Region,Capesize – Main Engine Fuel,Capesize – Auxiliary Fuel,Capesize – Canals used,Suezmax – Distance using Main Engine Fuel,Suezmax – Distance using Auxiliary Fuel,Suezmax – Applicable Time Charter Index,Suezmax – Applicable Fuel Region,Suezmax – Main Engine Fuel,Suezmax – Auxiliary Fuel,Suezmax – Canals used,NeoPanamax – Distance using Main Engine Fuel,NeoPanamax – Distance using Auxiliary Fuel,NeoPanamax – Applicable Time Charter Index,NeoPanamax – Applicable Fuel Region,NeoPanamax – Main Engine Fuel,NeoPanamax – Auxiliary Fuel,NeoPanamax – Canals used,Panamax – Distance using Main Engine Fuel,Panamax – Distance using Auxiliary Fuel,Panamax – Applicable Time Charter Index,Panamax – Applicable Fuel Region,Panamax – Main Engine Fuel,Panamax – Auxiliary Fuel,Panamax – Canals used,Supramax – Distance using Main Engine Fuel,Supramax – Distance using Auxiliary Fuel,Supramax – Applicable Time Charter Index,Supramax – Applicable Fuel Region,Supramax – Main Engine Fuel,Supramax – Auxiliary Fuel,Supramax – Canals used,Handysize – Distance using Main Engine Fuel,Handysize – Distance using Auxiliary Fuel,Handysize – Applicable Time Charter Index,Handysize – Applicable Fuel Region,Handysize – Main Engine Fuel,Handysize – Auxiliary Fuel,Handysize – Canals used,model_id,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
2019-01-01 00:00:00.000,MRN,MRN_wharf,Qingdao,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11184.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,Panamar,11184.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,Panamar,11184.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,Panamar,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,MRN,MRN_wharf,Pt_Lisas,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,1623.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,1632.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,1632.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,MRN,Pt_Lisas,Qingdao,13157.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,13157.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,13157.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,Juruti,Juruti_wharf,Qingdao,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11153.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,Panamar,11153.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,Panamar,11153.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,Panamar,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,Juruti,Juruti_wharf,Pt_Lisas,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,1601.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,1601.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,1601.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,SMB Generic,SMB-WAP_Nunez_Offshore,Qingdao,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,Alufer Bel Air,Alufer_Cape_Verga_Offshore,Qingdao,11100.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,CBG LT,CBG_Wharf,Qingdao,11170.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,GAC Generic,GAC_Offshore,Qingdao,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01 00:00:00.000,Weipa/Amrun Generic,Weipa_Amrun_Wharf,Qingdao,3280.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none,model_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
