Date,Vesssel class,Applicable Time Charter Index,Vessel Time Charter Rates,model_id
2019-05-03 00:00:00.000,Supramax,Supramax_General,7610.0,model_8
2019-05-03 00:00:00.000,Handysize,Handysize_General,7610.0,model_8
2019-05-03 00:00:00.000,Panamax,P3A_03,8246.0,model_8
2019-05-10 00:00:00.000,Capesize,Capesize_General,11508.0,model_8
2019-05-10 00:00:00.000,Panamax,Panamax_General,8226.0,model_8
2019-05-10 00:00:00.000,Supramax,Supramax_General,7993.0,model_8
2019-05-10 00:00:00.000,Handysize,Handysize_General,7993.0,model_8
2019-05-10 00:00:00.000,Panamax,P3A_03,8226.0,model_8
2019-05-17 00:00:00.000,Capesize,Capesize_General,11492.0,model_8
2019-05-17 00:00:00.000,Panamax,Panamax_General,8730.0,model_8
2019-05-17 00:00:00.000,Supramax,Supramax_General,7957.0,model_8
2019-05-17 00:00:00.000,Handysize,Handysize_General,7957.0,model_8
2019-05-17 00:00:00.000,Panamax,P3A_03,8730.0,model_8
2019-05-24 00:00:00.000,Capesize,Capesize_General,13708.0,model_8
2019-05-24 00:00:00.000,Panamax,Panamax_General,9356.0,model_8
2019-05-24 00:00:00.000,Supramax,Supramax_General,7800.0,model_8
2019-05-24 00:00:00.000,Handysize,Handysize_General,7800.0,model_8
2019-05-24 00:00:00.000,Panamax,P3A_03,9356.0,model_8
2019-05-31 00:00:00.000,Capesize,Capesize_General,15625.0,model_8
2019-05-31 00:00:00.000,Panamax,Panamax_General,10442.0,model_8
2019-05-31 00:00:00.000,Supramax,Supramax_General,7471.0,model_8
2019-05-31 00:00:00.000,Handysize,Handysize_General,7471.0,model_8
2019-05-31 00:00:00.000,Panamax,P3A_03,10442.0,model_8
2019-06-07 00:00:00.000,Capesize,Capesize_General,17208.0,model_8
2019-06-07 00:00:00.000,Panamax,Panamax_General,10220.0,model_8
2019-06-07 00:00:00.000,Supramax,Supramax_General,7200.0,model_8
2019-06-07 00:00:00.000,Handysize,Handysize_General,7200.0,model_8
2019-06-07 00:00:00.000,Panamax,P3A_03,10220.0,model_8
2019-06-14 00:00:00.000,Capesize,Capesize_General,15458.0,model_8
2019-06-14 00:00:00.000,Panamax,Panamax_General,9627.0,model_8
2019-06-14 00:00:00.000,Supramax,Supramax_General,6814.0,model_8
2019-06-14 00:00:00.000,Handysize,Handysize_General,6814.0,model_8
2019-06-14 00:00:00.000,Panamax,P3A_03,9627.0,model_8
2019-06-21 00:00:00.000,Capesize,Capesize_General,17350.0,model_8
2019-06-21 00:00:00.000,Panamax,Panamax_General,8894.0,model_8
2019-06-21 00:00:00.000,Supramax,Supramax_General,7121.0,model_8
2019-06-21 00:00:00.000,Handysize,Handysize_General,7121.0,model_8
2019-06-21 00:00:00.000,Panamax,P3A_03,8894.0,model_8
2019-06-28 00:00:00.000,Capesize,Capesize_General,15988.0,model_8
2019-06-28 00:00:00.000,Panamax,Panamax_General,9459.0,model_8
2019-06-28 00:00:00.000,Supramax,Supramax_General,7564.0,model_8
2019-06-28 00:00:00.000,Handysize,Handysize_General,7564.0,model_8
2019-06-28 00:00:00.000,Panamax,P3A_03,9459.0,model_8
2019-07-05 00:00:00.000,Capesize,Capesize_General,23142.0,model_8
2019-07-05 00:00:00.000,Panamax,Panamax_General,10784.0,model_8
2019-07-05 00:00:00.000,Supramax,Supramax_General,7721.0,model_8
2019-07-05 00:00:00.000,Handysize,Handysize_General,7721.0,model_8
2019-07-05 00:00:00.000,Panamax,P3A_03,10784.0,model_8
2019-07-12 00:00:00.000,Capesize,Capesize_General,23717.0,model_8
2019-07-12 00:00:00.000,Panamax,Panamax_General,12055.0,model_8
2019-07-12 00:00:00.000,Supramax,Supramax_General,7921.0,model_8
2019-07-12 00:00:00.000,Handysize,Handysize_General,7921.0,model_8
2019-07-12 00:00:00.000,Panamax,P3A_03,12055.0,model_8
2019-07-19 00:00:00.000,Capesize,Capesize_General,29979.0,model_8
2019-07-19 00:00:00.000,Panamax,Panamax_General,13982.0,model_8
2019-07-19 00:00:00.000,Supramax,Supramax_General,8900.0,model_8
2019-07-19 00:00:00.000,Handysize,Handysize_General,8900.0,model_8
2019-07-19 00:00:00.000,Panamax,P3A_03,13982.0,model_8
2019-07-26 00:00:00.000,Capesize,Capesize_General,24667.0,model_8
2019-07-26 00:00:00.000,Panamax,Panamax_General,13945.0,model_8
2019-07-26 00:00:00.000,Supramax,Supramax_General,9971.0,model_8
2019-07-26 00:00:00.000,Handysize,Handysize_General,9971.0,model_8
2019-07-26 00:00:00.000,Panamax,P3A_03,13945.0,model_8
2019-08-02 00:00:00.000,Capesize,Capesize_General,24708.0,model_8
2019-08-02 00:00:00.000,Panamax,Panamax_General,11496.0,model_8
2019-08-02 00:00:00.000,Supramax,Supramax_General,9743.0,model_8
2019-08-02 00:00:00.000,Handysize,Handysize_General,9743.0,model_8
2019-08-02 00:00:00.000,Panamax,P3A_03,11496.0,model_8
2019-08-09 00:00:00.000,Capesize,Capesize_General,22138.0,model_8
2019-08-09 00:00:00.000,Panamax,Panamax_General,11058.0,model_8
2019-08-09 00:00:00.000,Supramax,Supramax_General,9429.0,model_8
2019-08-09 00:00:00.000,Handysize,Handysize_General,9429.0,model_8
2019-08-09 00:00:00.000,Panamax,P3A_03,11058.0,model_8
2019-08-16 00:00:00.000,Capesize,Capesize_General,28750.0,model_8
2019-08-16 00:00:00.000,Panamax,Panamax_General,14225.0,model_8
2019-08-16 00:00:00.000,Supramax,Supramax_General,10350.0,model_8
2019-08-16 00:00:00.000,Handysize,Handysize_General,10350.0,model_8
2019-08-16 00:00:00.000,Panamax,P3A_03,14225.0,model_8
2019-08-23 00:00:00.000,Capesize,Capesize_General,29683.0,model_8
2019-08-23 00:00:00.000,Panamax,Panamax_General,15307.0,model_8
2019-08-23 00:00:00.000,Supramax,Supramax_General,11850.0,model_8
2019-08-23 00:00:00.000,Handysize,Handysize_General,11850.0,model_8
2019-08-23 00:00:00.000,Panamax,P3A_03,15307.0,model_8
2019-08-30 00:00:00.000,Capesize,Capesize_General,30188.0,model_8
2019-08-30 00:00:00.000,Panamax,Panamax_General,16112.0,model_8
2019-08-30 00:00:00.000,Supramax,Supramax_General,12686.0,model_8
2019-08-30 00:00:00.000,Handysize,Handysize_General,12686.0,model_8
2019-08-30 00:00:00.000,Panamax,P3A_03,16112.0,model_8
2019-09-06 00:00:00.000,Capesize,Capesize_General,33250.0,model_8
2019-09-06 00:00:00.000,Panamax,Panamax_General,15673.0,model_8
2019-09-06 00:00:00.000,Supramax,Supramax_General,12543.0,model_8
2019-09-06 00:00:00.000,Handysize,Handysize_General,12543.0,model_8
2019-09-06 00:00:00.000,Panamax,P3A_03,15673.0,model_8
2019-09-13 00:00:00.000,Capesize,Capesize_General,30868.0,model_8
2019-09-13 00:00:00.000,Panamax,Panamax_General,14284.0,model_8
2019-09-13 00:00:00.000,Supramax,Supramax_General,12086.0,model_8
2019-09-13 00:00:00.000,Handysize,Handysize_General,12086.0,model_8
2019-09-13 00:00:00.000,Panamax,P3A_03,14284.0,model_8
2019-09-20 00:00:00.000,Capesize,Capesize_General,24896.0,model_8
2019-09-20 00:00:00.000,Panamax,Panamax_General,13227.0,model_8
2019-09-20 00:00:00.000,Supramax,Supramax_General,11807.0,model_8
2019-09-20 00:00:00.000,Handysize,Handysize_General,11807.0,model_8
2019-09-20 00:00:00.000,Panamax,P3A_03,13227.0,model_8
2019-09-27 00:00:00.000,Capesize,Capesize_General,20438.0,model_8
2019-09-27 00:00:00.000,Panamax,Panamax_General,11941.0,model_8
2019-09-27 00:00:00.000,Supramax,Supramax_General,11671.0,model_8
2019-09-27 00:00:00.000,Handysize,Handysize_General,11671.0,model_8
2019-09-27 00:00:00.000,Panamax,P3A_03,11941.0,model_8
2019-10-04 00:00:00.000,Capesize,Capesize_General,20438.0,model_8
2019-10-04 00:00:00.000,Panamax,Panamax_General,11941.0,model_8
2019-10-04 00:00:00.000,Supramax,Supramax_General,11671.0,model_8
2019-10-04 00:00:00.000,Handysize,Handysize_General,11671.0,model_8
2019-10-04 00:00:00.000,Panamax,P3A_03,11941.0,model_8
2019-10-11 00:00:00.000,Capesize,Capesize_General,24633.0,model_8
2019-10-11 00:00:00.000,Panamax,Panamax_General,13525.0,model_8
2019-10-11 00:00:00.000,Supramax,Supramax_General,12086.0,model_8
2019-10-11 00:00:00.000,Handysize,Handysize_General,12086.0,model_8
2019-10-11 00:00:00.000,Panamax,P3A_03,13525.0,model_8
2019-10-18 00:00:00.000,Capesize,Capesize_General,23125.0,model_8
2019-10-18 00:00:00.000,Panamax,Panamax_General,13442.0,model_8
2019-10-18 00:00:00.000,Supramax,Supramax_General,12314.0,model_8
2019-10-18 00:00:00.000,Handysize,Handysize_General,12314.0,model_8
2019-10-18 00:00:00.000,Panamax,P3A_03,13442.0,model_8
