Date,RMB per US$,AU$ per US$,US$ per US$,IMF Special Drawing Rights to US Dollar,model_id
2012-11-29 00:00:00.000,6.28906,1.04526,1,1.35,model_8
2012-12-06 00:00:00.000,6.28934,1.04448,1,1.35,model_8
2012-12-13 00:00:00.000,6.2910200000000005,1.05016,1,1.35,model_8
2012-12-20 00:00:00.000,6.288740000000001,1.05242,1,1.35,model_8
2012-12-27 00:00:00.000,6.290699999999999,1.040433333333333,1,1.35,model_8
2013-01-03 00:00:00.000,6.2923,1.043075,1,1.35,model_8
2013-01-10 00:00:00.000,6.285342857142857,1.0487799999999998,1,1.35,model_8
2013-01-17 00:00:00.000,6.272200000000001,1.0552199999999998,1,1.35,model_8
2013-01-24 00:00:00.000,6.27724,1.05274,1,1.35,model_8
2013-01-31 00:00:00.000,6.2815,1.0441000000000005,1,1.35,model_8
2013-02-07 00:00:00.000,6.28616,1.03778,1,1.35,model_8
2013-02-14 00:00:00.000,6.285639999999999,1.031,1,1.35,model_8
2013-02-21 00:00:00.000,6.2821750000000005,1.0316999999999998,1,1.35,model_8
2013-02-28 00:00:00.000,6.284799999999999,1.0272,1,1.35,model_8
2013-03-07 00:00:00.000,6.27894,1.0225000000000002,1,1.35,model_8
2013-03-14 00:00:00.000,6.2746,1.02846,1,1.35,model_8
2013-03-21 00:00:00.000,6.27338,1.0375799999999995,1,1.35,model_8
2013-03-28 00:00:00.000,6.27174,1.0447,1,1.35,model_8
2013-04-04 00:00:00.000,6.2633,1.0459,1,1.35,model_8
2013-04-11 00:00:00.000,6.2606,1.0449,1,1.35,model_8
2013-04-18 00:00:00.000,6.2425,1.0429,1,1.35,model_8
2013-04-25 00:00:00.000,6.2208,1.0279,1,1.35,model_8
2013-05-02 00:00:00.000,6.21,1.0317,1,1.35,model_8
2013-05-09 00:00:00.000,6.2016,1.0236,1,1.35,model_8
2013-05-16 00:00:00.000,6.1997,0.9962,1,1.35,model_8
2013-05-23 00:00:00.000,6.187,0.9784,1,1.35,model_8
2013-05-30 00:00:00.000,6.18,0.96362,1,1.35,model_8
2013-06-06 00:00:00.000,6.16,0.96154,1,1.35,model_8
2013-06-13 00:00:00.000,6.16,0.9448,1,1.35,model_8
2013-06-20 00:00:00.000,6.18,0.9489,1,1.35,model_8
2013-06-27 00:00:00.000,6.18,0.92548,1,1.35,model_8
2013-07-04 00:00:00.000,6.178,0.9169,1,1.35,model_8
2013-07-11 00:00:00.000,6.1716,0.9162,1,1.35,model_8
2013-07-18 00:00:00.000,6.167,0.9173,1,1.35,model_8
2013-07-25 00:00:00.000,6.1751,0.9216,1,1.35,model_8
2013-08-01 00:00:00.000,6.1817,0.9121,1,1.35,model_8
2013-08-08 00:00:00.000,6.1218243036424855,0.8981,1,1.35,model_8
2013-08-15 00:00:00.000,6.126362349827542,0.9143,1,1.35,model_8
2013-08-22 00:00:00.000,6.118340950667816,0.909,1,1.35,model_8
2013-08-29 00:00:00.000,6.121074860745548,0.8981,1,1.35,model_8
2013-09-05 00:00:00.000,6.119951040391678,0.897,1,1.35,model_8
2013-09-12 00:00:00.000,6.119951040391678,0.922,1,1.35,model_8
2013-09-19 00:00:00.000,6.1196139747504725,0.9293,1,1.35,model_8
2013-09-26 00:00:00.000,6.127450980392156,0.9394,1,1.35,model_8
2013-10-12 00:00:00.000,6.1205503598883615,0.9396000000000002,1,1.35,model_8
2013-10-18 00:00:00.000,6.110228522546742,0.9519,1,1.35,model_8
2013-10-25 00:00:00.000,6.105229739795108,0.9659,1,1.35,model_8
2013-11-01 00:00:00.000,6.114263353551164,0.9537000000000002,1,1.35,model_8
2013-11-08 00:00:00.000,6.12568684263723,0.94708,1,1.35,model_8
2013-11-15 00:00:00.000,6.117442664268628,0.9349,1,1.35,model_8
2013-11-22 00:00:00.000,6.115048522910029,0.93619,1,1.35,model_8
2013-11-29 00:00:00.000,6.0980815435464,0.913189,1,1.35,model_8
2013-12-06 00:00:00.000,6.092731371473832,0.9093540000000001,1,1.35,model_8
2013-12-13 00:00:00.000,6.077475659709983,0.907569,1,1.35,model_8
2013-12-20 00:00:00.000,6.083169087767963,0.892791,1,1.35,model_8
2013-12-27 00:00:00.000,6.08413136856451,0.8919669999999998,1,1.35,model_8
2014-01-03 00:00:00.000,6.069986949528057,0.890032,1,1.35,model_8
2014-01-10 00:00:00.000,6.073267903993781,0.893202,1,1.35,model_8
2014-01-17 00:00:00.000,6.076404712859495,0.8949899999999998,1,1.35,model_8
2014-01-24 00:00:00.000,6.066120715802245,0.87953,1,1.35,model_8
2014-01-31 00:00:00.000,6.08172623717516,0.873415,1,1.35,model_8
2014-02-07 00:00:00.000,6.067666618125333,0.883298,1,1.35,model_8
2014-02-14 00:00:00.000,6.062259404079901,0.8980439999999998,1,1.35,model_8
2014-02-21 00:00:00.000,6.068771316559249,0.902546,1,1.35,model_8
2014-02-28 00:00:00.000,6.101876937345928,0.898495,1,1.35,model_8
2014-03-07 00:00:00.000,6.142392953446803,0.896213,1,1.35,model_8
2014-03-14 00:00:00.000,6.135157520169329,0.903788,1,1.35,model_8
2014-03-21 00:00:00.000,6.169335932680206,0.906947,1,1.35,model_8
2014-03-28 00:00:00.000,6.212685060356237,0.914343,1,1.35,model_8
2014-04-04 00:00:00.000,6.211527352460696,0.924436,1,1.35,model_8
2014-04-11 00:00:00.000,6.208288064566196,0.932188,1,1.35,model_8
2014-04-18 00:00:00.000,6.21616077478228,0.938019,1,1.35,model_8
2014-04-25 00:00:00.000,6.232354645908769,0.931849,1,1.35,model_8
2014-05-02 00:00:00.000,6.255121380630391,0.926766,1,1.35,model_8
2014-05-09 00:00:00.000,6.2466034093961404,0.9526540000000001,1,1.35,model_8
2014-05-16 00:00:00.000,6.229753301769249,0.936124,1,1.35,model_8
2014-05-23 00:00:00.000,6.2358912959429285,0.930185,1,1.35,model_8
2014-05-30 00:00:00.000,6.240872723641673,0.924133,1,1.35,model_8
2014-06-06 00:00:00.000,6.2511330178594875,0.928835,1,1.35,model_8
2014-06-13 00:00:00.000,6.244107123901817,0.936002,1,1.35,model_8
2014-06-20 00:00:00.000,6.222155852559795,0.938101,1,1.35,model_8
2014-06-27 00:00:00.000,6.228511634859734,0.939397,1,1.35,model_8
2014-07-04 00:00:00.000,6.2095987978216725,0.94255,1,1.35,model_8
2014-07-11 00:00:00.000,6.203012182715927,0.937938,1,1.35,model_8
2014-07-18 00:00:00.000,6.20432068892777,0.9380870000000001,1,1.35,model_8
2014-07-25 00:00:00.000,6.1672,0.940234,1,1.35,model_8
2014-08-01 00:00:00.000,6.184100677159025,0.937318,1,1.35,model_8
2014-08-08 00:00:00.000,6.176041898268238,0.93124,1,1.35,model_8
2014-08-15 00:00:00.000,6.157635467980296,0.928355,1,1.35,model_8
2014-08-22 00:00:00.000,6.146281499692686,0.93157,1,1.35,model_8
2014-08-29 00:00:00.000,6.149342942706571,0.931977,1,1.35,model_8
2014-09-05 00:00:00.000,6.142883469500584,0.933277,1,1.35,model_8
2014-09-12 00:00:00.000,6.137416761285175,0.925179,1,1.35,model_8
2014-09-19 00:00:00.000,6.140393967676967,0.9043540000000002,1,1.35,model_8
2014-09-26 00:00:00.000,6.140130047954416,0.8882139999999998,1,1.35,model_8
2014-10-03 00:00:00.000,6.137416761285175,0.8747479999999997,1,1.35,model_8
2014-10-10 00:00:00.000,6.138358602909582,0.874872,1,1.35,model_8
2014-10-17 00:00:00.000,6.127038006016751,0.873603,1,1.35,model_8
2014-10-24 00:00:00.000,6.122086652014472,0.877016,1,1.35,model_8
2014-10-31 00:00:00.000,6.115385085798852,0.882553,1,1.35,model_8
2014-11-07 00:00:00.000,6.11396429444852,0.87131,1,1.35,model_8
2014-11-14 00:00:00.000,6.12332374012614,0.866414,1,1.35,model_8
2014-11-21 00:00:00.000,6.1253116252289335,0.870222,1,1.35,model_8
2014-11-28 00:00:00.000,6.133012781198637,0.8605159999999998,1,1.35,model_8
2014-12-05 00:00:00.000,6.14798192493314,0.847615,1,1.35,model_8
2014-12-12 00:00:00.000,6.168086,0.831227,1,1.35,model_8
2014-12-19 00:00:00.000,6.193139240349541,0.821727,1,1.35,model_8
2014-12-26 00:00:00.000,6.219679064560268,0.812482,1,1.35,model_8
2015-01-02 00:00:00.000,6.214074879602299,0.8149999999999998,1,1.35,model_8
2015-01-09 00:00:00.000,6.2116816885835515,0.80938,1,1.35,model_8
2015-01-16 00:00:00.000,6.20189653996192,0.818523,1,1.35,model_8
2015-01-23 00:00:00.000,6.210640068565467,0.8177999999999997,1,1.35,model_8
2015-01-30 00:00:00.000,6.23966555392631,0.791042,1,1.35,model_8
2015-02-06 00:00:00.000,6.252579188915428,0.777644,1,1.35,model_8
2015-02-13 00:00:00.000,6.243951172301832,0.778134,1,1.35,model_8
2015-02-20 00:00:00.000,6.247383907988531,0.7783919999999998,1,1.35,model_8
2015-02-27 00:00:00.000,6.25594314598869,0.783625,1,1.35,model_8
2015-03-06 00:00:00.000,6.270182148791423,0.780634,1,1.35,model_8
2015-03-13 00:00:00.000,6.263191847829491,0.767899,1,1.35,model_8
2015-03-20 00:00:00.000,6.244497036986155,0.763966,1,1.35,model_8
2015-03-27 00:00:00.000,6.208673516903112,0.781841,1,1.35,model_8
2015-04-03 00:00:00.000,6.206245965940123,0.76739,1,1.35,model_8
2015-04-10 00:00:00.000,6.1988978359647655,0.765306,1,1.35,model_8
2015-04-17 00:00:00.000,6.2078255849323645,0.767906,1,1.35,model_8
2015-04-24 00:00:00.000,6.198283075588063,0.77614,1,1.35,model_8
2015-05-01 00:00:00.000,6.2015888470626175,0.789975,1,1.35,model_8
2015-05-08 00:00:00.000,6.203358498290974,0.788643,1,1.35,model_8
2015-05-15 00:00:00.000,6.2074017057939885,0.798351,1,1.35,model_8
2015-05-22 00:00:00.000,6.204243702692642,0.796887,1,1.35,model_8
2015-05-29 00:00:00.000,6.200089281285652,0.7771719999999998,1,1.35,model_8
2015-06-05 00:00:00.000,6.198782559105392,0.768414,1,1.35,model_8
2015-06-12 00:00:00.000,6.204859646074807,0.767305,1,1.35,model_8
2015-06-19 00:00:00.000,6.208557876176521,0.774128,1,1.35,model_8
2015-06-26 00:00:00.000,6.2087506131141215,0.774594,1,1.35,model_8
2015-07-03 00:00:00.000,6.206130415624553,0.766467,1,1.35,model_8
2015-07-10 00:00:00.000,6.207709975789932,0.747973,1,1.35,model_8
2015-07-17 00:00:00.000,6.209136122891223,0.7420099999999998,1,1.35,model_8
2015-07-24 00:00:00.000,6.2095602389438795,0.738399,1,1.35,model_8
2015-07-31 00:00:00.000,6.209483122624873,0.7299029999999997,1,1.35,model_8
2015-08-07 00:00:00.000,6.209714477328332,0.7328209999999998,1,1.35,model_8
2015-08-14 00:00:00.000,6.277424498276847,0.738212,1,1.35,model_8
2015-08-21 00:00:00.000,6.392676549744612,0.7362269999999999,1,1.35,model_8
2015-08-28 00:00:00.000,6.400040960262146,0.722731,1,1.35,model_8
2015-09-04 00:00:00.000,6.3740144180206135,0.709954,1,1.35,model_8
2015-09-11 00:00:00.000,6.3650887611627756,0.697221,1,1.35,model_8
2015-09-18 00:00:00.000,6.371415282476696,0.713057,1,1.35,model_8
2015-09-25 00:00:00.000,6.372146075076626,0.712779,1,1.35,model_8
2015-10-02 00:00:00.000,6.366831355371057,0.701381,1,1.35,model_8
2015-10-09 00:00:00.000,6.355743685568648,0.711886,1,1.35,model_8
2015-10-16 00:00:00.000,6.342159505311559,0.732222,1,1.35,model_8
2015-10-23 00:00:00.000,6.353361245767072,0.7252619999999999,1,1.35,model_8
2015-10-30 00:00:00.000,6.352796183240052,0.719197,1,1.35,model_8
2015-11-06 00:00:00.000,6.329955247216402,0.714499,1,1.35,model_8
2015-11-13 00:00:00.000,6.359988043222479,0.705403,1,1.35,model_8
2015-11-20 00:00:00.000,6.377022313201072,0.712395,1,1.35,model_8
2015-11-27 00:00:00.000,6.387572339256742,0.723033,1,1.35,model_8
2015-12-04 00:00:00.000,6.396888553407623,0.72514,1,1.35,model_8
2015-12-11 00:00:00.000,6.413463141827323,0.7289379999999998,1,1.35,model_8
2015-12-18 00:00:00.000,6.459864859627137,0.7203,1,1.35,model_8
2015-12-25 00:00:00.000,6.47,0.7230657989877078,1,1.35,model_8
2016-01-01 00:00:00.000,6.49,0.7289161017566878,1,1.35,model_8
2016-01-08 00:00:00.000,6.5472,0.710277718587968,1,1.35,model_8
2016-01-15 00:00:00.000,6.5799,0.6963788300835655,1,1.35,model_8
2016-01-22 00:00:00.000,6.5748,0.6904170118751727,1,1.35,model_8
2016-01-29 00:00:00.000,6.5768,0.7021978793624044,1,1.35,model_8
2016-02-05 00:00:00.000,6.5813,0.7105300554213442,1,1.35,model_8
2016-02-12 00:00:00.000,6.5735,0.7077140835102618,1,1.35,model_8
2016-02-19 00:00:00.000,6.5328,0.71285999429712,1,1.35,model_8
2016-02-26 00:00:00.000,6.5259,0.7184424168402903,1,1.35,model_8
2016-03-04 00:00:00.000,6.5495,0.7209805335255947,1,1.35,model_8
2016-03-11 00:00:00.000,6.5141,0.7455453664355477,1,1.35,model_8
2016-03-18 00:00:00.000,6.4898,0.7549448890231013,1,1.35,model_8
2016-03-25 00:00:00.000,6.49268,0.7573577303503536,1,1.35,model_8
2016-04-01 00:00:00.000,6.4886,0.7583801001061731,1,1.35,model_8
2016-04-08 00:00:00.000,6.47651,0.7602076887405638,1,1.35,model_8
2016-04-15 00:00:00.000,6.46943,0.7624682622585834,1,1.35,model_8
2016-04-22 00:00:00.000,6.4752,0.7753801301087858,1,1.35,model_8
2016-04-29 00:00:00.000,6.49119,0.7678368500261064,1,1.35,model_8
2016-05-06 00:00:00.000,6.48331,0.7539090182596766,1,1.35,model_8
2016-05-13 00:00:00.000,6.50791,0.734635106742481,1,1.35,model_8
2016-05-20 00:00:00.000,6.5332,0.7269766495100178,1,1.35,model_8
2016-05-27 00:00:00.000,6.5527,0.7211573132563138,1,1.35,model_8
2016-06-03 00:00:00.000,6.57605,0.7220998664115248,1,1.35,model_8
2016-06-10 00:00:00.000,6.56533,0.740433597914939,1,1.35,model_8
2016-06-17 00:00:00.000,6.57972,0.7379964871367213,1,1.35,model_8
2016-06-24 00:00:00.000,6.58682,0.7459736074537683,1,1.35,model_8
2016-07-01 00:00:00.000,6.63718,0.7439258454717234,1,1.35,model_8
2016-07-08 00:00:00.000,6.66922,0.7502100588164686,1,1.35,model_8
2016-07-15 00:00:00.000,6.68803,0.759485979888811,1,1.35,model_8
2016-07-22 00:00:00.000,6.68544,0.7532502749363502,1,1.35,model_8
2016-07-29 00:00:00.000,6.67155,0.7492432643030538,1,1.35,model_8
2016-08-05 00:00:00.000,6.63807,0.7601499015605877,1,1.35,model_8
2016-08-12 00:00:00.000,6.64974,0.7662013270606984,1,1.35,model_8
2016-08-19 00:00:00.000,6.63478,0.766389233764044,1,1.35,model_8
2016-08-26 00:00:00.000,6.652660000000001,0.7623403849818944,1,1.35,model_8
2016-09-02 00:00:00.000,6.67721,0.7550075878262577,1,1.35,model_8
2016-09-09 00:00:00.000,6.67523,0.7620441071129197,1,1.35,model_8
2016-09-16 00:00:00.000,6.678210000000001,0.751376898165889,1,1.35,model_8
2016-09-23 00:00:00.000,6.67202,0.7560979298038683,1,1.35,model_8
2016-09-30 00:00:00.000,6.66789,0.7647130796525144,1,1.35,model_8
2016-10-07 00:00:00.000,6.66998,0.763457853309208,1,1.35,model_8
2016-10-14 00:00:00.000,6.70351,0.7580179347043352,1,1.35,model_8
2016-10-21 00:00:00.000,6.73776,0.764245536806065,1,1.35,model_8
2016-10-28 00:00:00.000,6.77186,0.7619918466872405,1,1.35,model_8
2016-11-04 00:00:00.000,6.76875,0.7636385851304294,1,1.35,model_8
2016-11-11 00:00:00.000,6.78028,0.7667359284788726,1,1.35,model_8
2016-11-18 00:00:00.000,6.84749,0.7509198768491403,1,1.35,model_8
2016-11-25 00:00:00.000,6.89975,0.7378821307084406,1,1.35,model_8
2016-12-02 00:00:00.000,6.89903,0.7445073966809861,1,1.35,model_8
2016-12-09 00:00:00.000,6.92363,0.7459903021260723,1,1.35,model_8
2016-12-16 00:00:00.000,6.90971,0.7441860465116279,1,1.35,model_8
2016-12-23 00:00:00.000,6.947,0.725689404934688,1,1.35,model_8
2016-12-30 00:00:00.000,6.9487,0.719284743251311,1,1.35,model_8
2017-01-06 00:00:00.000,6.93471,0.724574674665971,1,1.35,model_8
2017-01-13 00:00:00.000,6.92188,0.7377950257859363,1,1.35,model_8
2017-01-20 00:00:00.000,6.87723,0.7520719582449648,1,1.35,model_8
2017-01-27 00:00:00.000,6.87211,0.7559378921427816,1,1.35,model_8
2017-02-03 00:00:00.000,6.87927,0.7586735351910718,1,1.35,model_8
2017-02-10 00:00:00.000,6.8707,0.7657026470340509,1,1.35,model_8
2017-02-17 00:00:00.000,6.87138,0.7679606804131629,1,1.35,model_8
2017-02-24 00:00:00.000,6.87205,0.7682084610479899,1,1.35,model_8
2017-03-03 00:00:00.000,6.87526,0.7653334557866862,1,1.35,model_8
2017-03-10 00:00:00.000,6.904,0.7554011179936546,1,1.35,model_8
2017-03-17 00:00:00.000,6.90538,0.7598322290438272,1,1.35,model_8
2017-03-24 00:00:00.000,6.89195,0.7685804319422029,1,1.35,model_8
2017-03-31 00:00:00.000,6.88187,0.7637511484907896,1,1.35,model_8
2017-04-07 00:00:00.000,6.890596,0.7585411736149038,1,1.35,model_8
2017-04-14 00:00:00.000,6.896067,0.7521545466990192,1,1.35,model_8
2017-04-21 00:00:00.000,6.883414,0.755572916942136,1,1.35,model_8
2017-04-28 00:00:00.000,6.881269,0.7522592225100032,1,1.35,model_8
2017-05-05 00:00:00.000,6.896694,0.7473662812249632,1,1.35,model_8
2017-05-12 00:00:00.000,6.897564,0.7389939779380738,1,1.35,model_8
2017-05-19 00:00:00.000,6.89241,0.7415839491570045,1,1.35,model_8
2017-05-26 00:00:00.000,6.880073,0.7466430926554211,1,1.35,model_8
2017-06-02 00:00:00.000,6.837573,0.743436938705111,1,1.35,model_8
2017-06-09 00:00:00.000,6.800984,0.749564503023743,1,1.35,model_8
2017-06-16 00:00:00.000,6.798313,0.7560384793344442,1,1.35,model_8
2017-06-23 00:00:00.000,6.821992,0.7591544537693917,1,1.35,model_8
2017-06-30 00:00:00.000,6.811362,0.7610500664396707,1,1.35,model_8
2017-07-07 00:00:00.000,6.791669,0.763888835841053,1,1.35,model_8
2017-07-14 00:00:00.000,6.794722,0.7657501403237132,1,1.35,model_8
2017-07-21 00:00:00.000,6.765181,0.7881481434776406,1,1.35,model_8
2017-07-28 00:00:00.000,6.751128,0.794435771853935,1,1.35,model_8
2017-08-04 00:00:00.000,6.727256826483864,0.796903,1,1.35,model_8
2017-08-11 00:00:00.000,6.699943050484071,0.789942,1,1.35,model_8
2017-08-18 00:00:00.000,6.673499,0.7887803877644387,1,1.35,model_8
2017-08-25 00:00:00.000,6.663950999999999,0.7918477688501341,1,1.35,model_8
2017-09-01 00:00:00.000,6.6087,0.7937999999999998,1,1.35,model_8
2017-09-08 00:00:00.000,6.526932,0.7996871623820762,1,1.35,model_8
2017-09-15 00:00:00.000,6.523301,0.8027950111106829,1,1.35,model_8
2017-09-22 00:00:00.000,6.572061,0.7991695030524278,1,1.35,model_8
2017-09-29 00:00:00.000,6.627467,0.7902851823108886,1,1.35,model_8
2017-10-06 00:00:00.000,6.652502,0.7822259490942997,1,1.35,model_8
2017-10-13 00:00:00.000,6.610641,0.7793910306121414,1,1.35,model_8
2017-10-20 00:00:00.000,6.603632,0.7862988989456517,1,1.35,model_8
2017-10-27 00:00:00.000,6.63112,0.7756002370234325,1,1.35,model_8
2017-11-03 00:00:00.000,6.62904,0.7678869670384518,1,1.35,model_8
2017-11-10 00:00:00.000,6.634544,0.7663581053481834,1,1.35,model_8
2017-11-17 00:00:00.000,6.634302,0.7621422599499578,1,1.35,model_8
2017-11-24 00:00:00.000,6.618422,0.7584347423786787,1,1.35,model_8
2017-12-01 00:00:00.000,6.600414,0.7601187001362133,1,1.35,model_8
2017-12-08 00:00:00.000,6.616021,0.7581248237359784,1,1.35,model_8
2017-12-15 00:00:00.000,6.6113,0.7574523846494701,1,1.35,model_8
2017-12-22 00:00:00.000,6.5821,0.7672106445873674,1,1.35,model_8
2017-12-29 00:00:00.000,6.5412,0.774702552954793,1,1.35,model_8
2018-01-05 00:00:00.000,6.4915,0.7826287717815371,1,1.35,model_8
2018-01-12 00:00:00.000,6.4932,0.7857058113158923,1,1.35,model_8
