Port,Date,Unloading rate Handysize,Unloading rate Supramax,Unloading rate Panamax,Unloading rate NeoPanamax,Unloading rate Suezmax,Unloading rate Capesize,Unloading rate VLOC,Currency,RMB Fixed fee,RMB per day berthed,RMB per day anchored,RMB/T_Cargo (wet),RMB/T_Cargo (wet)/day berthed,RMB/T_Cargo (wet)/day anchored,RMB/NRT,RMB/NRT/day berthed,RMB/NRT/day anchored,RMB/GRT,RMB/GRT/day berthed,RMB/GRT/day anchored,RMB/LOA,RMB/LOA/day berthed,RMB/LOA/day anchored,spare,spare.1,spare.2,spare.3,Comment,model_id
Yantai,2019-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_8
Zhoushan,2019-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_8
Zibo,2019-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_8
Pt_Lisas,2019-01-01 00:00:00.000,30000,30000,30000,30000,30000,30000,30000,USD,,,,2.0,,,,,,,,,,,,,,,,,model_8
UAE,2019-01-01 00:00:00.000,22000,22000,22000,22000,22000,22000,22000,USD,,210.0,,0.8139999999999998,,,,,,,,,,,,,,,,,model_8
Aughinish,2019-01-01 00:00:00.000,22000,22000,22000,22000,22000,22000,22000,USD,,210.0,,0.8139999999999998,,,,,,,,,,,,,,,,,model_8
Ukraine,2019-01-01 00:00:00.000,22000,22000,22000,22000,22000,22000,22000,USD,,210.0,,0.8139999999999998,,,,,,,,,,,,,,,,,model_8
Visakhapatnam,2019-01-01 00:00:00.000,40000,40000,40000,40000,40000,40000,40000,USD,,210.0,,0.8139999999999998,,,,,,,,,,,,,,,,,model_8
Pt_Lisas,2015-01-01 00:00:00.000,30000,30000,30000,30000,30000,30000,30000,USD,,,,2.0,,,,,,,,,,,,,,,,,model_9
Binzhou,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Caofeidian,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Fangchenggang,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Jingjiang,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Lianyungang,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Liaocheng,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Longkou,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Qingdao,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Rizhao,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Shijiazhuang,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Yantai,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Zhoushan,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
Zibo,2015-01-01 00:00:00.000,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,,,,,,,model_9
