Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,DWT,Specific Index,General Index,Exporting Port,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates,Spare,model_id
Rennell Island,2019-01-01 00:00:00.000,0.48,0.47,0.011,0.01,0.0009999999999999992,,0.15,HT-D,2.5,72000.0,CBIX HT,CBIX HT,Rennell_Is._offshore,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_8
Discovery Bay,2019-01-01 00:00:00.000,0.49,0.43,0.015,0.01,0.004999999999999999,0.05,0.17,HT-D,0.83,60000.0,CBIX HT,CBIX HT,Discovery_Bay_wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Montenegro,2019-01-01 00:00:00.000,0.58,0.245,0.035,0.035,,0.3,0.08999999999999998,HT-D,,60000.0,CBIX HT,CBIX HT,Turkey,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Sierra Leone,2019-01-01 00:00:00.000,0.5,0.46,0.035,0.025,0.01,0.015,0.1,LT,,60000.0,CBIX LT,CBIX LT,Chalco_Boffa_offshore,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Johor,2019-01-01 00:00:00.000,0.48,0.415,0.08999999999999998,0.055,0.035,0.01,0.17,LT,,45000.0,CBIX LT,CBIX LT,West_Kal_Generic_Offshore,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_8
Gujarat & Maharashtra,2019-01-01 00:00:00.000,0.48,0.405,0.07,0.052500000000000005,0.0175,0.022499999999999954,0.08,LT,0.83,60000.0,CBIX LT,CBIX LT,Sikka,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_8
SMB Generic,2020-06-12 00:00:00.000,0.45,0.41,0.03,0.016,0.014,0.02400000000000004,0.1,LT,0.33,180000.0,Guinea 45/3 LT,CBIX LT,SMB-WAP_Nunez_Offshore,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Weipa/Amrun Generic,2020-06-12 00:00:00.000,0.54,0.3725000000000001,0.08999999999999998,0.0675,0.022499999999999992,0.1,0.125,HT-D,0.67,76000.0,Australia HT,CBIX HT,Weipa_Amrun_Wharf,80000.0,80000.0,80000.0,80000.0,80000.0,40000.0,40000.0,,model_8
Guinea 45/3 LT,2015-01-01 00:00:00.000,0.45,0.4025,0.03,0.0125,0.0175,0.035,0.1,LT,0.33,,Guinea 45/3 LT,CBIX LT,,,,,,,,,,model_9
Australia HT,2015-01-01 00:00:00.000,0.54,0.3725,0.08999999999999998,0.0675,0.0225,0.1,0.125,HT-D,0.67,,Australia HT,CBIX HT,,,,,,,,,,model_9
