Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,DWT,Specific Index,General Index,Exporting Port,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates,Spare,model_id
Kuantan,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Kuantan wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Malaysia Other,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Malaysia Other wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Niksic,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Niksic wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Kola Apatit,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Kola Apatit wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
North Onega,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,North Onega wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
North Ural,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,North Ural wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
South Ural,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,South Ural wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Tikhvin,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Tikhvin wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Timan,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Timan wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Kiya-Shaltyr,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Kiya-Shaltyr wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Al-Baitha,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Al-Baitha wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Mokanji,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Mokanji wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Solomon Islands,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Solomon Islands wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Suriname - AWACS,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Suriname - AWACS wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Seydisehir,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Seydisehir wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
Los Pijiguaos,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Los Pijiguaos wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Nhan Co.,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Nhan Co. wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Tan Rai,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Tan Rai wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Vietnam Others,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Vietnam Others wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Amrun HT,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX HT,CBIX HT,Amrun HT wharf,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,,model_9
GDM,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,GDM wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
SMB Malapouya,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,SMB Malapouya wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Ashapura Guinea,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Ashapura Guinea wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
SMB Kaboye,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,SMB Kaboye wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
SMB Dabiss S,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,SMB Dabiss S wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
AGB2A,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,AGB2A wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Dynamic,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,Dynamic wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
SMB Santou-Houda,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,SMB Santou-Houda wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
SMB SH no rail capital,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,SMB SH no rail capital wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
SPIC,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,SPIC wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Metro BH1,2022-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,LT,0.67,,CBIX LT,CBIX LT,Metro BH1 wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Metro LT,2022-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,LT,0.67,,CBIX LT,CBIX LT,Metro LT wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Metro Blend,2022-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,LT,0.67,,CBIX LT,CBIX LT,Metro Blend wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
SMB 45 3,2015-01-01 00:00:00.000,0.45,0.4025,0.03,0.0125,0.0175,0.035,0.1,LT,0.33,,Guinea 45/3 LT,CBIX LT,SMB Malapouya wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
