Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
Chalco Boffa,34.8,0,32.45557186577249,0
Alufer (Bel Air),9.269999999999996,36.60844790552405,0,0
Weipa,17.200000000000006,33.2820603579096,0,0
Gove,7.599999999999999,21.148688874807988,0,0
AMR,0.0,45.074614431291636,0,0
Gujarat & Maharashtra,0.0,47.26633437071126,0,0
West Kalimantan,0.0,32.706980783762624,0,0
Henan-Chine,10.000000000000009,36.26747421517912,0,0
Kuantan & Johor,0.0,50.849593137733905,0,0
Aurum Xinfa-Fiji,0.0,0,40.47625454116354,0
Dom. Rep.,0.0,55.47137067439638,0,0
Discovery Bay,0.0,47.26378450669746,0,0
Awaso,0.3000000000000066,0,42.20108515222012,0
CBG,10.499999999999996,32.18804467588951,0,0
AMC,10.0,35.69393864630649,0,0
GAC,3.0,30.195964353645216,0,0
Solomon Islands,1.5999999999999972,29.82389369271195,0,0
Metallica,0.0,52.24600671893111,0,0
Aurukun,0.0,45.510178610877155,0,0
Metro LT,0.0,32.16944828721401,0,0
MRN,0.0,43.25531904760915,0,0
Juruti,1.8000000000000016,38.57046765159881,0,0
Mirai,0.0,65.78352142645744,0,0
Metro BH1,0.0,32.989429183183546,0,0
Amrun,0.0,36.884412717394476,0,0
Rondon do Para,0.0,72.7759591436388,0,0
Huntly,7.000000000000003,33.68885182558353,0,0
Vietnam,1.000000000000001,20.484872702202864,0,0
SMB Malapouya-Boké,0.0,41.262643074648864,0,0
Rundi,0.0,44.34271300421444,0,0
Metro Blend,5.3999999999999915,38.93755565518636,0,0
Dabiss N,0.0,46.79879285633916,0,0
Amrun,10.879999999999995,36.884412717394476,0,0
Metro BH1 Xinfa,0.0,0,0,32.989429183183546
Dian Dian,3.0000000000000027,26.88485737212773,0,0
Dynamic,9.000000000000009,35.34762467169797,0,0
Other,0.500000000000001,40.568417549366536,0,0
GDM,2.0000000000000075,40.73108348846884,0,0
Ashapura Guinea,0.0,48.520076353203365,0,0
SMB Kaboye,0.0,45.995546930236976,0,0
SMB Dabiss S,0.0,47.38783472381446,0,0
Weiqiao Self Supply,0.0,0.0,0,0
AGB2A,9.000000000000018,38.39984888175822,0,0
Mokanji,0.0,54.380017877067225,0,0
SMB Santou-Houda,1.2040864726907257,35.831356769130764,0,0
SPIC,7.500000000000003,0,46.984009113241186,0
Henan-Chine,0.0,0,36.26747421517912,0
SMB Malapouya-Boké,0.0,0,41.262643074648864,0
AMR,0.0,0,45.074614431291636,0
GDM,0.0,0,40.73108348846884,0
Ashapura Guinea,0.0,0,48.520076353203365,0
SMB Kaboye,0.0,0,45.995546930236976,0
SMB Dabiss S,0.0,0,47.38783472381446,0
SMB Santou-Houda,34.552565541142684,0,35.831356769130764,0
