One listing per Mine Only,Forecast Supply tonnes,Cash FOB,Sustaining Capital,Capital,Cash + Sustain Capital FOB,Full FOB,Freight,Cash Cost CFR,Cash + Sustaining Capital CFR,Full Cost CFR,ViU Cash Cost CFR,ViU Cash Cost + Sustaining Capital CFR,ViU Full Cost CFR,Cash Price,Full Price,Cash-Cash Margin,Full-Full Margin,Moisture,Full Supply Tonnes Mt
AGB2A,9.000000000000018,,,,,,,,,,38.39984888175822,39.924698279348576,42.588191468191326,8.0,53.92963045751341,,,,9.0
Alufer (Bel Air),9.269999999999996,,,,,,,,,,36.60844790552405,36.97011457219071,40.5044669935476,8.0,51.90569443960432,,,,9.27
AMC,10.0,,,,,,,,,,35.69393864630649,36.7534949469927,40.928449069939816,8.0,61.170955334522546,,,,10.0
AMR,0.0,,,,,,,,,,45.074614431291636,46.637114431291636,47.89413599940573,8.0,52.42769443960433,,,,0.0
Amrun,10.879999999999995,,,,,,,,,,36.884412717394476,38.290991357783156,46.4625708591617,8.0,41.88472609168228,,,,10.879999999999997
Ashapura Guinea,0.0,,,,,,,,,,48.520076353203365,50.044925750793716,51.7429738707821,8.0,53.92963045751341,,,,5.0
Aurukun,0.0,,,,,,,,,,45.510178610877155,47.358852080264924,52.04172041824558,8.0,34.83971696655889,,,,8.0
Aurum Xinfa-Fiji,0.0,,,,,,,,,,40.47625454116354,41.95350503040033,45.34841652561251,8.0,41.19995036796791,,,,0.0
Awaso,0.3000000000000066,,,,,,,,,,42.20108515222012,43.367751818886774,45.45092991120718,8.0,64.64011860078621,,,,0.3
CBG,10.499999999999996,,,,,,,,,,32.18804467588951,32.93460430891704,39.57674378468371,8.0,55.83772773946175,,,,10.5
Chalco Boffa,34.8,,,,,,,,,,32.45557186577249,33.968623068396376,36.44206490596381,8.0,51.25817761632248,,,,34.8
Dabiss N,0.0,,,,,,,,,,46.79879285633916,48.28776344457445,49.485631056541976,8.0,55.43156647542251,,,,0.0
Dian Dian,3.0000000000000027,,,,,,,,,,26.88485737212773,28.303795342052542,31.898102180414902,8.0,60.34856813094073,,,,3.0
Discovery Bay,0.0,,,,,,,,,,47.26378450669746,47.60462220303252,48.03652718971257,8.0,61.94078496676672,,,,2.5
Dom. Rep.,0.0,,,,,,,,,,55.47137067439638,57.07851353153925,60.347985372273044,8.0,45.09049971646795,,,,2.0
Dynamic,9.000000000000009,,,,,,,,,,35.34762467169797,36.595979934855855,38.94911457328557,8.0,49.97785439483156,,,,9.0
GAC,3.0,,,,,,,,,,30.195964353645216,31.49588448144073,38.20051104302001,8.0,53.54826228300703,,,,3.0
GDM,2.0000000000000075,,,,,,,,,,40.73108348846884,42.75932868077653,44.86710120944581,8.0,54.34082405930433,,,,2.0
Gove,7.599999999999999,,,,,,,,,,21.148688874807988,22.236105355877047,22.236105355877047,8.0,48.64977401661865,,,,7.6
Gujarat & Maharashtra,0.0,,,,,,,,,,47.26633437071126,48.0996677040446,48.21566605298207,8.0,41.64019443960432,,,,8.0
Henan-Chine,10.000000000000009,,,,,,,,,,36.26747421517912,38.25276833282618,39.849925148782894,8.0,55.43156647542251,,,,10.0
Huntly,7.000000000000003,,,,,,,,,,33.68885182558353,35.168397280128985,36.694614090146665,8.0,42.007174305286064,,,,7.0
Juruti,1.8000000000000016,,,,,,,,,,38.57046765159881,39.427046598967216,40.36777875913121,8.0,56.35524656496802,,,,1.8
Kuantan & Johor,0.0,,,,,,,,,,50.849593137733905,50.849593137733905,50.849593137733905,8.0,43.332403209158834,,,,0.0
Metallica,0.0,,,,,,,,,,52.24600671893111,53.32773748816189,56.50660787304866,8.0,30.399790412740646,,,,1.5
Metro BH1,0.0,,,,,,,,,,32.989429183183546,33.347435672089965,34.51325979070453,8.0,41.72111384168322,,,,0.0
Metro BH1 Xinfa,0.0,,,,,,,,,,32.989429183183546,33.347435672089965,34.51325979070453,8.0,41.72111384168322,,,,0.0
Metro Blend,5.3999999999999915,,,,,,,,,,38.93755565518636,39.303897919545996,40.496866931819866,8.0,36.131008666437566,,,,5.4
Metro LT,0.0,,,,,,,,,,32.16944828721401,32.52578882808156,33.68618789864737,8.0,42.53592225155518,,,,0.0
Mirai,0.0,,,,,,,,,,65.78352142645744,66.93468421715511,67.252320635429,8.0,52.467534484377076,,,,2.0
Mokanji,0.0,,,,,,,,,,54.380017877067225,55.66335121040056,55.66335121040056,8.0,55.010406520195254,,,,1.0
MRN,0.0,,,,,,,,,,43.25531904760915,44.08567619046628,44.99761042735992,8.0,54.95415059183168,,,,0.0
Other,0.500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.568417549366536,41.90138234933082,44.2613573078407,8.0,49.984218432410444,8.0,49.984218432410444,0.0,0.5
Rondon do Para,0.0,,,,,,,,,,72.7759591436388,75.0504918539192,77.78158023269553,8.0,49.81814728079524,,,,0.0
Rundi,0.0,,,,,,,,,,44.34271300421444,46.42604633754777,48.491360494214575,8.0,52.42769443960433,,,,10.0
SMB Dabiss S,0.0,,,,,,,,,,47.38783472381446,48.95033472381446,50.20735629192854,8.0,52.42769443960433,,,,18.3
SMB Kaboye,0.0,,,,,,,,,,45.995546930236976,47.63921576140583,48.96153715124012,8.0,49.423822403786104,,,,0.0
SMB Malapouya-Boké,0.0,,,,,,,,,,41.262643074648864,42.825143074648864,44.082164642762926,8.0,52.42769443960432,,,,0.0
SMB Santou-Houda,35.75665201383341,,,,,,,,,,35.831356769130764,41.29091559266018,45.68309683654115,8.0,55.43156647542251,,,,36.0
Solomon Islands,1.5999999999999972,,,,,,,,,,29.82389369271195,31.62101829335091,34.31570300341437,8.0,58.89857136672517,,,,1.6
SPIC,7.500000000000003,,,,,,,,,,46.984009113241186,48.497060315865106,51.01900101299266,8.0,51.25817761632248,,,,7.5
Vietnam,1.000000000000001,,,,,,,,,,20.484872702202864,22.13889852754951,23.810554279477607,8.0,58.91407171880765,,,,1.0
Weipa,17.200000000000006,,,,,,,,,,33.2820603579096,34.38857593864615,34.38857593864615,8.0,38.97419209157837,,,,17.2
Weiqiao Self Supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Kalimantan,0.0,,,,,,,,,,32.706980783762624,33.641982722257545,35.68743726771209,8.0,51.359470502286165,,,,0.0
