,,Bx origin Prov,Bx Origin Cty,Refiney No.,Refiney Name,Refiney Prov,Allocation,Self Supply,Factored up allocation
,97,Henan,Xin'an,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,98,Henan,Xingyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,99,Henan,Xinmi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,100,Henan,Yanshi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,101,Henan,Yichuan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,102,Henan,Yiyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,103,Henan,Yuzhou,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,104,Henan,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,105,Hubei,Yicheng,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,106,Hubei,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,107,Hunan,Chenxi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,108,Hunan,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,109,Inner Mongolia,Qingshuihe,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,110,Inner Mongolia,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,111,Jiangxi,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,112,Liaoning,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,113,Shandong,Tai'an,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,114,Shandong,Zhangqiu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,115,Shandong,Zouwu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,116,Shandong,Zibo,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,117,Shandong,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,118,Shaanxi,Chencheng,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,119,Shaanxi,Pucheng,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,120,Shaanxi,Fugu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,121,Shaanxi,Hancheng,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,122,Shaanxi,Tongchuan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,123,Shaanxi,Xixiang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,124,Shaanxi,Zhenba,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,125,Shaanxi,0,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,126,Shanxi,Baode,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,127,Shanxi,Fangshan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,128,Shanxi,Fenxi,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,129,Shanxi,Fenyang,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,130,Shanxi,Gujiao,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,131,Shanxi,Gu,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,132,Shanxi,Hequ,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
