Rundi,Guinea,0,0,0,0,0,0,1.0,3.0,4.5,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10,,0.0,0
Metro Blend,Australia,0,0,0,0,0,0,1.5300000000000002,3.33,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,,1.0,1.5
Dabiss N,Guinea,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0
AMRUN HT,Australia,0,0,0,0,0,6.525193999999999,1.953901441623313,0.40098584258612163,2.4715399746357107,4.24051285757302,4.722295453176752,4.722295453176752,4.722295453176752,5.926751942186087,6.408534537789823,6.649425835591689,6.890317133393555,6.890317133393555,,1.0,11.693813960711234
Metro BH1 Xinfa,Australia,0,0,0,0,1.567,2.41,2.07,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0,2
Dian Dian,Guinea,0,0,0,0,0,0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,,0.0,0
Dynamic,Guinea,0,0,0,0,0,0,0.0,1.0,4.86,7.29,8.1,8.1,9.0,9.0,9.0,9.0,9.0,9,,0.0,0
Other,Other,,0.152837846,0.441299895,0.84,0.54779,0.766,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,1.0,0.5
GDM,Guinea,0,0,0,0,0,,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,,1.0,0.3
Ashapura Guinea,Guinea,0,0,0,0,0.19999999999999996,0,0.5,1.5,3.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5,,0.0,0
SMB Kaboye,Guinea,0,0,0,9.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,0
SMB Dabiss S,Guinea,0,0,0,6,6.513216735253777,10.044097397517112,10.55708787777649,9.192799872683846,10.490104384915487,12.273407036536977,17.501165957643455,18.3,18.3,18.3,18.3,18.3,18.3,18.3,,1.0,14.303553357534717
Weiqiao Self Supply,Guinea,0,0,0,0,29.90178326474623,29.93790760249241,32.74291212222351,34.107200127316155,35.209895612349804,35.026592963462804,34.79883404234704,34.552565541142684,34.552565541142684,34.552565541142684,34.552565541142684,34.552565541142684,34.552565541142684,34.552565541142684,,1.0,31.36024516299517
AGB2A,Guinea,0,0,0,0,0,0,1.0,3.5,4.5,5.4,8.1,8.1,8.1,8.1,8.1,9.0,9.0,9,,1.0,0.5
Mokanji,Sierra Leone,0,0,0,0,0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,1.0,0
SMB Santou-Houda,Guinea,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4474344588573163,1.4474344588573163,1.4474344588573163,1.4474344588573163,1.4474344588573163,1.4474344588573163,1.4474344588573163,,0.0,0
SPIC,Guinea,0,0,0,0,0,0,0.0,1.0,6.75,6.75,6.75,6.75,7.5,7.5,7.5,7.5,7.5,7.5,,0.0,0
