Name for Lookup,Name in Price forecast model,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
Chalco Boffa,Chalco Boffa,44.341889636189194,35.74397353899005,39.994049963085295,46.404918621452296,32.80467853070375,29.561107707892273,31.198097642602676,31.879373643647867,32.391836901312736,32.391836901312736,32.45557186577249,32.45557186577249,32.45557186577249,32.45557186577249,32.45557186577249,32.45557186577249
Alufer (Bel Air),Alufer (Bel Air),33.974480406580184,27.740319725955825,32.868157228362804,39.14270362929691,37.530879994158155,33.482404448178016,35.347670323432425,36.01279649454215,36.53808277898413,36.53808277898413,36.608447905524045,36.608447905524045,36.608447905524045,36.608447905524045,36.608447905524045,36.608447905524045
Weipa,Weipa,31.892606070985934,29.37679309728656,35.505706896054974,36.777796183281666,36.38325839482749,32.69992512725206,34.53490499806498,34.34247616044393,33.2820603579096,33.2820603579096,33.2820603579096,33.2820603579096,33.2820603579096,33.2820603579096,33.2820603579096,33.2820603579096
Gove,Gove,20.142169784926647,17.684001344810017,19.948004570492984,21.836043277178312,20.16228231397798,18.763294732902835,19.92380402566071,19.82202889876131,21.14868887480799,21.14868887480799,21.14868887480799,21.14868887480799,21.14868887480799,21.14868887480799,21.14868887480799,21.14868887480799
AMR,AMR,45.71312645473958,37.0401880440681,42.05010277821899,48.34394339213201,45.858681672958035,41.947507367678895,43.80851278019557,44.47632329907227,45.00397573794868,45.00397573794868,45.07461443129164,45.07461443129164,45.07461443129164,45.07461443129164,45.07461443129164,45.07461443129164
Gujarat & Maharashtra,Gujarat & Maharashtra,44.49053077728955,39.2566088804775,45.81952921195887,49.62562999211001,47.76883101890137,43.671078034008836,47.80336306312757,47.33598218244634,47.47860783665489,47.372471103683075,47.26633437071126,47.26633437071126,47.26633437071126,47.26633437071126,47.26633437071126,47.26633437071126
West Kalimantan,West Kalimantan,35.85498680352527,29.52626168931257,31.314125197551377,34.45736718827433,32.2250466749868,30.851117741327037,33.05206383779341,32.79138090860519,32.829744054178946,32.76836241897079,32.70698078376263,32.70698078376263,32.70698078376263,32.70698078376263,32.70698078376263,32.70698078376263
Henan-Chine,Henan-Chine,37.043586025654484,29.717316684617025,33.87609955977389,40.01797773973501,36.901776723117315,33.32503124566648,35.06095381825228,35.69733795977008,36.20015969564053,36.20015969564053,36.267474215179114,36.267474215179114,36.267474215179114,36.267474215179114,36.267474215179114,36.267474215179114
Kuantan & Johor,Kuantan & Johor,40.769233734514536,37.31830448421287,42.364464429339904,46.887257740532554,50.575136275437295,48.13146254813289,51.37640353196451,50.99746951680876,51.02975111247394,50.939672125103925,50.849593137733905,50.849593137733905,50.849593137733905,50.849593137733905,50.849593137733905,50.849593137733905
Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,43.11042918544727,37.64001983843442,43.41146223655994,47.655207656677405,41.49766314490621,37.8050552270217,40.463783866781924,40.09765554819846,40.47625454116354,40.47625454116354,40.47625454116354,40.47625454116354,40.47625454116354,40.47625454116354,40.47625454116354,40.47625454116354
Dom. Rep.,Dom. Rep.,57.99991144248697,49.788824181497155,61.632813887358395,68.22538632537267,60.973018813148165,53.187920273671736,56.1337124180352,57.0443436651506,55.37831899798034,55.37831899798034,55.47137067439638,55.47137067439638,55.47137067439638,55.47137067439638,55.47137067439638,55.47137067439638
Discovery Bay,Discovery Bay,42.25971999157245,39.09116735490969,42.435570441121996,53.37337012427169,48.64225894170605,44.95655135787855,51.33323186449796,50.37983586061693,47.62344032216037,47.4436124144289,47.263784506697455,47.263784506697455,47.263784506697455,47.263784506697455,47.263784506697455,47.263784506697455
Awaso,Awaso,42.88194288863974,33.72552267157666,38.0520272746218,47.943851351146655,40.66156392349773,37.024734192712785,43.11732745381064,42.24172989220659,42.54641646427867,42.373750808249405,42.20108515222012,42.20108515222012,42.20108515222012,42.20108515222012,42.20108515222012,42.20108515222012
CBG,CBG,38.65453557870734,32.72584229640685,38.713432398431216,47.18024482493837,37.18860675094484,32.891733385572685,31.061646818673974,31.655899200457206,32.125178221466506,32.125178221466506,32.18804467588951,32.18804467588951,32.18804467588951,32.18804467588951,32.18804467588951,32.18804467588951
AMC,AMC,39.38547149695424,31.81898988073003,35.1704486062361,41.4487315195037,35.92396216985348,33.0439389352911,34.574350941734636,35.16488207742256,35.63147429957309,35.63147429957309,35.69393864630649,35.69393864630649,35.69393864630649,35.69393864630649,35.69393864630649,35.69393864630649
GAC,GAC,34.12367888258531,27.843499790740278,31.64071251093111,38.34436914081335,30.78522706920059,27.19312390618477,28.95074493652886,29.607579966262186,30.12648405238394,30.12648405238394,30.195964353645216,30.195964353645216,30.195964353645216,30.195964353645216,30.195964353645216,30.195964353645216
Solomon Islands,Solomon Islands,36.293635327194046,29.409526884992903,27.308721827284394,33.52302310630423,30.211464100278068,30.0978932312338,32.63958128613686,32.28548959985249,29.98625019120501,29.90507194195847,29.82389369271195,29.82389369271195,29.82389369271195,29.82389369271195,29.82389369271195,29.82389369271195
Metallica,Metallica,58.256833200323186,54.45739747267512,67.90336604233717,66.38141516238693,56.79371859891943,49.79752413429394,52.216183027514084,52.014231429467166,52.24600671893111,52.24600671893111,52.24600671893111,52.24600671893111,52.24600671893111,52.24600671893111,52.24600671893111,52.24600671893111
