,initialisation,bar,x,line 1,line 2,line 3,line 4,line 5,line 6,line 7,line 8,line 9,line 10,labels for cc
33,bar 7 naming,7.0,32.099999999999994,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,0
34,bar 7,7.0,35.599999999999994,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,
35,bar 7 end,7.0,35.599999999999994,0.0,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,36.80947881,
36,bar 8 start,8.0,35.599999999999994,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,
37,bar 8,8.0,35.599999999999994,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,
38,bar 8 naming,8.0,35.849999999999994,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,GAC 5.6mln t $40.2
39,bar 8,8.0,36.099999999999994,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,
40,bar 8 end,8.0,36.099999999999994,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,
41,bar 9 start,9.0,36.099999999999994,0.0,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,
42,bar 9,9.0,36.099999999999994,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,
43,bar 9 naming,9.0,38.879999999999995,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,Alufer (Bel Air) 9.0mln t $40.7
44,bar 9,9.0,41.66,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,
45,bar 9 end,9.0,41.66,0.0,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,40.15104228,
46,bar 10 start,10.0,41.66,0.0,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,
47,bar 10,10.0,41.66,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,
48,bar 10 naming,10.0,46.16,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,Henan-Chine 10.0mln t $41.7
49,bar 10,10.0,50.66,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,
50,bar 10 end,10.0,50.66,0.0,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,40.66062485,
51,bar 11 start,11.0,50.66,0.0,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,41.67233966,
