,initialisation,bar,x,area 1,area 2,area 3,area 4,area 5,area 6,area 7,area 8,area 9,area 10
74,bar 15 bn,15,665.3242481985786,43.26388006,0.0,0,0,0,0,0,0,0,0
75,bar 15 end,15,665.3242481985786,0,0,0,0,0,0,0,0,0,0
76,bar 16 start,16,665.3242481985786,0,0,0,0,0,0,0,0,0,0
77,bar 16 an,16,665.3242481985786,44.61228172,0.0,0,0,0,0,0,0,0,0
78,bar 16 naming,16,682.7118740727672,44.61228172,0.0,0,0,0,0,0,0,0,0
79,bar 16 bn,16,700.0994999469557,44.61228172,0.0,0,0,0,0,0,0,0,0
80,bar 16 end,16,700.0994999469557,0,0,0,0,0,0,0,0,0,0
81,bar 17 start,17,700.0994999469557,0,0,0,0,0,0,0,0,0,0
82,bar 17 an,17,700.0994999469557,0.0,46.19089083,0,0,0,0,0,0,0,0
83,bar 17 naming,17,721.8400925031598,0.0,46.19089083,0,0,0,0,0,0,0,0
84,bar 17 bn,17,743.5806850593639,0.0,46.19089083,0,0,0,0,0,0,0,0
85,bar 17 end,17,743.5806850593639,0,0,0,0,0,0,0,0,0,0
86,bar 18 start,18,743.5806850593639,0,0,0,0,0,0,0,0,0,0
87,bar 18 an,18,743.5806850593639,0.0,46.73237702,0,0,0,0,0,0,0,0
88,bar 18 naming,18,752.7741304150384,0.0,46.73237702,0,0,0,0,0,0,0,0
89,bar 18 bn,18,761.967575770713,0.0,46.73237702,0,0,0,0,0,0,0,0
90,bar 18 end,18,761.967575770713,0,0,0,0,0,0,0,0,0,0
91,bar 19 start,19,761.967575770713,0,0,0,0,0,0,0,0,0,0
92,bar 19 an,19,761.967575770713,0.0,47.50551135,0,0,0,0,0,0,0,0
93,bar 19 naming,19,843.9606676969686,0.0,47.50551135,0,0,0,0,0,0,0,0
94,bar 19 bn,19,925.9537596232241,0.0,47.50551135,0,0,0,0,0,0,0,0
95,bar 19 end,19,925.9537596232241,0,0,0,0,0,0,0,0,0,0
96,bar 20 start,20,925.9537596232241,0,0,0,0,0,0,0,0,0,0
97,bar 20 an,20,925.9537596232241,0.0,48.16825339,0,0,0,0,0,0,0,0
98,bar 20 naming,20,959.4963881385105,0.0,48.16825339,0,0,0,0,0,0,0,0
99,bar 20 bn,20,993.0390166537969,0.0,48.16825339,0,0,0,0,0,0,0,0
100,bar 20 end,20,993.0390166537969,0,0,0,0,0,0,0,0,0,0
101,bar 21 start,21,993.0390166537969,0,0,0,0,0,0,0,0,0,0
102,bar 21 an,21,993.0390166537969,0.0,52.31608248,0,0,0,0,0,0,0,0
103,bar 21 naming,21,996.5195083268984,0.0,52.31608248,0,0,0,0,0,0,0,0
104,bar 21 bn,21,1000.0,0.0,52.31608248,0,0,0,0,0,0,0,0
105,bar 21 end,21,1000.0,0,0,0,0,0,0,0,0,0,0
106,bar 22 start,22,1000.0,0,0,0,0,0,0,0,0,0,0
107,bar 22 an,22,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
108,bar 22 naming,22,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
109,bar 22 bn,22,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
110,bar 22 end,22,1000.0,0,0,0,0,0,0,0,0,0,0
111,bar 23 start,23,1000.0,0,0,0,0,0,0,0,0,0,0
112,bar 23 an,23,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
113,bar 23 naming,23,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
114,bar 23 bn,23,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
115,bar 23 end,23,1000.0,0,0,0,0,0,0,0,0,0,0
116,bar 24 start,24,1000.0,0,0,0,0,0,0,0,0,0,0
117,bar 24 an,24,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
118,bar 24 naming,24,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
119,bar 24 bn,24,1000.0,0.0,0.0,0,0,0,0,0,0,0,0
120,bar 24 end,24,1000.0,0,0,0,0,0,0,0,0,0,0
121,bar 25 start,25,1000.0,0,0,0,0,0,0,0,0,0,0
122,bar 25 an,25,1000.0,38.09874868,0.0,0,0,0,0,0,0,0,0
123,bar 25 naming,25,1000.0,38.09874868,0.0,0,0,0,0,0,0,0,0
124,bar 25 bn,25,1000.0,38.09874868,0.0,0,0,0,0,0,0,0,0
125,bar 25 end,25,1000.0,0,0,0,0,0,0,0,0,0,0
126,bar 26 start,26,1000.0,0,0,0,0,0,0,0,0,0,0
127,bar 26 an,26,1000.0,38.78096731,0.0,0,0,0,0,0,0,0,0
128,bar 26 naming,26,1000.0,38.78096731,0.0,0,0,0,0,0,0,0,0
129,bar 26 bn,26,1000.0,38.78096731,0.0,0,0,0,0,0,0,0,0
130,bar 26 end,26,1000.0,0,0,0,0,0,0,0,0,0,0
131,bar 27 start,27,1000.0,0,0,0,0,0,0,0,0,0,0
132,bar 27 an,27,1000.0,38.78096731,0.0,0,0,0,0,0,0,0,0
133,bar 27 naming,27,1000.0,38.78096731,0.0,0,0,0,0,0,0,0,0
134,bar 27 bn,27,1000.0,38.78096731,0.0,0,0,0,0,0,0,0,0
135,bar 27 end,27,1000.0,0,0,0,0,0,0,0,0,0,0
136,bar 28 start,28,1000.0,0,0,0,0,0,0,0,0,0,0
