,index,Label regardless,Linear order,Rank,Name,Prodn / Capacity,Series 1,Series 2,Series 3,Series 4,Series 5,Series 6,Series 7,Series 8,Series 9,Series 10,Total Cost,Rank Cost Proxy,Associated Text,Cumulative Prodn / Capacity
0,3,1.0,4,22.23696305,Vietnam Others,1.0,22.23696303,0.0,0,0,0,0,0,0,0,0,22.23696303,22.23696305,Vietnam Others 1.0mln t $22.2,1.0
1,4,,5,23.259319301,Gove,8.6,23.25931928,0.0,0,0,0,0,0,0,0,0,23.25931928,23.259319301,Gove 8.6mln t $23.3,9.6
2,5,,6,32.931293772000004,Solomon Islands,2.8,32.93129375,0.0,0,0,0,0,0,0,0,0,32.93129375,32.931293772000004,0,12.399999999999999
3,6,,7,34.061731793,Weipa,4.2,34.06173177,0.0,0,0,0,0,0,0,0,0,34.06173177,34.061731793,Weipa 4.2mln t $34.1,16.599999999999998
4,7,,8,34.365296884,Dian Dian,3.0,34.36529686,0.0,0,0,0,0,0,0,0,0,34.36529686,34.365296884,Dian Dian 3.0mln t $34.4,19.599999999999998
5,8,,9,35.053165805,West Kalimantan,9.0,35.05316578,0.0,0,0,0,0,0,0,0,0,35.05316578,35.053165805,West Kalimantan 9.0mln t $35.1,28.599999999999998
6,9,,10,36.809478836000004,Huntly,7.0,36.80947881,0.0,0,0,0,0,0,0,0,0,36.80947881,36.809478836000004,Huntly 7.0mln t $36.8,35.599999999999994
7,13,,14,40.00000003,Other,0.5,40.0,0.0,0,0,0,0,0,0,0,0,40.0,40.00000003,0,36.099999999999994
8,14,,15,40.151042311,GAC,5.56,40.15104228,0.0,0,0,0,0,0,0,0,0,40.15104228,40.151042311,GAC 5.6mln t $40.2,41.66
9,15,,16,40.660624882,Alufer (Bel Air),9.0,40.66062485,0.0,0,0,0,0,0,0,0,0,40.66062485,40.660624882,Alufer (Bel Air) 9.0mln t $40.7,50.66
10,16,,17,41.672339693,Henan-Chine,10.0,41.67233966,0.0,0,0,0,0,0,0,0,0,41.67233966,41.672339693,Henan-Chine 10.0mln t $41.7,60.66
11,19,,20,41.782499036000004,Amrun,22.8,41.782499,0.0,0,0,0,0,0,0,0,0,41.782499,41.782499036000004,Amrun 22.8mln t $41.8,83.46
12,20,,21,43.106504967,CBG,8.65,43.10650493,0.0,0,0,0,0,0,0,0,0,43.10650493,43.106504967,CBG 8.6mln t $43.1,92.11
13,21,,22,43.189245768000006,Metro Blend,6.0,43.18924573,0.0,0,0,0,0,0,0,0,0,43.18924573,43.189245768000006,Metro Blend 6.0mln t $43.2,98.11
14,22,,23,43.263880099,AMC,9.0,43.26388006,0.0,0,0,0,0,0,0,0,0,43.26388006,43.263880099,AMC 9.0mln t $43.3,107.11
15,23,,24,44.61228176,Dynamic,5.5984389939999994,44.61228172,0.0,0,0,0,0,0,0,0,0,44.61228172,44.61228176,Dynamic 5.6mln t $44.6,112.708438994
