Available Alumina Check,Reactive Silica Check,Contract Date
,0|3|简易破碎|小块|铝土矿|印度古吉拉特邦布季地区|2018.5.8|无GTIN|无CAS,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹"
,"天然原矿,红色颗粒状",天然红褐色颗粒状铝矿砂
,0|3|原矿|红褐色|AI2O3：47.93% 水分：14.14%|印尼西加|20180619,天然红褐色颗粒状铝矿砂
,"4|3|加工方法;高温煅烧|外观;粉末 棕褐色|铝70%，锰20%，其他物质10%|矿区名称：Boké region , Guinea|2018.7.1","天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA"
,0|3|原矿|红褐色|AL2O3：47.95% 水分：13.6%|印尼西加|20180803,"天然开采|红褐色颗粒|AL2O3：54.74%,SIO2:9.69%,水:11.8%,其他约23.77%|澳大利亚/WEIPA"
,天然红褐色颗粒状,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:55.45% Si02:10.43% TiO2:2.19% 水份:12.4%|开采AUSTRALIA WEIPA铝矿山|
,0|3|原矿|红褐色|AL2O3：47.97% 水分：13.85%|印尼西加|20180801,"天然开采|红褐色颗粒|AL2O3：45%,SIO2:4-5%,水≤15%,其他约35%"
,0|3|原矿|红褐色|AL2O3：47.97% 水分：14.9%|印尼西加|20180801,"天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%|"
,0|3|矿山开采.筛选.破碎.水洗|红褐色块状|AL2O3:49.52%.FE2O3:18.79%|AWASO矿区|2018年7月11日,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,0|3|原矿|红褐色|AL2O3：47.6% 水分：14.42%|印尼西加|20180917,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,0|3|原矿|红褐色|AL2O3：47.97% 水分：14.97%|印尼西加|20181012,天然红褐色颗粒状铝矿砂
,4|3|煅烧破碎加工|灰色粉末|氧化铝85.2%.氧化镁8.03%.氧化钙6.6%.氧化铁0.05%.氧化钠0.12%|西班牙安达卢西亚|2018年10月10日|ZHENGFOS-90Z,"开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3:42.37%,SIO2:3.92%,TIO2:4.68%,水分:16.78%|MALAYSIA|"
,4|3|煅烧破碎加工|灰色粉末|氧化铝85.2%.氧化镁8.03%.氧化钙6.6%.氧化铁0.05%.氧化钠0.12%|西班牙安达卢西亚|2018年10月10日|ZHENGFOS-90Z,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:42.78% Si02:4.31% 水份:18.06%|开采KUANTAN MALAYSIA铝矿山|
,0|3|原矿|红褐色|AL2O3：47.91% 水分：14.99%|印尼西加|20181012,"开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3:42.37%,SIO2:3.92%,TIO2:4.68%,水分:16.78%|MALAYSIA|"
,0|3|原矿|红褐色|AL2O3：47.91% 水分：14.99%|印尼西加|20181012,天然红褐色颗粒状铝矿砂
,0|3|原矿|红褐色|AL2O3：47.98% 水分：14.87%|印尼西加|20181012,天然粉红色粉末;;AL2O3：53.14%，SIO2：11.04%
,0|3|天然原矿|红色颗粒|AL2O3:47.49% 水:13.34%|CAPE VERGA矿区|201806,天然红褐色颗粒状铝矿砂
,0|3|天然原矿|红色颗粒|AL2O3:47.49% 水:13.34%|CAPE VERGA矿区|201806,铝矿砂
,0|3|原矿|红褐色|AL2O3：47.89% 水分：14.97%|印尼西加|20181102,"天然粉红色粉末;AL2O3:54.25%,SIO2:10.41%"
,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:48.85%,FE2O3:18.36%|RENNELL矿区|2018年12月13日|含水量:28.55%","天然开采|红褐色颗粒|AL2O3:42-43%,SIO2:6-7%,水≤10%,其他:40%|印度/古吉拉特邦|"
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:56.61%.FE2O3:7.52%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量12.4%,天然红褐色颗粒状铝矿砂
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:51.24%.FE2O3:16.83%|AWASO矿区|2018年12月2日|现货价|不需要二次结算|2018年12月2日,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
,0|3|天然原矿|红色颗粒|AL2O3:45.84%.水9.22%|cape verga矿区|20181105|价格未确定|需要二次结算|无计价日期,铝矿砂
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化钠0.69%.氧化铝63.8%，氧化钙33.8%|西班牙安达卢西亚矿区|签约日期：2018.08.07/2018.11.10|定价方式：现货价|无二次结算|计价日期：2018.08.07/2018.11.10|型号ALUJANG NW,"天然开采|红褐色颗粒|AL2O3：45%,SIO2:4-5%,水≤15%,其他约35%|马来西亚/关丹"
,0|3|矿山开采.筛选.破碎.水洗|红褐色块状|AL2O3:51%.FE2O3:16.87%|AWASO矿区|2018年11月2日|现货价|无需二次结算|无计价日期,"天然开采|红褐色颗粒|AL2O3：42-43%,SIO2:8-9%,水≤15%,其他约33%|马来西亚/Johor"
,0|3|原矿|红褐色|AL2O3：47.91% 水分：14.94%|印尼西加|20181102|现货价|二次结算|20181102,铝矿砂
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%，氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2018.08.27|定价方式：现货价|无二次结算|计价日期：2018.08.27|型号ALUJANG NW,"天然粉红色粉末;AL2O3:54.25%,SIO2:10.41%"
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:57.76%.FE2O3:7.43%|WEIPA矿区|2018年12月25日|现货价|不需要二次结算|2018年12月25日|含水量12.7%,天然红褐色颗粒状铝矿砂
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%.氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2018.11.6|定价方式：现货价|无二次结算|计价日期：2018.11.6|型号ALUJANG NW,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:48.58%,RSiO2:5.25%,水分:5.21%|来源:PORTO TROMBETAS-BRAZIL|"
,天然红褐色颗粒状,铝矿砂
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:56.76%.FE2O3:7.04%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.5%,"天然开采|颗粒|AL2O3：39-39.5%,SIO2：4.5-5%，水:16.8%,其他:38.7%|马来西亚/关丹|"
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:57.27%.FE2O3:5.11%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量12%,"天然开采|红褐色颗粒|AL2O3：45%,SIO2:4-5%,水≤15%,其他约35%|马来西亚/关丹"
,0|3|矿山开采.筛选.破碎.水洗|红褐色块状|AL2O3:51.05%.FE2O3:17.29%|AWASO矿区|2019年1月10日|现货价|无需二次结算|2019年1月10日,"天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA"
,0|3|矿山开采.筛选.破碎.水洗|红褐色块状|AL2O3:51.34%.FE2O3:17.22%|AWASO矿区|2019年2月1日|现货价|无需二次结算|2019年2月1日,"天然开采|红褐色颗粒|AL2O3：55.33%,SIO2:9.79%,水:11.8%,其他:23.08%|澳大利亚/WEIPA"
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%，氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2019.1.11|定价方式：现货价|无二次结算|计价日期：2019.01.11|型号ALUJANG NW,"天然开采|红褐色颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他约40%|印度/KAKINADA"
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%，氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2019.1.11|定价方式：现货价|无二次结算|计价日期：2019.01.11|型号ALUJANG NW,"天然开采|红褐色颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他约40%|印度/KAKINADA"
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝48.42%，氧化镁49.51%.氧化钙1.3%|西班牙安达卢西亚矿区|签约日期：2019.01.11|定价方式：现货价|无二次结算|计价日期：2019.01.11|型号ZHENGTAG-86/90,天然红褐色颗粒状铝矿砂
,0|3|原矿|红褐色|AL2O3：48.97% 水分：25%|所罗门|20190401|现货价|二次结算|20190401,"天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA"
,0|3|破碎|红褐色颗粒|成分含量; 三氧化二铝含量50%左右， 水分10%，氧化亚铁18%，其他杂质22%|来源几内亚博凯|签约日期;2019.4月|定价方式现货价格FOB 50 美金一吨|非需要二次结算|计价日期2019年4月,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
,0|3|加工方法:高温煅烧 破碎制粉|外观:深红色|成分含量:氧化铝|来源:土耳其德米莱尔矿业|签约日期:2019.3.4|定价方式:现货价|不需二次结算|计价日期:2019.3.4,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:42.78% Si02:4.31% 水份:18.06%|开采KUANTAN MALAYSIA铝矿山|
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:56.78%.FE2O3:6.55%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量12.9%,铝矿砂
,0|3|原矿粉碎|灰褐色碎块状|AL2O3:55%|Ranchi矿区|2019.2.25|现货价|不需要二次结算|2019.2.25,"天然粉红色粉末;AL2O3:54.25%,SIO2:10.41%"
,0|3|原矿粉碎|灰褐色碎块状|AL2O3:55%|Ranchi矿区|2019.03.20|现货价|不需要二次结算|2019.03.20,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:53.28% Si02:11.02% 水份:12.8%|开采RIO TINTO ALCAN WEIPA铝矿山|
,0|3|原矿粉碎|灰褐色碎块状|AL2O3:55%|Ranchi矿区|2019.03.25|现货价|不需要二次结算|2019.03.25,铝矿砂
,0|3|原矿粉碎|灰褐色碎块状|AL2O3:59.26%|Ranchi矿区|2019.3.12|现货价|不需要二次结算|2019.3.12,"天然粉红色粉末;AL2O3:54.25%,SIO2:10.41%"
,0|3|加工方法：天然原矿经破碎筛选|外观：灰色块状|成分含量：AL2O3含量53.65%，FE2O3含量25.22%，水分含量3.88%|来源（矿区名称）：土耳其Demireller Tarim Madencilik Petrol Sanayi ve Ticaret A.S矿区|签约日期：20181030|见备注|见备注|见备注,"'天然开采|红褐色颗粒|AL2O3：46-47%,SIO2:4.5-5.5%,水≤18%,其他:29.5%|"
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:56.94%.FE2O3:6.56%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量11.9%,天然红褐色颗粒状铝矿砂
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:57.27%.FE2O3:5.37%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量12.4%,"天然开采|颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他:40%|印度/古吉拉特邦"
,0|3|矿山开采.破碎.筛选.水洗|红褐色块状|AL2O3:56.53%.FE2O3:6.86%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量12.5%,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹"
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝48.42%，氧化镁49.51%，氧化钙1.3%|西班牙安达卢西亚矿区|签约日期：2019.2.1|定价方式：现货价|无二次结算|计价日期：2019.2.1|型号ZHENGTAG-86/90,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
,"4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝48.42%，氧化镁49.51%,氧化钙1.3%|西班牙安达卢西亚矿区|签约日期：2019.3.4|定价方式：现货价|无二次结算|计价日期：2019.3.4|型号ZHENGTAG-86/90","天然开采|颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他:40%|印度/古吉拉特邦"
,"4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%,氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2019.1.11|定价方式：现货价|无二次结算|计价日期：2019.1.11|型号ALUJANG NW","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%|澳大利亚/WEIPA"
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%，氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2019.2.1|定价方式：现货价|无二次结算|计价日期：2019.2.1|型号ALUJANG NW,铝矿砂
,0|3|矿山开采，破碎，筛选，水洗|红褐色块状|AL203:56.94% FE203:6.56%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量11.9%,铝矿砂
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.31%,FE2O3:5.89%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14%","天然开采|红褐色颗粒|AL2O3：42-43%,SIO2:8-9%,水≤15%,其他约33%|马来西亚/Johor"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.02%,FE2O3:6.51%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.2%","天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA"
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝48.42%，氧化镁49.51%，氧化钙1.3%|西班牙安达卢西亚矿区|签约日期：2019.3.21|定价方式：现货价|无二次结算|计价日期：2019.3.21|型号ZHENGTAG-86/90,"天然开采|颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他:40%|印度/古吉拉特邦"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.33%,FE2O3:5.31%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13%","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%|澳大利亚/WEIPA"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.82%,FE2O3:4.98%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量15.1%","天然开采|红褐色颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他约40%|印度/KAKINADA"
,0|3|加工方法：天然开采矿石粉碎|外观：灰色粉末和颗粒|三氧化二铝含量50%左右，水分10%，氧化亚铁18%，其他杂质22%|几内亚|2019.7.24|现货价|不需要二次结算|2019.7.24,"天然开采|颗粒|AL2O3：41.5-42.5%,SIO2：6-7%，水:6.07%,其他:44.43%|印度/古吉拉特邦|"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.36%,FE2O3:5.17%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.7%",天然红褐色颗粒状铝矿砂
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.55%,FE2O3:5.12%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.5%","天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.19%,FE2O3:5.02%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.6%",开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:55.45% Si02:10.43% TiO2:2.19% 水份:12.4%|开采AUSTRALIA WEIPA铝矿山|
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.41%,FE2O3:4.98%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.3%","天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.41%,FE2O3:5.21%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.1%",铝矿砂
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.01%,FE2O3:5.06%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.4%",铝矿砂
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.21%,FE2O3:5.34%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.9%",天然红褐色颗粒状铝矿砂
,0|3|天然开采|外观：粉红色粉末状|成分含量：氧化铝48.90%，其他杂质51.1%|Boulevard|2019-9-26|现货价|不需要二次结算|2019-9-26,铝矿砂
,0|3|自然开采破碎，筛选。|粉红色粉末|氧化铝：50.00%、二氧化硫:4.50%、铁20%、其他25.5%|澳大利亚戈夫矿|2019.10.16|现货价|不需要二次结算|2019.10.16,铝矿砂
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.82%,FE2O3:5.19%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量15.2%","天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.23%,FE2O3:5.18%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.2%","天然粉红色粉末;AL2O3:54.25%,SIO2:10.41%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.83%,FE2O3:5.77%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.6%","天然开采|红褐色颗粒|AL2O3：42-43%,SIO2:8-9%,水≤15%,其他约33%|马来西亚/Johor"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.71%,FE2O3:5.21%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量15%","天然粉红色粉末;AL2O3:54.25%,SIO2:10.41%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.34%,FE2O3:5.17%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.5%","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.74%,FE2O3:5.49%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|||含水量13.9%","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.35%,FE2O3:5.49%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|||含水量13.1%","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.2%,FE2O3:5.53%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|||含水量13.4%","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.46%,FE2O3:5.27%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|||含水量13.4%","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.27%,FE2O3:5.47%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.1%","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.89%,FE2O3:5.67%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.9%","天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.86%,FE2O3:5.63%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13%","天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.35%,FE2O3:5.72%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.2%","天然开采|红褐色颗粒|AL2O3:51%,SIO2:2%,水≤11%,其他约36%|加纳/GIBBSITIC"
,0|3|自然形成|淡黄色，三角，菱形等|水软铝和为AlO(OH)和Al2O3·H2O|塔雁矿区|2019-12-13|现货价|无需二次结算|2019-12-13|无自滞期费|00000000|无其他,"天然开采|红褐色颗粒|AL2O3:51%,SIO2:2%,水≤11%,其他约36%|加纳/GIBBSITIC"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.5%,FE2O3:5.32%|WEIPA矿区|20190102|现货价|不需要二次结算|2019年1月2日|滞期费未确定|含水量14.6%","天然开采|红褐色颗粒|AL2O3:51%,SIO2:2%,水≤11%,其他约36%|加纳/GIBBSITIC"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.96%,FE2O3:5.53%|WEIPA矿区|20190102|现货价|不需要二次结算|2019年1月2日|滞期费未确定|含水量13.2%","天然开采|红褐色颗粒|AL2O3：42-43%,SIO2:8-9%,水≤15%,其他约33%|马来西亚/Johor"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.85%,FE2O3:5.5%|WEIPA矿区|20200106|现货价|不需要二次结算|20200106|滞期费未确定|含水量14.6%","天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.63%,FE2O3:5.71%|WEIPA矿区|20200106|现货价|不需要二次结算|2020年1月6日|滞期费未确定|含水量14%","天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.34%,FE2O3:6.09%|WEIPA矿区|20200106|现货价|不需要二次结算|2020年1月6日|滞期费未确定|含水量14.2%","天然开采|红褐色颗粒|AL2O3：42-43%,SIO2:8-9%,水≤15%,其他约33%|马来西亚/Johor"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.88%,FE2O3:5.82%|WEIPA矿区|20200106|现货价|不需要二次结算|20200106|滞期费未确定|含水量14.9%","天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
,,铝矾土
,,"天然开采|红褐色颗粒|AL2O3：42-43%,SIO2:8-9%,水≤15%,其他约33%|马来西亚/Johor"
,,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
,,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹"
,,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他约40%|马来西亚/关丹"
,,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹"
,,"开采破碎水洗|粉末与颗粒的混合物红褐色|AL2O3:42.37%,SIO2:3.92%,TIO2:4.68%,水分:16.78%|MALAYSIA"
,,铝矿砂
,,铝矿砂
,,铝矿砂
,,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹"
,,天然红褐色颗粒状铝矿砂
,,加工方法:露天开采|外观:红褐色颗粒|氧化铝50%氧化硅5%氧化铁20%有机物25%
,,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.1%,SiO2:6.0%,水分:9.7%|来源:GOVE NORTHERN TERRITORY,AUSTRALIA"
,,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:52.91% Si02:10.46% TiO2:2.58% 水份:13.3%|开采AUSTRALIA WEIPA铝矿山
,,"天然开采|红褐色颗粒|AL2O3：53.86%,SIO2:8.62%,水:12.1%,其他25.42%|澳大利亚/Weipa"
,,铝矿砂
,,铝矿砂
,,铝土矿
,,铝土矿
,,铝土矿
,,铝土矿
,,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他:40.5%|印度/古吉拉特邦"
,,"天然开采|红褐色颗粒|AL2O3：53.86%,SIO2:8.62%,水:12.1%,其他25.42%|澳大利亚/Weipa"
,,"天然开采|红褐色颗粒|AL2O3：53.86%,SIO2:8.62%,水:12.1%,其他25.42%|澳大利亚/Weipa"
,,"天然开采|红褐色颗粒|AL2O3：54.53%,SIO2:9.18%,水:11.9%,其他24.39%|澳大利亚/WEIPA"
,,"天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA"
,,"天然开采|红褐色颗粒|AL2O3：53.86%,SIO2:8.62%,水:12.1%,其他25.42%|澳大利亚/Weipa"
,,"天然开采|颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他:40%|印度/古吉拉特邦"
,,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他约40.5%|印度/古吉拉特邦"
,,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.1%,SiO2:6.0%,水分:9.7%"
,,"天然开采|颗粒|AL2O3：42-43%,SIO2:6-7%,水:3.62%,其他:46.38%|印度/古吉拉特邦"
,,"天然开采|红褐色颗粒|AL2O3：55.33%,SIO2:9.79%,水:11.8%,其他:23.08%|澳大利亚/WEIPA"
,,"天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA"
,,铝矿砂
,,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:52.91% Si02:10.46% TiO2:2.58% 水份:13.3%|开采AUSTRALIA WEIPA铝矿山
,,天然粉红色粉末;;AL2O3：54.62%，SIO2：10.37%
,,开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:52.91% Si02:10.46% TiO2:2.58% 水份:13.3%|开采AUSTRALIA WEIPA铝矿山
,,铝矿砂
,,"天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA"
,,天然粉红色粉末;;AL2O3：54.62%，SIO2：10.37%
,,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他:40.5%|印度/古吉拉特邦"
,,"天然开采|颗粒|AL2O3≥42%,SIO2≤8%,水≤10%,其他:40%|印度/古吉拉特邦"
