Date,COUNTRY,REGION,CUSTOMER,MONTH KEY,REGION KEY,CUSTOMER KEY,CIF PRICE,CFR PRICE,VIU CFR PRICE,IMPORT TONNAGE,CIF LANDED TON*PRICE,CFR LANDED TON*PRICE,VIU CFR TON*PRICE
2018-04-16 00:00:00,Australia,Weipa,Weiqiao,4 2018,AUS HT,Weiqiao,45.0,44.865403788634104,61.603569360658,69725.0,3137625.0,3128240.279162513,4295308.873671879
2018-04-16 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,58.3,58.125623130608176,54.5638322424131,185201.0,10797218.299999999,10764923.529411765,10105276.295127148
2018-04-16 00:00:00,Solomon Islands,Rennell Island,Weiqiao,4 2018,Solomon Islands,Weiqiao,47.0,46.85942173479562,30.576078137859998,53925.0,2534475.0,2526894.3170488537,1648815.0135841004
2018-04-17 00:00:00,Australia,Gove,Chalco,4 2018,AUS LT,Chalco,46.3,46.16151545363908,45.3049826293192,83063.0,3845816.9,3834313.958125623,3763167.7721391404
2018-04-18 00:00:00,Australia,Weipa,Nanshan,4 2018,AUS HT,Nanshan,58.1,57.92622133599203,72.8423804628998,64579.0,3752039.9,3740817.4476570296,4704088.087913606
2018-04-18 00:00:00,Australia,Weipa,Weiqiao,4 2018,AUS HT,Weiqiao,45.0,44.865403788634104,60.886323608356506,54410.0,2448450.0,2441126.6201395816,3312824.8675306775
2018-04-18 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,58.1,57.92622133599203,54.3771639147272,182599.0,10609001.9,10577270.089730809,9929215.753665272
2018-04-18 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,56.5,56.33100697906282,52.6368139894714,160623.0,9075199.5,9048055.333998008,8454682.973430865
2018-04-18 00:00:00,Indonesia,W-Kalimantan,Xiamen Shengmao,4 2018,Indonesia,Traders,49.3,49.152542372881356,39.6405712204132,48859.0,2408748.6999999997,2401544.0677966103,1936798.6692581684
2018-04-18 00:00:00,Vietnam,Cam Pha,Xinfa,4 2018,Vietnam Sea,Xinfa,45.4,45.264207377866406,51.483202739010295,50428.0,2289431.1999999997,2282583.449651047,2596194.9477228113
2018-04-19 00:00:00,Australia,Weipa,Xinfa,4 2018,AUS HT,Xinfa,52.8,52.64207377866401,67.39351559833611,63510.0,3353328.0,3343298.1056829514,4280162.175650327
2018-04-19 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,54.0,53.838484546360924,49.823365924484996,163893.0,8850222.0,8823750.74775673,8165700.91146162
2018-04-19 00:00:00,Indonesia,W-Kalimantan,Lubei,4 2018,Indonesia,Lubei,42.4,42.27318045862413,43.704588017255205,46866.0,1987118.4,1981174.8753738785,2048259.2220166824
2018-04-20 00:00:00,Australia,Gove,Chalco,4 2018,AUS LT,Chalco,45.9,45.76271186440678,51.65250588402039,80904.0,3713493.6,3702386.4406779665,4178894.336040786
2018-04-20 00:00:00,Australia,Weipa,Nanshan,4 2018,AUS HT,Nanshan,57.5,57.32801595214357,72.3754597202626,69554.0,3999355.0,3987392.821535394,5034002.725383145
2018-04-23 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,58.1,57.92622133599203,54.3823802324118,186619.0,10842563.9,10810133.499501497,10148785.416592456
2018-04-23 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,58.3,58.125623130608176,54.523564499578804,155150.0,9045245.0,9018190.428713858,8459331.032109652
2018-04-24 00:00:00,Indonesia,W-Kalimantan,Xinfa,4 2018,Indonesia,Xinfa,56.6,56.430707876370896,45.071885668302095,47052.0,2663143.2,2655177.6669990034,2120722.3644649503
2018-04-25 00:00:00,Australia,Weipa,Weiqiao,4 2018,AUS HT,Weiqiao,45.0,44.865403788634104,64.2804895670597,77251.0,3476295.0,3465897.308075773,4965732.099544929
2018-04-25 00:00:00,Guinea,SMB,Weiqiao,4 2018,SMB,Weiqiao,54.0,53.838484546360924,49.823195229545,162248.0,8761392.0,8735186.440677967,8083713.779603217
