regioncustomerkey,lookupkey,monthly average cfr price,import tonnage
Weipa-Xinfa,7 2018Weipa-Xinfa,51.762339703851616,537156.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
W-Kalimantan-Chalco,7 2018W-Kalimantan-Chalco,47.23779517892019,309827.0
Bauxite Hills-Xinfa,7 2018Bauxite Hills-Xinfa,58.46581356191922,161998.0
Gove-Chalco,7 2018Gove-Chalco,45.486566146001906,421522.0
Kwinana-Xinfa,7 2018Kwinana-Xinfa,45.79195606428155,126589.0
Weipa-Xinfa,7 2018Weipa-Xinfa,51.762339703851616,537156.0
Weipa-Xinfa,7 2018Weipa-Xinfa,51.762339703851616,537156.0
Gujarat-Xinfa,7 2018Gujarat-Xinfa,39.24550189734758,172653.0
Gove-Nanshan,7 2018Gove-Nanshan,46.60985915404738,157581.0
Gove-Traders,7 2018Gove-Traders,43.868394815553344,86259.0
Weipa-Xinfa,7 2018Weipa-Xinfa,51.762339703851616,537156.0
Awaso-Chalco,7 2018Awaso-Chalco,67.8963110667996,107507.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
Cam Pha-Xinfa,7 2018Cam Pha-Xinfa,44.974218015846205,102673.0
Gove-Chalco,7 2018Gove-Chalco,45.486566146001906,421522.0
Weipa-Nanshan,7 2018Weipa-Nanshan,55.81595082659316,247402.0
Weipa-Weiqiao,7 2018Weipa-Weiqiao,43.21030520978611,661609.0
Weipa-Weiqiao,7 2018Weipa-Weiqiao,43.21030520978611,661609.0
Weipa-Weiqiao,7 2018Weipa-Weiqiao,43.21030520978611,661609.0
Weipa-Xinfa,7 2018Weipa-Xinfa,51.762339703851616,537156.0
Juruti-Xinfa,7 2018Juruti-Xinfa,64.6061814556331,144690.0
Weipa-Weiqiao,7 2018Weipa-Weiqiao,43.21030520978611,661609.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
Bauxite Hills-Xinfa,7 2018Bauxite Hills-Xinfa,58.46581356191922,161998.0
Weipa-Traders,7 2018Weipa-Traders,43.36989032901297,66520.0
Weipa-Nanshan,7 2018Weipa-Nanshan,55.81595082659316,247402.0
Gujarat-Xinfa,7 2018Gujarat-Xinfa,39.24550189734758,172653.0
Johor-Xinfa,7 2018Johor-Xinfa,56.430707876370896,52606.0
Rennell Island-Nanshan,7 2018Rennell Island-Nanshan,47.357926221335994,53700.0
Gove-Chalco,7 2018Gove-Chalco,45.486566146001906,421522.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
W-Kalimantan-Chalco,7 2018W-Kalimantan-Chalco,47.23779517892019,309827.0
W-Kalimantan-Lubei,7 2018W-Kalimantan-Lubei,48.35493519441675,47971.0
Weipa-Weiqiao,7 2018Weipa-Weiqiao,43.21030520978611,661609.0
Weipa-Weiqiao,7 2018Weipa-Weiqiao,43.21030520978611,661609.0
Niksic-Traders,7 2018Niksic-Traders,85.94217347956133,57741.0
Bauxite Hills-Nanshan,7 2018Bauxite Hills-Nanshan,36.88933200398804,52259.0
Weipa-Xinfa,7 2018Weipa-Xinfa,51.762339703851616,537156.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
W-Kalimantan-Xinfa,7 2018W-Kalimantan-Xinfa,52.52049237680369,104802.0
Discovery Bay-Yunnan Aluminium,7 2018Discovery Bay-Yunnan Aluminium,65.80259222333002,46432.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
Kwinana-Xinfa,7 2018Kwinana-Xinfa,45.79195606428155,126589.0
Weipa-Weiqiao,7 2018Weipa-Weiqiao,43.21030520978611,661609.0
Weipa-Xinfa,7 2018Weipa-Xinfa,51.762339703851616,537156.0
Weipa-Xinfa,7 2018Weipa-Xinfa,51.762339703851616,537156.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
SMB-Weiqiao,7 2018SMB-Weiqiao,58.23105123093999,2959290.0
W-Kalimantan-Chalco,7 2018W-Kalimantan-Chalco,47.23779517892019,309827.0
Weipa-Nanshan,8 2018Weipa-Nanshan,55.37321041731425,198492.0
Gove-Chalco,8 2018Gove-Chalco,44.92537632430639,352895.0
Weipa-Weiqiao,8 2018Weipa-Weiqiao,42.70257912704152,748532.0
Weipa-Weiqiao,8 2018Weipa-Weiqiao,42.70257912704152,748532.0
Gove-Weiqiao,8 2018Gove-Weiqiao,43.022327549277,156289.0
Weipa-Weiqiao,8 2018Weipa-Weiqiao,42.70257912704152,748532.0
Weipa-Xinfa,8 2018Weipa-Xinfa,51.97580381030299,501484.0
W-Kalimantan-Lubei,8 2018W-Kalimantan-Lubei,48.85336004391094,106415.0
W-Kalimantan-Traders,8 2018W-Kalimantan-Traders,47.164797097985165,154558.0
Johor-Chalco,8 2018Johor-Chalco,45.663010967098714,48100.0
Weipa-Weiqiao,8 2018Weipa-Weiqiao,42.70257912704152,748532.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
Rennell Island-Weiqiao,8 2018Rennell Island-Weiqiao,48.04306865118276,109013.0
Gove-Chalco,8 2018Gove-Chalco,44.92537632430639,352895.0
Discovery Bay-Yunnan Aluminium,8 2018Discovery Bay-Yunnan Aluminium,64.61198290996755,90791.0
Bauxite Hills-SPIC,8 2018Bauxite Hills-SPIC,39.88035892323031,53872.0
Weipa-Weiqiao,8 2018Weipa-Weiqiao,42.70257912704152,748532.0
SMB-SPIC,8 2018SMB-SPIC,58.32502492522434,188634.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
Rennell Island-Weiqiao,8 2018Rennell Island-Weiqiao,48.04306865118276,109013.0
Weipa-Weiqiao,8 2018Weipa-Weiqiao,42.70257912704152,748532.0
Weipa-Xinfa,8 2018Weipa-Xinfa,51.97580381030299,501484.0
Weipa-Xinfa,8 2018Weipa-Xinfa,51.97580381030299,501484.0
Weipa-Xinfa,8 2018Weipa-Xinfa,51.97580381030299,501484.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
W-Kalimantan-Chalco,8 2018W-Kalimantan-Chalco,46.79878301393066,189097.0
W-Kalimantan-Traders,8 2018W-Kalimantan-Traders,47.164797097985165,154558.0
Weipa-Weiqiao,8 2018Weipa-Weiqiao,42.70257912704152,748532.0
Gove-Weiqiao,8 2018Gove-Weiqiao,43.022327549277,156289.0
Weipa-Nanshan,8 2018Weipa-Nanshan,55.37321041731425,198492.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
W-Kalimantan-Chalco,8 2018W-Kalimantan-Chalco,46.79878301393066,189097.0
Discovery Bay-Yunnan Aluminium,8 2018Discovery Bay-Yunnan Aluminium,64.61198290996755,90791.0
Elmin-Traders,8 2018Elmin-Traders,78.5643070787637,27609.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
W-Kalimantan-Traders,8 2018W-Kalimantan-Traders,47.164797097985165,154558.0
Kwinana-Xinfa,8 2018Kwinana-Xinfa,47.00787106875412,86310.0
Weipa-Weiqiao,8 2018Weipa-Weiqiao,42.70257912704152,748532.0
SMB-Weiqiao,8 2018SMB-Weiqiao,58.87112532473897,3259542.0
Gove-Traders,8 2018Gove-Traders,43.56929212362912,81605.0
Gove-Nanshan,8 2018Gove-Nanshan,45.6704436185396,170142.0
Weipa-Nanshan,8 2018Weipa-Nanshan,55.37321041731425,198492.0
