lookup key,country,monthly average cif price by country
5 2018Guinea,Guinea,56.68082497274404
5 2018Guinea,Guinea,56.68082497274404
5 2018Indonesia,Indonesia,53.14747420835426
5 2018Australia,Australia,46.6745337780179
5 2018Australia,Australia,46.6745337780179
5 2018Australia,Australia,46.6745337780179
5 2018Guinea,Guinea,56.68082497274404
5 2018Indonesia,Indonesia,53.14747420835426
5 2018Indonesia,Indonesia,53.14747420835426
5 2018Indonesia,Indonesia,53.14747420835426
5 2018Australia,Australia,46.6745337780179
5 2018Australia,Australia,46.6745337780179
6 2018Guinea,Guinea,57.327657279659036
6 2018Solomon Islands,Solomon Islands,46.90012019689396
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Guinea,Guinea,57.327657279659036
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Guinea,Guinea,57.327657279659036
6 2018Guinea,Guinea,57.327657279659036
6 2018Solomon Islands,Solomon Islands,46.90012019689396
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Jamaica,Jamaica,70.0587171828329
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Guinea,Guinea,57.327657279659036
6 2018India,India,40.12
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018India,India,40.12
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Guinea,Guinea,57.327657279659036
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Guinea,Guinea,57.327657279659036
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Jamaica,Jamaica,70.0587171828329
6 2018Malaysia,Malaysia,42.6
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Australia,Australia,47.364408332693685
6 2018Solomon Islands,Solomon Islands,46.90012019689396
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Guinea,Guinea,57.327657279659036
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Brazil,Brazil,66.2
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Guinea,Guinea,57.327657279659036
6 2018Guinea,Guinea,57.327657279659036
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Guinea,Guinea,57.327657279659036
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Australia,Australia,47.364408332693685
6 2018Australia,Australia,47.364408332693685
6 2018Indonesia,Indonesia,52.289218090639245
6 2018Australia,Australia,47.364408332693685
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Guinea,Guinea,58.4057443846328
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018Guinea,Guinea,58.4057443846328
7 2018Indonesia,Indonesia,49.62552788480165
7 2018Indonesia,Indonesia,49.62552788480165
7 2018Australia,Australia,47.84965835701988
7 2018Guinea,Guinea,58.4057443846328
7 2018Vietnam,Vietnam,45.10914066989375
7 2018Australia,Australia,47.84965835701988
7 2018Australia,Australia,47.84965835701988
7 2018India,India,39.363238403039624
