Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,Bauxite Self Supply,Bauxite Origin Province,Bauxite Origin Province Category,Bauxite Origin County,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0,Weng'an,Guizhou,Weng'an,,2.93079695,3.014394404,0,0,0,0,0,0,0,0,0,0,0
15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,0,Xifeng,Guizhou,Xifeng,,2.93079695,3.014394404,0,0,0,0,0,0,0,0,0,0,0
15,Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,1,Zunyi,Guizhou,Zunyi,,2.93079695,3.014394404,0,0,0,0,0,0,0,0,0,0,0
17,Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0.6,Xiuwen,Guizhou,Xiuwen,,2.576844902,2.593853786,2.606128223,2.62571063,2.647447813,2.669781087,2.693499879,2.7185561,2.744249716,2.772927095,2.808552111,2.855971079,2.913280523
17,Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,0,Zhijin,Guizhou,Zhijin,,2.576844902,2.593853786,2.606128223,2.62571063,2.647447813,2.669781087,2.693499879,2.7185561,2.744249716,2.772927095,2.808552111,2.855971079,2.913280523
18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0,Longli,Guizhou,Longli,,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0,0,0,0
18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0.6,Qingzhen,Guizhou,Qingzhen,,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0,0,0,0
18,Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,0,Zhijin,Guizhou,Zhijin,,2.466372704,2.487319063,2.506342483,2.527156742,2.549972894,2.580472998,2.621316497,2.668130421,2.732286175,0,0,0,0
19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.2,Fuquan,Guizhou,Fuquan,,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0,0,0,0,0
19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.5,Huangping,Guizhou,Huangping,,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0,0,0,0,0
19.1,Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,0.7,Kaili,Guizhou,Kaili,,2.40729637,2.434348672,2.460287218,2.490736981,2.525497672,2.563589331,2.608993453,2.664686409,0,0,0,0,0
20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Daozhen,Guizhou,Daozhen,,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071
20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Wuchuan,Guizhou,Wuchuan,,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071
20,SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,1,Zheng'an,Guizhou,Zheng'an,,2.01292648,2.01292648,2.01292648,2.176134888,2.203238751,2.222077487,2.237740068,2.251307513,2.263001704,2.27405617,2.285476452,2.297517802,2.308249071
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Guiyang,Guizhou,Guiyang,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0,0,0
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Jinsha,Guizhou,Jinsha,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0,0,0
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0,Longli,Guizhou,Longli,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0,0,0
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,1,Qingzhen,Guizhou,Qingzhen,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0,0,0
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0.5,Xiuwen,Guizhou,Xiuwen,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0,0,0
22,Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,0,Zhijin,Guizhou,Zhijin,,2.471393171,2.501419791,2.528935431,2.558347742,2.590285885,2.623092185,2.658717242,2.698293345,2.742643256,2.800578533,0,0,0
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.5,Baofeng,Henan,Baofeng,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.3,Dengfeng,Henan,Dengfeng,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.85,Gongyi,Henan,Gongyi,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Jiaxian,Henan,Jiaxian,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Lushan,Henan,Lushan,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Mianchi,Henan,Mianchi,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,1,Pingdingshan,Henan,Pingdingshan,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.5,Ruzhou,Henan,Ruzhou,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Sanmenxia,Henan,Sanmenxia,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.8,Shaan,Henan,Shaan,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
23.1,Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,0.85,Xin'an,Henan,Xin'an,,2.138022237,2.15141548,2.164242959,2.178732483,2.193697998,2.208282437,2.224580246,2.248944837,2.275469784,2.296341268,2.313313556,2.327599762,2.343049819
