Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,Bauxite Self Supply,Bauxite Origin Province,Bauxite Origin Province Category,Bauxite Origin County,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Nanchuan,Other,Nanchuan,,1005.127676,1009.967697,845.247893,848.779805,852.3518922,684.2795775,686.2638568,689.1540516,692.280981,694.5056802,522.1000425,348.5788488,0
1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Wulong,Other,Wulong,,188.1991838,189.1054249,158.2634399,158.9247519,159.5935862,128.1238802,128.4954149,129.0365723,129.6220557,130.0386063,97.75753289,65.26758381,0
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,1,Longzhou,Guangxi,Longzhou,,194.0684279,202.7452053,203.3273014,203.8926275,204.4444531,204.9855453,205.5182895,206.0447904,206.5669481,207.0865175,207.6051574,166.4930229,166.8995121
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.95,Pingguo,Guangxi,Pingguo,,5364.640242,5604.492699,5620.583601,5636.21093,5651.465064,5666.422494,5681.149161,5695.703243,5710.137265,5724.499741,5738.836521,4602.37237,4613.608964
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,1,Tiandong,Guangxi,Tiandong,,34.52334943,36.06688448,36.1704351,36.27100247,36.36916819,36.46542452,36.56019581,36.65385645,36.74674447,36.83917206,36.93143429,29.6178872,29.69019864
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Chongzuo,Guangxi,Chongzuo,,0,0,0,0,393.6595931,723.4061522,735.4231363,594.2818424,598.677021,451.5806538,453.6214762,455.7442964,457.9626523
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Longzhou,Guangxi,Longzhou,,0,0,0,0,282.3508884,518.8603894,527.4795268,426.2464553,429.3988809,323.8945551,325.3583275,326.8809124,328.47202
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Napo,Guangxi,Napo,,0,0,0,0,148.3731956,272.6570987,277.1863884,223.9891968,225.6457719,170.2040694,170.9732703,171.7733769,172.6094915
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Debao,Guangxi,Debao,,2673.5443,2861.497015,2750.639919,2763.431437,2775.857581,2787.993666,2544.87877,2554.586834,2564.191861,2573.723139,2583.206614,2593.658023,2605.180306
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Jingxi,Guangxi,Jingxi,,2637.141072,2822.534605,2713.18695,2725.804297,2738.061246,2750.032085,2510.227464,2519.803342,2529.277586,2538.679085,2548.033432,2558.342534,2569.707928
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Tiandong,Guangxi,Tiandong,,33.62689873,35.99090179,34.59658028,34.75746749,34.91375916,35.06640256,32.00858901,32.13069362,32.25150227,32.37138332,32.49066313,32.62211728,32.76704049
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Tianyang,Guangxi,Tianyang,,437.1057718,467.8347245,449.7103657,451.8016893,453.8332768,455.8174418,416.0698586,417.6570591,419.2274138,420.785711,422.3361927,424.044925,425.9287374
