sheetname,causticPrice,sodiumCarbonate,bayer,bayer mud sinter,sinter,sourcing factor,switch
Chalco Shanxi import,1902.7,1359,1,0,0,3,0
SPIC Shanxi,1902.7,1240,1,0,0,4,0
SPIC Shanxi import,1902.7,1359,1,0,0,3,0
Dongxu Tianyuan,1902.7,1240,1,0,0,4,0
Dongxu Tianyuan import,1902.7,1240,1,0,0,4,0
East Hope Lingshi,1902.7,1240,1,0,0,4,0
East Hope Lingshi Import,2933,1359,1,0,0,3,0
Huaqing,1902.7,1240,1,0,0,4,0
Qiangjin Aluminium,1902.7,1240,1,0,0,4,0
Senze,1902.7,1240,0.55,0,0.45,4,0
Taixing,1902.7,1240,1,0,0,4,0
Wusheng,1902.7,1240,1,0,0,4,0
Xinfa - Jiaokou,1902.7,1240,1,0,0,4,0
Xinfa - Xiaoyi,1902.7,1240,1,0,0,4,0
Xingan Chemical,1902.7,1240,1,0,0,4,0
Xingan Chemical import,1902.7,1240,1,0,0,4,0
Yangquan Zhaofeng,1902.7,1240,1,0,0,4,0
Gangyuan Jiaohua,1902.7,1240,1,0,0,4,0
Xinghua (Chalco Jiaokou),1902.7,1240,1,0,0,4,0
Xinghua (Chalco Jiaokou) import,1902.7,1240,1,0,0,4,0
Tiantong,1902.7,1240,1,0,0,4,0
Fusheng,1902.7,1240,1,0,0,4,0
YMG - Wenshan,3017.1,1200,1,0,0,4,0
Guangxi - blending,1902.7,1359,1,0,0,3,0
Guizhou - blending,1902.7,1359,1,0,0,3,0
Henan - blending,1902.7,1359,1,0,0,3,0
Shanxi - blending,1902.7,1359,1,0,0,3,0
Other - blending,1902.7,1359,1,0,0,3,0
spare,1902.7,1359,1,0,0,3,0
spare,1902.7,1359,1,0,0,3,0
spare,1902.7,1359,1,0,0,3,0
spare,1902.7,1359,1,0,0,3,0
spare,1902.7,1359,1,0,0,3,0
spare,1902.7,1359,1,0,0,3,0
spare,1902.7,1359,1,0,0,3,0
spare,1902.7,1359,1,0,0,3,0
