Mine,Round trip distance Main fuel,Round Trip Distance on Auxiliary fuel,Vessel Loading rate,Vessel Un-Loading rate,Vessel Speed,Main Engine Fuel burn rate,MDO / MGO burn rate,Days at Avg Speed Main Fuel,Days at Avg Speed Auxiliary Fuel,Days Loading,Days unloading,Extra Days due to Canal use,Lay days allowance (50% each port),Main Fuel HFO / VLSFO Fuel Price,Auxiliary Fuel (MDO / MGO / LNG) Price,Main Fuel Cost,Auxiliary Fuel Cost,FX rate per USD,Fixed fee,Berthing Charge,Anchorage Charge,Per T_Cargo (wet) Charge,RMB/T_Cargo (wet)/day berthed,RMB/T_Cargo (wet)/day anchored,RMB/NRT,RMB/NRT/day berthed,RMB/NRT/day anchored,RMB/GRT,RMB/GRT/day berthed,RMB/GRT/day anchored,RMB/LOA,RMB/LOA/day berthed,RMB/LOA/day anchored,Time Charter Rate,Time Charter Cost,Canal Costs,Total Cost for Leg - before Insurance & Commission,Total Cost for Leg - with Insurance & Commission,Per tonne cargo incl. Insurance & Commission
West Kalimantan Generic,4652.0,0.0,15000.0,42500,11.0,23.702609842885536,2.192289592760181,17.62121212121212,0.0,6.03921568627451,2.1314878892733566,0,7,253.1,376.3,105711.95198614431,12515.201984553803,7.064020000000001,1747.1637962519922,,,33855.07702079985,,,24035.289610708507,5124.111806612115,928.5156030626908,,,,6330.567935366451,,,9770.8,330174.04988990247,0.0,520421.9296334022,521983.19542230235,6.779002537951977
West Kalimantan Generic,4652.0,0.0,15000.0,42500,11.0,36.481674919467196,3.1716923076923083,17.62121212121212,0.0,12.0,4.235294117647059,0,7,253.1,376.3,162705.6722033673,27731.505122171948,7.064020000000001,1747.1637962519922,,,67270.47771665425,,,47758.43260309612,18321.662817940138,1844.972561929762,,,,8563.207417524078,,,28206.0,1180604.6149732622,0.0,1516547.709212198,1521097.3523398344,9.941812760391075
Weipa/Amrun Generic,6560.0,0.0,80000.0,42500,11.0,23.548989096291937,2.1820689655172414,24.848484848484848,0.0,1.120689655172414,2.109533468559838,0,7,253.1,376.3,148103.16045523094,8400.164613835072,7.064020000000001,1747.1637962519922,,,33506.36821136036,,,23787.72505135056,5029.023251898516,918.9518507696132,,,,6307.269065997293,,,9770.8,352517.83985493885,0.0,580317.6661516333,582058.619150088,7.462289989103692
Malaysia Kuantan washed,0,0.0,80000.0,42500,,,,,,,,0,7,0,0,,,7.064020000000001,1747.1637962519922,,,,,,,,,,,,,,,9770.8,78166.4,,,,
Malaysia Kuantan washed,0,0.0,80000.0,42500,,,,,,,,0,7,0,0,,,7.064020000000001,1747.1637962519922,,,,,,,,,,,,,,,9770.8,78166.4,,,,
India Gujarat,0,0.0,80000.0,42500,,,,,,,,0,7,0,0,,,7.064020000000001,1747.1637962519922,,,,,,,,,,,,,,,9770.8,78166.4,,,,
India Gujarat,0,0.0,80000.0,42500,,,,,,,,0,7,0,0,,,7.064020000000001,1747.1637962519922,,,,,,,,,,,,,,,9770.8,78166.4,,,,
India Gujarat,0,0.0,80000.0,42500,,,,,,,,0,7,0,0,,,7.064020000000001,1747.1637962519922,,,,,,,,,,,,,,,9770.8,78166.4,,,,
SMB Generic,22300.0,0.0,30000.0,42500,11.0,34.90567063837363,3.037811965811966,84.46969696969697,0.0,5.592592592592593,3.947712418300654,0,11.281200237670825,253.1,376.3,746258.1167430445,23801.65903449162,7.064020000000001,1747.1637962519922,,,62702.729229720935,,,44515.57606831798,16040.450405889529,2771.4631750660187,,,,8258.014739773,,,28206.0,2998049.649768271,0.0,3904144.8229608266,3915857.2574297087,25.932829519402045
