Mine,Vessel dwt,Vessel Class for timecharter & fuel burn rates,"Vessel Class for distance, canals, loading and unloading rates, fuel prices",Estimated LOA (length over all) (m),Estimated NRT (net register tons),Estimated GRT (gross register tons)
West Kalimantan Generic,92911.01055806939,Panamax,Panamax,227.00131221719454,37480.301659125194,53008.52337858221
West Kalimantan Generic,184615.38461538462,Capesize,Suezmax,307.0592307692307,74473.84615384616,100593.92307692309
Weipa/Amrun Generic,91954.02298850576,Panamax,Panamax,226.1658620689655,37094.25287356322,52511.94252873564
Malaysia Kuantan washed,,,,,,
Malaysia Kuantan washed,,,,,,
India Gujarat,,,,,,
India Gujarat,,,,,,
India Gujarat,,,,,,
SMB Generic,172079.77207977208,Capesize,Suezmax,296.11564102564097,69416.98005698006,94089.19373219374
