country,mine,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
New,Chalco Boffa,,,,,,,,,,,,,,,
New,Alufer (Bel Air),,,,,,,,,,,,,,,
Existing Opn.,Gove,,,,,,,,,,,,,,,
New,AMR,,,,,,,,,,,,,,,
Expansion,Gujarat & Maharashtra,,,,,,,,,,,,,,,
New,West Kalimantan,4.73,6.63,8.36,7.68,6.14,7.06,7.51,7.63,7.76,7.9,8.08,8.08,8.08,8.08,8.08
New,Henan-Chine,,,,,,,,,,,,,,,
New,Kuantan,5.1,7.19,9.08,8.34,6.67,7.68,8.17,8.31,8.45,8.61,8.81,8.81,8.81,8.81,8.81
New,Aurum Xinfa-Fiji,,,,,,,,,,,,,,,
New,Dom. Rep.,,,,,,,,,,,,,,,
Expansion,Discovery Bay,,,,,,,,,,,,,,,
New,Awaso,,,,,,,,,,,,,,,
New,CBG,,,,,,,,,,,,,,,
New,AMC,,,,,,,,,,,,,,,
New,GAC,,,,,,,,,,,,,,,
New,Solomon Islands,,,,,,,,,,,,,,,
 Cape York,Metallica,,,,,,,,,,,,,,,
" Queensland""",Aurukun,,,,,,,,,,,,,,,
New,Metro LT,,,,,,,,,,,,,,,
Expansion,MRN,,,,,,,,,,,,,,,
Expansion,Juruti,,,,,,,,,,,,,,,
" State of Minas Gerais""",Mirai,,,,,,,,,,,,,,,
New,Metro BH1,,,,,,,,,,,,,,,
" western Cape York Peninsula""",Amrun,,,,,,,,,,,,,,,
" Para State""",Rondon do Para,,,,,,,,,,,,,,,
Expansion,Huntly,,,,,,,,,,,,,,,
" Dak Nong Province""",Vietnam Others,,,,,,,,,,,,,,,
New,SMB Malapouya,,,,,,,,,,,,,,,
New,Rundi,,,,,,,,,,,,,,,
New,Metro Blend,,,,,,,,,,,,,,,
Existing Opn.,Seydisehir,,,,,,,,,,,,,,,
New,Dian Dian,,,,,,,,,,,,,,,
New,Dynamic,,,,,,,,,,,,,,,
New,GDM,,,,,,,,,,,,,,,
New,Ashapura Guinea,,,,,,,,,,,,,,,
New,SMB Kaboye,,,,,,,,,,,,,,,
New,SMB Dabiss S,,,,,,,,,,,,,,,
New,AGB2A,,,,,,,,,,,,,,,
Existing Opn.,Mokanji,,,,,,,,,,,,,,,
Existing Opn.,CBK Kindia,,,,,,,,,,,,,,,
New,SPIC,,,,,,,,,,,,,,,
