country,mine,FOB Cash Cost,Full Cost CFR,Sust. Cap,Cap Chrg,Other Chgs,Freight,BAR LT,BAR HT-D,BAR HT-B,T.AA,LT A.AA,Mon AA,T.SiO2,LT R.SiO2,Organic C,Bx Style,Moisture as Shipped,"Processing Penalties (extra crushing, high goethite, high phos, etc) (US$/dmt bx)",Specific Capital (applicable to project as modelled - US$/dmt bx output),Project Life (yr),Construction Period (yr),Minimum IRR to proceed (%),Build Quality,Infrastucture Covered by Capital,Percentage of Specific Capital used to Calculate Annual Sustaining Capital Charge,Vessel Class,Capital US$/dmt
New,Chalco Boffa,,,1.5776488095238093,-0.0,0.0,,2.834467120181406,2.6738325378681536,2.642356982428326,0.434,0.392,0.03,0.015,0.012,Moderate,LT,0.1,0,39.5,25,1,0.04,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Capesize,39.5
New,Alufer (Bel Air),,,0.3255,-0.0,0.0,,2.743484224965706,2.77112707280305,2.599090318388564,0.46,0.405,0.038,0.048,0.017,Moderate,LT,0.1,0,18,15,1,0.15,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Capesize,18
Existing Opn.,Gove,,,1.085,-0.0,0.0,,2.6143790849673203,2.563116749967961,2.4746349913387773,0.495,0.425,0.028,0.05,0.042,High,LT,0.095,0,60,40,4,0.08,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Panamax,60
New,AMR,,,1.40625,-0.0,0.0,,2.743484224965706,2.674798052747018,2.629848783694938,0.44,0.405,0.02,0.02,0.015,Moderate,LT,0.1,0,15,20,1,0.04,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,15
Expansion,Gujarat & Maharashtra,,,0.7500000000000001,-0.0,0.0,,2.743484224965706,2.820794900002821,2.6533996683250414,0.48,0.405,0.0225,0.07,0.0525,Moderate,LT,0.07,0.5,5,20,1,0.08,3. Cheap n Nasty,2. Mine+Roads/Rail,0.15000000000000002,Panamax,5
New,West Kalimantan,,,0.9142241176500001,-0.0,0.0,8.08,2.5252525252525255,2.9117167481947357,2.6298487836949382,0.48,0.44,0.005,0.08,0.035,Moderate,LT,0.15,0,6.094827451,5,1,0.15,3. Cheap n Nasty,2. Mine+Roads/Rail,0.15000000000000002,Panamax,6.094827451
New,Henan-Chine,,,1.875,-0.0,0.0,,2.6143790849673203,2.551931812381973,2.5109855618330195,0.46,0.425,0.02,0.02,0.015,Moderate,LT,0.1,0,20,20,1,0.04,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Capesize,20
New,Kuantan,32.09,40.900000000000006,0.0,-0.0,0.0,8.81,2.8636884306987396,2.936805812526064,2.845354958031014,0.43,0.388,0.005,0.042,0.037,Moderate,LT,0.17,0.5,0,10,1,0.15,3. Cheap n Nasty,1. Mine only,0.15000000000000002,Panamax,0
New,Aurum Xinfa-Fiji,,,1.1982142857142857,-0.0,0.0,,3.0441400304414,3.167363486633726,3.0651340996168583,0.4,0.365,0,0.04,0.035,Moderate,LT,0.17,0,30,30,2,0.08,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Panamax,30
New,Dom. Rep.,,,1.5000000000000002,-0.0,0.0,,3.1746031746031744,2.7536830510808206,2.6455026455026456,0.465,0.35,0.075,0.05,0.04,Moderate,HT-B,0.16,0.5,10,5,1,0.12,3. Cheap n Nasty,2. Mine+Roads/Rail,0.15000000000000002,Capesize,10
Expansion,Discovery Bay,,,0.3616666666666667,-0.0,0.0,,2.5839793281653747,2.3562954323213043,2.326934264107039,0.49,0.43,0.05,0.015,0.01,Moderate,HT-B,0.17,0.5,20,25,2,0.1,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Panamax,20
New,Awaso,,,1.2833333333333337,-0.0,0.0,,2.244668911335578,2.2657241254304874,2.244668911335578,0.515,0.495,0,0.02,0.02,Moderate,LT,0.1,0,20,25,2,0.1,2. Intermediate,2. Mine+Roads/Rail,0.06416666666666668,Panamax,20
New,CBG,,,0.7233333333333334,-0.0,0.0,,2.5660764690787783,2.4157740381595665,2.3818030248898414,0.487,0.433,0.035,0.022,0.019,Moderate,LT,0.07,0,40,25,2,0.15,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Capesize,40
New,AMC,,,1.078392857142857,-0.0,0.0,,2.4260067928190194,2.4390005951161453,2.3640661938534278,0.49,0.458,0.02,0.028,0.012,Moderate,LT,0.1,0,27,30,2,0.15,2. Intermediate,3. Mine+Roads/Rail+Port,0.039940476190476186,Capesize,27
New,GAC,,,1.1754166666666666,-0.0,0.0,,2.710027100271003,2.494636531457367,2.442002442002442,0.47,0.41,0.039,0.02,0.01,Moderate,LT,0.1,0,65,30,3,0.08,1. Gold plated,3. Mine+Roads/Rail+Port,0.018083333333333333,Capesize,65
New,Solomon Islands,,,1.875,-0.0,0.0,,2.3640661938534278,2.381956205353208,2.3665838362323983,0.48,0.47,0,0.011,0.01,V_High,HT-B,0.15,2.5,20,20,2,0.12,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Panamax,20
 Cape York,Metallica,,,0.9375,-2.7550210002352005,0.0,,2.8490028490028485,3.098901439439718,2.795248078266946,0.5,0.39,0.02,0.115,0.09,High,LT,0.13,0,10,5,1,0.08,3. Cheap n Nasty,3. Mine+Roads/Rail+Port,0.09375,Panamax,10
