a,b
Yunnan Aluminium Co Ltd,Yunnan Aluminium
Yantai Port Logistics Ltd,Yantai Port
Xinfa,Xinfa
Weiqiao,Weiqiao
Wanji,Wanji
TBEA,TBEA
Jinbei Aluminium,SPIC
SPIC,SPIC
Nanshan,Nanshan
Lubei,Lubei
Jinjiang,Jinjiang
Bosai,Bosai
Chalco,Chalco
AVIC,Traders
AVIC International,Traders
Beijing Uni-Construction Industrial Investment Holdings Co.Ltd,Traders
Binzhou Beihai Huihong New Material,Traders
Chengda Industrial (Xiamen) Ltd,Traders
China Chengtong International Co. Ltd,Traders
China Overseas Harbour Affairs (Laizhou) Co.,Traders
Dongying Bofa International,Traders
Guangxi Longzhou Zhongyuan Import Export,Traders
Guolin Huitai Shanghai,Traders
Jerald Metal (Shanghai) Ltd,Traders
Jianfa Legistics (Shanghai) Ltd,Traders
Jianfa Logistics (Shanghai) Ltd,Traders
Jiangsu Guangheng Mining,Traders
Longkou Haida Logistics,Traders
Minmetal Aluminium,Traders
Shandong Guoyu International Trading,Traders
Shandong Huaxin Energy,Traders
Shandong Risheng Fuel Ltd,Traders
Shandong Xingzhen Trading,Traders
Shandong Yellow River Industrial Ltd,Traders
Shanghai Lekaida International Industry,Traders
Shanghai Shenhang Import Export Ltd,Traders
Tangshan Jinjie Industrial Ltd,Traders
Tangshan Port Bonded Warehouse,Traders
Tianjin MCC Xingchen International,Traders
Tianjin Xinzesheng Hangcai Trading,Traders
Wanxiang Resource,Traders
Xiamen ITG,Traders
Xiamen Shengmao,Traders
Xiamen Xiangyu Lvsheng Ltd,Traders
Xinxing Zhuguan Ltd,Traders
Yangquan Lianji Import Export,Traders
Yantai Taishan Petroleum Port Development,Traders
Zhejiang Metals and Materials Company,Traders
Zhongtian Technology,Traders
Caofeidian Bonded Warehouse,Bonded Warehouses
Lianyungang Bonded Warehouse,Bonded Warehouses
Lianyungang Luqiao Bonded Warehouse,Bonded Warehouses
Rizhao Huafeng Warehousing,Bonded Warehouses
Chengda Property (Xiamen) Co Ltd,Traders
Jingtang Port Bonded Warehouse,Traders
Xiamen Shengmao Ltd,Traders
Xiamen Xiangyu Lvsheng,Traders
China Chengtong International Trading,Traders
Wanbao Mining Ltd,Traders
Shenzhen Qianhai Hongke Chuangye Investment,Traders
Shanghai Heavy Machinary,Traders
Xiamen Xiangyu Logistics,Traders
Shuangri (Shanghai) Ltd,Traders
Xiamen Xiangyu Logistics,Traders
Guizhou Material Group International Trading,Traders
Tangshan Jinjie Industrial,Traders
Gerald Group (Shanghai) Ltd,Traders
Loudi Zhongyu New Material Ltd,Traders
AVIC Mineral Resource,Traders
Tiangui,Tiangui
Rizhao Port Trading,Traders
Baosteel Resource Holding,Traders
Jinmei Group International Trading,Traders
Jianfa Logistics (Tianjin) Ltd,Traders
Linyi Chengye Supply Chain Managing Ltd,Traders
Shanghai Beijixing Industrial Ltd,Traders
Glencore,Glencore
Jianfa Logistics (Qingdao) Ltd,Traders
Tianyuan Chemical,Tianyuan
Yankuang Group Hainan Intelligence Logistics Tech,Traders
Rizhao Port Huafeng Warehousing,Bonded Warehouses
Jianfa Logistics (Tianjin) Ltd,Traders
Xiamen ITG Group Corp. Ltd,Traders
