Mine,RMB per US$,AU$ per US$,US$ per US$,IMF Special Drawing Rights to US Dollar
West Kalimantan Generic,7.064020000000001,0.687539,1,1.37746
West Kalimantan Generic,7.064020000000001,0.687539,1,1.37746
Weipa/Amrun Generic,7.064020000000001,0.687539,1,1.37746
Malaysia Kuantan washed,7.064020000000001,0.687539,1,1.37746
Malaysia Kuantan washed,7.064020000000001,0.687539,1,1.37746
India Gujarat,7.064020000000001,0.687539,1,1.37746
India Gujarat,7.064020000000001,0.687539,1,1.37746
India Gujarat,7.064020000000001,0.687539,1,1.37746
SMB Generic,7.064020000000001,0.687539,1,1.37746
