,Imported Bauxite Stocks,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
0,Refineries,6.1728965183358095,9.86246314909132,7.276323448960189,8.83572519945435,13.0736064982246,8.48345846130442,8.42848437092752,8.60878187952685,9.80757344543388,11.185102700638001,12.383844889926,11.4324477363815,13.423088885175199,14.9410468727531,15.639160847704401,16.6705566692142,19.170129115230104,19.133619741841198,20.358066459646803,21.121767574142705,22.3495390097604,22.528664206345695,24.4164920350428,25.095755200948496,26.620027231514698,27.8053248818605,31.210219267286096,30.521887006156,31.790720122793196,31.5039059473945,30.809244011877198,29.850293287615,30.0047472736482,29.5126304249091,25.355891425497695,25.904674535411495,
1,Port,13.212,9.576,11.988,11.682,7.703999999999998,13.167,14.355,13.194,12.4281818181818,12.5983636363636,12.8536363636364,14.768181818181802,14.3852727272727,13.194,14.2576363636364,14.6830909090909,13.6221818181818,15.2321818181818,15.335999999999999,14.67,15.201,16.425,16.605,19.017,20.25,22.5,21.87,23.355,23.841,25.02,24.93,23.697,22.455,23.22,26.685,26.505,
2,Weeks of Supply,15.049356808931599,15.0201781325739,14.5621174279443,15.5484766492569,15.606290067650301,16.9120658410718,18.001075146125,17.706704034404897,17.5068732237609,18.706651708262697,19.961926290464305,20.365297849488705,21.6859014436462,21.917561733502897,23.8871801716428,24.532347825345603,26.6481506408747,27.2272256029046,27.3590806190344,26.237165239099802,27.2287538146302,29.481165792532398,31.104108362063,30.334745015234,32.988205596792,33.9370481117828,36.540378577079395,33.0217391987708,33.84308385407489,32.2824742477911,31.552799372529,29.090270151634304,28.795043183693398,28.8448357057314,28.475373669472898,27.9713029268115,
3,TOTAL,19.384896518335808,19.43846314909132,19.264323448960187,20.51772519945435,20.777606498224596,21.650458461304417,22.78348437092752,21.80278187952685,22.23575526361568,23.7834663370016,25.2374812535624,26.2006295545633,27.808361612447897,28.1350468727531,29.896797211340804,31.3536475783051,32.792310933411905,34.365801560023,35.694066459646805,35.7917675741427,37.5505390097604,38.95366420634569,41.0214920350428,44.1127552009485,46.8700272315147,50.3053248818605,53.0802192672861,53.876887006156,55.6317201227932,56.523905947394496,55.7392440118772,53.547293287615,52.4597472736482,52.732630424909104,52.04089142549769,52.4096745354115,0.0
