,"Bauxite Requirement & Supply, Mt Bx",2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
0,Imported Bauxite,5.68876142687016,5.531189990244489,5.84253611513112,5.639921990505849,5.87987394122973,5.6538282239202,5.4094540023769,5.43808954940067,5.428439880911161,5.61501943861408,5.58361846443928,5.132033363999049,5.66330688011532,5.48639583969484,5.527540755412369,5.462364699035679,5.434719344893169,5.57436318938894,5.576044906376169,6.02474138150408,5.89413588438238,5.83546993781466,5.77674296583487,5.67608340203405,6.31105836299419,6.282545718373309,6.45864575711631,6.98680832270872,7.33122002749062,7.741163433645478,7.511449941834369,8.20487091834467,7.786462453412571,8.07390321116423,8.07137394045685,7.74118137721336,
1,Domestic Bauxite,9.259669762465341,9.01605213036475,9.30332102558395,8.94914049747725,9.190617174933289,9.26325479638995,9.077948704987588,9.13239472286323,8.56643532322356,8.34517401280263,8.62840705474804,8.06177290229133,8.96341400317126,9.14801453580404,9.490674964629779,9.35075875688358,9.257282067193648,9.38773552909986,9.38365510469739,9.376412164631342,9.44963526222554,9.34138044341656,9.01002998390384,8.041423323757423,8.62617211924953,8.35132930901773,8.16198367462767,7.83723068028687,7.64981027244895,6.96077638395337,6.881657012054769,6.64892955197457,6.46740450929255,6.84365775235998,6.696548516575169,5.73783731990646,
2,% Bauxite Consumption Domestic,0.619440906218397,0.619777415926254,0.614248565739787,0.613414364689204,0.609841915840182,0.6209829886833571,0.62660981325334,0.626773589141954,0.612112305273908,0.597783550911735,0.607120149277739,0.611027078886919,0.612810901000608,0.625103048300447,0.631944243014452,0.631248283639131,0.6300899249558921,0.627434406477973,0.627262251098041,0.608812329319588,0.615861327175399,0.615501913029912,0.610325428904723,0.584553173046714,0.585676911731277,0.574160173561039,0.567980488104152,0.546882182522269,0.525832990109232,0.4862071298554,0.487711887734057,0.459345317015123,0.453729821262844,0.458765194195875,0.453452307598384,0.42568657621437295,
3,TOTAL,14.948431189335501,14.54724212060924,15.14585714071507,14.5890624879831,15.07049111616302,14.917083020310148,14.487402707364488,14.5704842722639,13.994875204134722,13.96019345141671,14.212025519187321,13.193806266290379,14.62672088328658,14.634410375498879,15.018215720042148,14.81312345591926,14.692001412086817,14.9620987184888,14.959700011073558,15.401153546135422,15.34377114660792,15.176850381231219,14.78677294973871,13.717506725791473,14.93723048224372,14.633875027391039,14.62062943174398,14.82403900299559,14.981030299939569,14.701939817598848,14.393106953889138,14.85380047031924,14.253866962705121,14.91756096352421,14.767922457032018,13.47901869711982,0.0
