,Month,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
0,Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.31647778335701,46.6745337780179,47.36440833269369,47.849658357019884,46.83501183335184,46.565030197129296,44.935335877836984,48.34451506946265,44.56134646965882,45.78306121334835,45.75890325928645,44.583615135418846,44.44714990575787,43.74784511256962,44.360081436405366,44.36000979565689,44.745680599082135,43.78411687224524,43.18618806700627,43.20703460440929,42.90893258876092,43.439306769709425,43.60743921337287,43.43314155334649
1,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.2,64.8,0.0,62.29148810720724,64.8,65.1,65.22122529031256,66.4479099545153,65.20851161173435,64.9,65.5,65.102377467409,0.0,0.0,65.4,63.99794571743446,0.0,64.00072294870925,0.0,0.0,0.0,0.0
2,DR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,68.1,0.0,62.0,0.0,64.0177741310664,0.0,64.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.060921440816394
5,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.79999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.69080621303233,56.680824972744034,57.32765727965904,58.4057443846328,59.01777441174695,64.39292634528812,65.60648073260148,60.626854252690364,59.928561952343,58.810829579923116,57.573556235102146,59.46924109921417,60.76971765203503,56.519877584798,53.82932375890022,53.352849561366995,54.87153866877797,56.845355936112426,57.731900369337176,53.67890911145368,51.050318570426114,48.734135618498954,49.48618547782533,53.04301101303327
7,Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.12,39.36323840303962,38.24393273507197,38.8,0.0,39.5,45.0,0.0,0.0,40.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.25168651526843,53.147474208354254,52.289218090639245,49.62552788480165,47.801618896179704,50.1187695775395,50.50577428888151,52.48851117113114,49.96408354406455,49.69292875904927,49.47481603557604,50.057599232353475,49.55835444981685,49.44862183900775,49.43057323932489,46.74580493259635,46.637918214302395,48.09185188727365,49.04208607614678,51.22974584659996,51.421084902636956,50.968302717032536,48.57277439735768,48.53102368420368
