,Region Key,Customer Key,MONTHLY IMPORTED TONNAGE (dmt),2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
31,Gove,Xinfa,Gove-Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81329.0,84195.0,0.0,0.0,0.0,170570.0,0.0,0.0,0.0,0.0,0.0,77250.0,82023.0,0.0,0.0,0.0,0.0,0.0,172676.0,88270.0,0.0,0.0,0.0,0.0
32,Gujarat,Bosai,Gujarat-Bosai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Gujarat,Xinfa,Gujarat-Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210375.0,172653.0,113997.0,55320.0,0.0,57254.0,0.0,0.0,0.0,165611.0,161381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Johor,Chalco,Johor-Chalco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35130.0,0.0,48100.0,0.0,48406.0,0.0,47632.0,0.0,46717.0,0.0,48290.0,0.0,0.0,48365.0,44115.0,0.0,65473.0,0.0,0.0,0.0,0.0,0.0
35,Johor,Traders,Johor-Traders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48530.0,0.0,44229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51758.0,0.0,0.0,0.0,0.0,0.0,0.0,98252.0
36,Johor,Xinfa,Johor-Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52606.0,59056.0,0.0,0.0,0.0,68062.0,0.0,0.0,46523.0,31312.0,51403.0,68280.0,0.0,53986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Juruti,Xinfa,Juruti-Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145348.0,144690.0,0.0,293413.0,146097.0,146465.0,148738.0,143111.0,0.0,149222.0,146886.0,292412.0,0.0,0.0,0.0,287643.0,0.0,295180.0,0.0,0.0,0.0,0.0
38,Kuantan,Chalco,Kuantan-Chalco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58833.0,34174.0,0.0,35722.0,0.0,0.0,0.0,0.0,33479.0,0.0,0.0,0.0
39,Kuantan,Traders,Kuantan-Traders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Kwinana,Xinfa,Kwinana-Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87194.0,127171.0,84502.0,126589.0,86310.0,160681.0,81241.0,294332.0,129180.0,128198.0,128803.0,86981.0,213140.0,171508.0,175340.0,168927.0,81274.0,164611.0,208992.0,129317.0,83231.0,170734.0,85994.0,305126.0
41,Lang Son,Traders,Lang Son-Traders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,3571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,MRN,Chalco,MRN-Chalco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160756.0,194585.0,218572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,MRN,Xinfa,MRN-Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Niksic,Bonded Warehouses,Niksic-Bonded Warehouses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60870.0,0.0,0.0,0.0,58498.0,0.0,0.0,0.0,46766.0,86795.0,0.0,80178.0,0.0,0.0
45,Niksic,Traders,Niksic-Traders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57741.0,0.0,0.0,0.0,0.0,70750.0,0.0,0.0,0.0,61783.0,0.0,0.0,69030.0,0.0,0.0,0.0,0.0,63936.0,0.0,0.0,0.0
46,Rennell Island,Bonded Warehouses,Rennell Island-Bonded Warehouses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Rennell Island,Bosai,Rennell Island-Bosai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11432.0,37318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Rennell Island,Chalco,Rennell Island-Chalco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57081.0,0.0,0.0,0.0,54825.0,0.0,114006.0,51300.0,221663.0,46800.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Rennell Island,Nanshan,Rennell Island-Nanshan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53243.0,55200.0,53700.0,0.0,0.0,0.0,59850.0,53588.0,59850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Rennell Island,Traders,Rennell Island-Traders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48117.0,0.0,59820.0,56617.0,0.0,100913.0,0.0,52553.0,0.0,23798.0,0.0,48598.0,0.0,0.0,0.0,55425.0,118658.0,55350.0,171002.0,111474.0,48765.0,214164.0
51,Rennell Island,Weiqiao,Rennell Island-Weiqiao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107235.0,115185.0,53925.0,59835.0,109013.0,55200.0,113528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Sierra Leone,Xinfa,Sierra Leone-Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,SMB,Bosai,SMB-Bosai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,SMB,SPIC,SMB-SPIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188634.0,159083.0,159815.0,158862.0,154634.0,0.0,0.0,0.0,0.0,0.0,0.0,162194.0,185691.0,163714.0,156338.0,0.0,155303.0,0.0,0.0,0.0
