,Country Key,MONTHLY IMPORT BY REGION (dmt),2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
15,Indonesia,C-Kal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42177.0,218373.0,139092.0
16,Indonesia,W-Kal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5153551.0,6215294.0,6048418.0,5871743.0,6129702.0,5686329.0,4845227.0,7217726.0,7021387.0,7665198.0,8156930.0,7957096.0,8923340.0,8536816.0,7935829.0,8471904.0,7775700.0,5448492.000020001,5649283.0,6533742.0,7738605.0,6983241.0,8611566.0,7378044.299999999
17,Jamaica,Discovery Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278433.0,76332.0,46432.0,90791.0,41142.0,82409.0,48795.0,59365.0,0.0,0.0,69510.0,204885.0,0.0,0.0,25928.0,61369.0,28315.0,8208.0,13062.0,0.0,15583.0,46901.0,0.0
18,Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35130.0,52606.0,107156.0,48530.0,48406.0,44229.0,115694.0,0.0,46717.0,46523.0,79602.0,51403.0,68280.0,48365.0,149859.0,0.0,65473.0,0.0,0.0,0.0,0.0,98252.0
19,Malaysia,Kuantan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58833.0,68698.0,0.0,35722.0,0.0,0.0,0.0,0.0,33479.0,0.0,0.0,0.0
20,Montenegro,Niksic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57741.0,0.0,0.0,0.0,0.0,70750.0,0.0,60870.0,0.0,61783.0,0.0,58498.0,69030.0,0.0,0.0,46766.0,86795.0,63936.0,80178.0,0.0,0.0
21,Sierra Leone,Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Solomon Islands,Rennell Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107235.0,168428.0,157242.0,113535.0,168833.0,111817.0,113528.0,160763.0,122101.0,149721.0,76610.0,23798.0,54825.0,48598.0,114006.0,51300.0,221663.0,102225.0,118658.0,55350.0,171002.0,111474.0,48765.0,214164.0
23,Turkey,Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61180.0,0.0,0.0,52129.0,0.0,0.0,5324.0,73372.0,501.0,61151.0,0.0,0.0,1069.0,124548.0,0.0,49404.0,73331.0,0.0
24,Vietnam,Cam Pha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50428.0,51838.0,0.0,102673.0,101801.0,0.0,0.0,87459.0,51194.0,40573.0,0.0,0.0,0.0,41906.0,0.0,0.0,52630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Vietnam,Lang Son,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,3571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9143460.0,10849262.0,10677848.0,10721388.0,11265764.0,9803896.0,8804596.0,12095492.0,12286192.0,13582188.0,13915842.0,14113598.0,15303688.0,15106944.0,13729774.0,14622272.0,13279315.0,8520666.000020001,9144148.0,10149234.0,12356930.0,11766432.0,14128430.0,12421952.299999999
27,,CHECKING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
