,Country Key,MONTHLY IMPORT BY REGION (dmt),2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
0,Australia,Bauxite Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54649.0,110009.0,214257.0,230458.0,267046.0,267722.0,271908.0,109235.0,163385.0,162293.0,0.0,0.0,0.0,259535.0,478501.0,482183.0,108336.0,625059.0,220471.0,507269.0,68538.0,68538.0,0.0
1,Australia,Gove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698810.0,572604.0,518140.0,751672.0,760931.0,680303.0,613009.0,733612.0,610819.0,676625.0,565003.0,589830.0,646540.0,776451.0,433249.0,622756.0,672263.0,594656.0,760910.0,789206.0,436124.0,727692.0,487590.0,520498.0
2,Australia,Kwinana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87194.0,127171.0,84502.0,126589.0,86310.0,160681.0,81241.0,294332.0,129180.0,128198.0,128803.0,86981.0,213140.0,171508.0,175340.0,168927.0,81274.0,164611.0,208992.0,129317.0,83231.0,170734.0,85994.0,305126.0
3,Australia,Weipa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Australia,Weipa-LMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Brazil,Juruti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145348.0,144690.0,0.0,293413.0,146097.0,146465.0,148738.0,143111.0,0.0,149222.0,146886.0,292412.0,0.0,0.0,0.0,287643.0,0.0,295180.0,0.0,0.0,0.0,0.0
6,Brazil,MRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160756.0,194585.0,218572.0,0.0,0.0,0.0,0.0,0.0,144814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Ghana,Awaso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116422.0,0.0,107507.0,0.0,58491.0,0.0,111516.0,0.0,107205.0,50999.0,123511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116700.0
8,Greece,Elmin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Guinea,Bel Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329560.0,319283.0,433684.0,159465.0,311534.0,318071.0,161303.0,352768.0,153868.0,303592.0,151730.0,301243.0,340723.0,154742.0,661019.0,324617.0
10,Guinea,Chalco Boffa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51931.0,0.0
11,Guinea,CBG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61578.0,60532.0,153436.0,0.0,65454.0,66849.0,117009.0,0.0,295686.0,182852.0,61471.0,48678.0,63711.0,0.0,180600.0
12,Guinea,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3046242.0,3264423.0,3292352.0,2959290.0,3448176.0,2400824.0,2545777.0,2921433.0,3314144.0,3880597.0,3954829.0,4335256.0,4293918.0,4617978.0,4405299.0,4069097.0,3483692.0,1187110.0,1325148.0,1495771.0,2933883.0,3298958.0,3774422.0,3144859.0
13,India,Gujarat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210375.0,172653.0,113997.0,55320.0,0.0,57254.0,43269.0,0.0,0.0,165611.0,161381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Indonesia,Bintan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253359.0,141697.0,44277.0,51085.0,0.0,0.0,0.0,0.0,43078.0,0.0,0.0,0.0,0.0
