,Month,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
0,AUS HT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.86861936852836,62.18412479257677,64.25914715266163,63.78010338866368,63.57489110309486,64.54912598551259,60.83229982747992,66.71632643823486,59.93258461294344,63.6525909707221,60.72383924238071,57.09930133752991,57.476632874439204,55.82629064463799,57.58177027839018,60.95728066063033,61.75039417407216,58.92836799949116,57.24141420904088,55.21524215687564,55.08742236794407,53.55182074825508,53.76792620826439,53.00939657365024
1,AUS LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.179563867581884,48.42085973990072,46.362476997212354,47.17279028613238,49.01731096661194,50.3152386358318,47.921100207215254,50.046634876904484,45.74804050738231,46.707965125176,48.39395045658394,50.06503696148524,48.189603876859124,47.41212634776685,46.94456222717278,46.90770085279036,47.554562754258136,48.956530667948506,46.116146119823114,46.541950117348954,47.15736373141584,46.08984199359071,46.35770848458746,47.93287206363036
2,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.79775963034499,53.335961824531324,54.63805128141457,56.37757309283159,56.65932486804291,62.156874432814895,63.703681243030864,58.284702592795284,58.63484687242993,57.22897588255694,56.15842456959342,58.48964035458046,60.53771881949154,55.336874536299035,52.1501263815563,50.825029803909814,53.123798745698515,51.18625529855693,53.962809744091174,52.84321474673218,48.257195430083605,47.516285809034244,48.136119833616,52.1308901747617
3,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.473718648859965,45.371987322675544,42.07770246165443,41.96337148727849,41.44495037725235,42.187680061651676,44.558508527956704,44.75667910300935,44.30905981476322,41.35137567744685,44.30508141013718,44.45164017207164,42.133422766177695,42.26708974541681,41.836125001112414,40.40620391215646,41.68081331586066,42.740163075352456,44.46665222443181,45.91568529128805,45.56295499121873,45.415907781635816,44.98971691498786,45.46883528215957
4,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8297393525142,58.8297393525142,58.8297393525142,59.36608304866989,59.3660830486699,60.26722952979546,60.0682263432834,59.931160406409,56.916837595536364,57.34972032229728,55.13177199386973,58.717625747514106,60.54207873293011,60.709293284093,60.709293284093,60.709293284093,60.635894687517386,60.86361959574385,63.8065261390174,61.15399709926624,61.153997099266206,61.153997099266206,61.153997099266206,0.0
