,"Alumina by Province, Mt Aa",2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
0,Shandong,2.093742,2.046815,2.139611,2.068734,2.16811,2.1185,2.043,2.05,2.02,2.08,2.08,1.903,2.075,2.03,2.065,2.023,2.005,2.04,2.04,2.112,2.05,2.079,2.059,1.93,2.079,2.09,2.117,2.125,2.177,2.257,2.2,2.279,2.212,2.27,2.27,2.091,
1,Henan,0.9966640000000002,0.969317,0.996191,0.985769,1.031291,1.0291,0.972,1.0,0.8,0.72,0.8199999999999998,0.794,0.88,0.939,0.948,0.948,0.908,0.923,0.948,0.944,0.958,0.861,0.8359999999999999,0.809,0.907,0.873,0.848,0.87,0.883,0.787,0.714,0.715,0.645,0.7,0.725,0.666,
2,Shanxi,1.6504869999999998,1.604583,1.651533,1.552282,1.603181,1.621,1.608,1.6,1.59,1.55,1.58,1.531,1.7280000000000002,1.695,1.771,1.731,1.6578,1.685,1.712,1.729,1.77,1.8230000000000002,1.768,1.567,1.71,1.678,1.57,1.592,1.555,1.4680000000000002,1.515,1.53,1.494,1.551,1.481,1.3019999999999998,
3,Guizhou,0.357141,0.356289,0.35493,0.35868,0.337134,0.3604,0.389,0.39,0.38,0.39,0.38,0.299,0.335,0.351,0.377,0.375,0.39,0.392,0.382,0.375,0.369,0.352,0.37200000000000005,0.335,0.365,0.349,0.375,0.364,0.385,0.365,0.354,0.365,0.353,0.37,0.365,0.339,
4,Guangxi,0.719308,0.696359,0.745378,0.696528,0.727261,0.7309,0.697,0.7,0.69,0.7,0.65,0.548,0.613,0.644,0.663,0.644,0.665,0.675,0.648,0.65,0.645,0.665,0.655,0.627,0.675,0.62,0.625,0.64,0.645,0.665,0.64,0.665,0.67,0.657,0.682,0.67,
5,Chongqing,0.059552,0.058288,0.05425,0.058251,0.057528,0.0581,0.053,0.06,0.06,0.061,0.06,0.06,0.064,0.06800000000000002,0.07,0.067,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.065,0.07,0.07,0.115,0.125,0.115,0.105,0.13,0.13,0.12300000000000001,0.135,0.125,0.115,
6,Other,0.142614,0.135415,0.125965,0.135664,0.133986,0.1162,0.124,0.12,0.12,0.124,0.15,0.165,0.1731,0.172,0.18,0.182,0.19,0.19,0.185,0.185,0.184,0.18,0.187,0.17,0.177,0.17,0.18899999999999997,0.18,0.184,0.19,0.191,0.195,0.188,0.198,0.194,0.136,
7,TOTAL,6.019508000000001,5.867066,6.067857999999999,5.855908,6.058491,6.034199999999999,5.886,5.92,5.66,5.624999999999999,5.720000000000001,5.3,5.8681,5.898999999999999,6.074,5.970000000000001,5.885800000000001,5.9750000000000005,5.984999999999999,6.065,6.046,6.030000000000001,5.947000000000001,5.503,5.983,5.8500000000000005,5.839,5.895999999999999,5.944,5.8370000000000015,5.744,5.8790000000000004,5.685,5.881,5.8420000000000005,5.319000000000001,0.0
