,MONTHLY IMPORT BY COUNTRY (dmt),2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
0,Guinea,1859841.76,2336482.45,2266216.917,2743004.942,2721043.467,2784795.778,2461675.37,1649593.961,2794766.034,3054168.252,3523203.306,3423240.249,3632246.49,3046242.0,3264423.0,3292352.0,2959290.0,3448176.0,2400824.0,2545777.0,2921433.0,3643704.0,4261458.0,4449045.0,4648157.0,4605452.0,5001503.0,4633451.0,4538874.0,3637560.0,1786388.0,1659730.0,1858485.0,3323284.0,3517411.0,4487372.0,3650076.0
1,Australia,1877255.886,1443748.36,1924420.929,2377687.071,1968431.794,2307553.585,2830978.065,1864723.485,1963709.138,2900699.058,2430884.931,1920920.799,2697415.39,786004.0,754424.0,712651.0,1092518.0,1077699.0,1108030.0,961972.0,1299852.0,849234.0,968208.0,856099.0,676811.0,859680.0,947959.0,868124.0,1270184.0,1235720.0,867603.0,1594961.0,1138994.0,1026624.0,966964.0,642122.0,825624.0
2,Indonesia,0.0,0.0,0.0,0.0,50294.987,97658.17,288593.296,126379.681,232063.026,548194.966,387170.461,350377.28,354356.601,5153551.0,6215294.0,6048418.0,5871743.0,6129702.0,5686329.0,4845227.0,7217726.0,7021387.0,7665198.0,8156930.0,8210455.0,9065037.0,8581093.0,7986914.0,8471904.0,7775700.0,5448492.000020001,5649283.0,6576820.0,7738605.0,7025418.0,8829939.0,7517136.299999999
3,Brazil,318557.933,257702.777,108681.465,207046.904,269043.707,527617.182,369223.188,308248.74,300421.166,145043.863,100988.722,103774.32199999999,191915.241,0.0,0.0,145348.0,144690.0,0.0,293413.0,146097.0,146465.0,309494.0,337696.0,218572.0,149222.0,146886.0,292412.0,0.0,0.0,144814.0,287643.0,0.0,295180.0,0.0,0.0,0.0,0.0
4,Solomon Islands,105112.5,105718.92,54750.0,202953.85,98476.5,155249.65,163112.62,51900.0,220035.16,219600.57,206985.23,59827.5,174189.0,107235.0,168428.0,157242.0,113535.0,168833.0,111817.0,113528.0,160763.0,122101.0,149721.0,76610.0,23798.0,54825.0,48598.0,114006.0,51300.0,221663.0,102225.0,118658.0,55350.0,171002.0,111474.0,48765.0,214164.0
5,Malaysia,481148.477,622942.762,719614.214,915821.475,651435.181,549995.242,75360.774,87936.39,97675.2,0.0,0.0,29486.04,22145.96,0.0,0.0,35130.0,52606.0,107156.0,48530.0,48406.0,44229.0,115694.0,0.0,46717.0,46523.0,138435.0,120101.0,68280.0,84087.0,149859.0,0.0,65473.0,0.0,33479.0,0.0,0.0,98252.0
6,Jamaica,0.0,0.0,41871.2,68166.4,39602.4,0.0,0.0,29916.0,85129.6,84264.11999999998,87162.72,46248.0,91780.14000000001,0.0,278433.0,76332.0,46432.0,90791.0,41142.0,82409.0,48795.0,59365.0,0.0,0.0,69510.0,204885.0,0.0,0.0,25928.0,61369.0,28315.0,8208.0,13062.0,0.0,15583.0,46901.0,0.0
7,Vietnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,50428.0,51838.0,0.0,102673.0,101801.0,0.0,0.0,87459.0,51194.0,40573.0,0.0,0.0,0.0,42018.0,0.0,0.0,56201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Ghana,106823.5,184050.0,41450.5,0.0,43903.86,49183.0,99256.51,112586.547,47350.0,10179.0,116249.0,51202.0,0.0,0.0,116422.0,0.0,107507.0,0.0,58491.0,0.0,111516.0,0.0,107205.0,50999.0,123511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116700.0
9,India,319854.09,327862.57,390835.532,318143.689,159720.299,54627.58,104799.4,97085.719,0.0,67250.956,0.0,0.0,0.0,0.0,0.0,210375.0,172653.0,113997.0,55320.0,0.0,57254.0,43269.0,0.0,0.0,165611.0,161381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Montenegro,0.0,145165.048,67959.514,60499.587,87827.27199999998,0.0,87156.40399999998,69188.565,68286.933,90634.058,74581.61199999998,59603.595,0.0,0.0,0.0,0.0,57741.0,0.0,0.0,0.0,0.0,70750.0,0.0,60870.0,0.0,61783.0,0.0,58498.0,69030.0,0.0,0.0,46766.0,86795.0,63936.0,80178.0,0.0,0.0
11,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61180.0,0.0,0.0,52129.0,0.0,0.0,5324.0,73372.0,501.0,61151.0,0.0,0.0,1069.0,124548.0,0.0,49404.0,73331.0,0.0
13,Sierra Leone,0.0,50535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
