,Month,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
0,AUS HT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.26591767027833,46.42770625902018,48.08528896019763,49.06894676376303,47.75491062092975,46.96027495873002,45.33479826348999,50.574249084838144,44.242188526830056,47.14340798870438,46.03518207607818,43.698952002387294,44.0580608949891,43.4707977890348,44.35742600888854,44.60002066880144,45.54800019948135,43.670819755782404,42.42588202795902,43.028378697823776,42.67871514096657,43.183779531852686,43.42415415409326,43.108661250910295
1,AUS LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.82603898055265,47.59270211175612,45.373190064461355,45.371781574942254,44.68933622102398,45.85775448745001,44.072094120897475,45.831543241768586,44.34700319672051,44.71208942013864,45.093576844479685,46.88248849430853,45.73442839365086,44.00516523198577,44.48908808549978,44.01324873165213,43.63400589758521,43.86512085867322,43.81896126968753,43.45167510130434,43.907532261466926,43.98434241409827,44.165933878873645,44.120997935249044
2,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.69080621303233,56.680824972744034,57.32765727965904,58.4057443846328,59.01777441174695,64.39292634528812,65.60648073260148,60.626854252690364,60.941353694951104,59.03068764934879,57.890018784630136,60.02076597091382,61.49833469106768,56.807506770279105,53.71633112758068,52.93872048270168,54.96745137055744,54.205604703860644,56.09752042790692,53.764050178804105,50.87737254689433,48.700530500842994,49.332527867843076,51.888713813242475
3,Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.25168651526843,53.147474208354254,52.289218090639245,49.62552788480165,47.801618896179704,50.1187695775395,50.50577428888151,52.48851117113114,49.96408354406455,49.69292875904927,49.47481603557604,50.057599232353475,49.55835444981685,49.44862183900775,49.43057323932489,46.74580493259635,46.637918214302395,48.09185188727365,49.04208607614678,51.22974584659996,51.421084902636956,50.968302717032536,48.57277439735768,48.53102368420368
4,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.2,64.8,0.0,62.29148810720724,64.8,65.1,65.22122529031256,66.4479099545153,65.20851161173435,64.9,65.5,65.102377467409,0.0,0.0,65.4,63.99794571743446,0.0,64.00072294870925,0.0,0.0,0.0,0.0
