index,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
23,"Kuantan & Johor,[$/dmt 40.8,[1.1 mln dmt]","Kuantan & Johor,[$/dmt 40.8,[8.16 mln dmt]", , ,"Metro BH1,[$/dmt 44.1,[0.21 mln dmt]","Amrun,[$/dmt 41.3,[0.52 mln dmt]", ,"AMRUN HT,[$/dmt 42.3,[5.28 mln dmt]","AMRUN HT,[$/dmt 42.2,[5.58 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Juruti,[$/dmt 42.4,[0.77 mln dmt]","Metro Blend,[$/dmt 42.5,[1.93 mln dmt]","Metro Blend,[$/dmt 42.5,[1.92 mln dmt]","Metro Blend,[$/dmt 42.5,[3.07 mln dmt]","Metro Blend,[$/dmt 42.5,[2.99 mln dmt]","Metro Blend,[$/dmt 42.5,[2.25 mln dmt]", , , , , , 
24, , , ,"MRN,[$/dmt 41.9,[1.15 mln dmt]", , , ,"AGB2A,[$/dmt 42.8,[1.03 mln dmt]","AGB2A,[$/dmt 42.5,[1.68 mln dmt]","AGB2A,[$/dmt 43.2,[1.68 mln dmt]","AGB2A,[$/dmt 43.2,[2.24 mln dmt]","AGB2A,[$/dmt 43.2,[3.03 mln dmt]","AGB2A,[$/dmt 43.2,[3.03 mln dmt]","AGB2A,[$/dmt 43.2,[3.03 mln dmt]","AGB2A,[$/dmt 43.2,[3.03 mln dmt]","AGB2A,[$/dmt 43.2,[3.36 mln dmt]","AGB2A,[$/dmt 43.2,[3.36 mln dmt]","AGB2A,[$/dmt 43.2,[3.36 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]","AGB2A,[$/dmt 43.2,[9.0 mln dmt]"
25, , , ,"Juruti,[$/dmt 41.9,[0.31 mln dmt]", , , , , , , , , , , , , , , , , , , , , , , 
26,"MRN,[$/dmt 41.5,[0.29 mln dmt]","MRN,[$/dmt 41.5,[0.73 mln dmt]", ,"AMR,[$/dmt 42.1,[1.46 mln dmt]", , , , , , , , , , , , , , , , , , , , , , , 
27, , , , ,"Kuantan & Johor,[$/dmt 46.9,[0.19 mln dmt]","CBG,[$/dmt 44.0,[0.39 mln dmt]", , , , , , , , , , , , , , , , , , , , , 
28, , , , ,"CBG,[$/dmt 47.2,[0.16 mln dmt]","Awaso,[$/dmt 44.6,[0.13 mln dmt]", , ,"MRN,[$/dmt 46.6,[1.26 mln dmt]","MRN,[$/dmt 47.3,[1.26 mln dmt]", , , , , , , , ,"MRN,[$/dmt 47.3,[2.85 mln dmt]","MRN,[$/dmt 47.3,[2.85 mln dmt]","MRN,[$/dmt 47.3,[2.85 mln dmt]","MRN,[$/dmt 47.3,[2.85 mln dmt]","MRN,[$/dmt 47.3,[2.85 mln dmt]","MRN,[$/dmt 47.3,[2.85 mln dmt]","MRN,[$/dmt 47.3,[2.85 mln dmt]","MRN,[$/dmt 47.3,[2.85 mln dmt]","MRN,[$/dmt 47.3,[2.85 mln dmt]"
29, , , , , , , , ,"Awaso,[$/dmt 47.0,[0.42 mln dmt]","Awaso,[$/dmt 48.2,[0.42 mln dmt]","Awaso,[$/dmt 48.2,[0.42 mln dmt]","Awaso,[$/dmt 48.2,[0.42 mln dmt]","Awaso,[$/dmt 48.2,[0.42 mln dmt]","Awaso,[$/dmt 48.2,[0.42 mln dmt]","Awaso,[$/dmt 48.2,[0.42 mln dmt]","Awaso,[$/dmt 48.2,[0.42 mln dmt]","Awaso,[$/dmt 48.2,[0.53 mln dmt]","Awaso,[$/dmt 48.2,[0.53 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]","Awaso,[$/dmt 48.2,[1.2 mln dmt]"
30,"Awaso,[$/dmt 42.9,[0.37 mln dmt]","Awaso,[$/dmt 42.9,[0.33 mln dmt]", ,"Kuantan & Johor,[$/dmt 42.4,[1.64 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 47.7,[0.02 mln dmt]","Mokanji,[$/dmt 45.7,[0.04 mln dmt]", , , , , , , , , , , , , , , , , , , , , 
31,"Aurum Xinfa-Fiji,[$/dmt 43.1,[0.14 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 43.1,[0.06 mln dmt]","Kuantan & Johor,[$/dmt 37.3,[2.59 mln dmt]","Discovery Bay,[$/dmt 42.4,[0.15 mln dmt]","Awaso,[$/dmt 47.9,[0.25 mln dmt]", , , , , , , , , , , , , ,"Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[0.6 mln dmt]"
32, , ,"Aurum Xinfa-Fiji,[$/dmt 37.6,[0.02 mln dmt]", , , , , ,"Gujarat & Maharashtra,[$/dmt 48.3,[2.7 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[8.0 mln dmt]"
