Rank,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
25,,,,,,,,Discovery Bay,Dabiss N,SMB Kaboye,Dabiss N,SMB Kaboye,SMB Kaboye,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,,,,,,,,,
26,,,,,,,,Aurukun,Ashapura Guinea,Dabiss N,SMB Dabiss S,Dabiss N,Dabiss N,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,,,,,,,,,
27,,,,,,,,,Discovery Bay,SMB Dabiss S,Kuantan & Johor,SMB Dabiss S,SMB Dabiss S,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,,,,,,,,,
28,,,,,,,,,Aurukun,Kuantan & Johor,Aurukun,Kuantan & Johor,Kuantan & Johor,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,,,,,,,,,
29,,,,,,,,,,Aurukun,,Aurukun,Aurukun,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,
