2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
GAC,GAC,Solomon Islands,GAC,Huntly,Dian Dian,Metro LT,West Kalimantan,West Kalimantan,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1
SPIC,SPIC,West Kalimantan,Mokanji,GAC,Other,Huntly,Solomon Islands,Solomon Islands,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan
West Kalimantan,West Kalimantan,Henan-Chine,Alufer (Bel Air),Weipa,Weipa,Weipa,Huntly,Huntly,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa
Solomon Islands,Solomon Islands,Other,Henan-Chine,Alufer (Bel Air),West Kalimantan,Metro BH1,Metro Blend,GAC,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly
Henan-Chine,Henan-Chine,Dynamic,AMC,Dynamic,Solomon Islands,GAC,GAC,Metro Blend,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC
Juruti,Juruti,AMC,Weipa,Henan-Chine,Huntly,Dynamic,Weipa,Weipa,Metro Blend,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic
Dynamic,Dynamic,Juruti,Dynamic,AMC,GAC,CBG,Dynamic,Dynamic,Dynamic,Metro Blend,Metro Blend,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG
CBG,CBG,CBG,AGB2A,Mokanji,Dynamic,Metro Blend,CBG,CBG,CBG,CBG,CBG,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine
Amrun,Amrun,AGB2A,Awaso,AGB2A,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Metro Blend,Metro Blend,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC
AMRUN HT,AMRUN HT,SMB Malapouya,SMB Malapouya,Juruti,Alufer (Bel Air),AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air)
AMC,AMC,MRN,CBG,Amrun,AMC,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun
AGB2A,AGB2A,Awaso,GDM,Metro LT,Juruti,Amrun,Juruti,Juruti,Amrun,Amrun,Amrun,Amrun,Amrun,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT
Metro LT,Metro LT,GDM,SMB Santou-Houda,SMB Malapouya,AGB2A,AMRUN HT,Amrun,Amrun,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,Metro Blend,Metro Blend,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti
Kuantan & Johor,Kuantan & Johor,SPIC,Chalco Boffa,Metro BH1,Amrun,Juruti,AMRUN HT,AMRUN HT,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend,Metro Blend
Metro BH1,Metro BH1,SMB Santou-Houda,MRN,GDM,SMB Malapouya,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A
SMB Malapouya,SMB Malapouya,Chalco Boffa,Juruti,SMB Santou-Houda,GDM,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya,SMB Malapouya
MRN,MRN,Amrun,AMR,Chalco Boffa,SMB Santou-Houda,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM
Discovery Bay,Discovery Bay,AMRUN HT,Amrun,Kuantan & Johor,CBG,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda
GDM,GDM,Metro LT,AMRUN HT,CBG,Awaso,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN
SMB Santou-Houda,SMB Santou-Houda,AMR,Metro LT,AMR,AMR,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso
Awaso,Awaso,Metro BH1,Kuantan & Johor,Aurum Xinfa-Fiji,Mokanji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR
Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Kuantan & Johor,Discovery Bay,Awaso,Rundi,AMR,AMR,AMR,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji
Chalco Boffa,Chalco Boffa,Aurum Xinfa-Fiji,Metro BH1,Rundi,Aurum Xinfa-Fiji,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra
Gujarat & Maharashtra,Gujarat & Maharashtra,SMB Kaboye,SMB Kaboye,Dabiss N,MRN,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi,Rundi
AMR,AMR,Rundi,Aurum Xinfa-Fiji,SMB Kaboye,SMB Kaboye,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji
Metro Blend,Metro Blend,Discovery Bay,Rundi,MRN,Dabiss N,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye
SMB Kaboye,SMB Kaboye,SMB Dabiss S,SMB Dabiss S,Gujarat & Maharashtra,Gujarat & Maharashtra,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N
Rundi,Rundi,Gujarat & Maharashtra,Dabiss N,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay,Discovery Bay
SMB Dabiss S,SMB Dabiss S,Dabiss N,Gujarat & Maharashtra,SPIC,Ashapura Guinea,Kuantan & Johor,Ashapura Guinea,Ashapura Guinea,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S
Dabiss N,Dabiss N,Ashapura Guinea,Ashapura Guinea,Metro Blend,Discovery Bay,Ashapura Guinea,Kuantan & Johor,Kuantan & Johor,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea
Ashapura Guinea,Ashapura Guinea,Metro Blend,Metro Blend,Discovery Bay,Kuantan & Johor,Discovery Bay,Discovery Bay,Discovery Bay,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor
Aurukun,Aurukun,Dom. Rep.,Dom. Rep.,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun
Dom. Rep.,Dom. Rep.,Mirai,Aurukun,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica
Metallica,Metallica,Aurukun,Mirai,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.,Dom. Rep.
Mirai,Mirai,Metallica,Metallica,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai,Mirai
Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para,Rondon do Para
