2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,AMRUN HT,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa
Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Metro BH1 Xinfa,Metro LT,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa
Gove,Gove,Gove,Vietnam Others,Ashapura Guinea,Metro BH1,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply
Vietnam Others,Vietnam Others,Vietnam Others,Gove,Weiqiao Self Supply,Metro Blend,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC
Dian Dian,Dian Dian,Dian Dian,Dian Dian,Vietnam Others,AMRUN HT,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove,Gove
Other,Other,Mokanji,Solomon Islands,Gove,Metro BH1 Xinfa,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others
Weipa,Weipa,Huntly,Huntly,Other,Weiqiao Self Supply,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other,Other
Mokanji,Mokanji,Alufer (Bel Air),SPIC,Dian Dian,SPIC,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian
Huntly,Huntly,GAC,Other,Solomon Islands,Gove,West Kalimantan,Metro LT,Metro LT,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands
Alufer (Bel Air),Alufer (Bel Air),Weipa,West Kalimantan,West Kalimantan,Vietnam Others,Solomon Islands,Metro BH1,Metro BH1,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT
