Rank,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0,0.0,0.0,0.0,0.0,0.0,0.0,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa,Chalco Boffa
1,0.0,0.0,0.0,0.0,Metro BH1 Xinfa,Metro LT,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa,Metro BH1 Xinfa
2,Gove,Gove,Gove,Vietnam Others,Ashapura Guinea,Metro BH1,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,Weiqiao Self Supply,0,0,0,0,0,0,0,0,0
3,Vietnam Others,Vietnam Others,Vietnam Others,Gove,Weiqiao Self Supply,Metro Blend,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC,SPIC
4,0,0,0,Dian Dian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Other,Other,Mokanji,Solomon Islands,Gove,Metro BH1 Xinfa,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others,Vietnam Others
6,Weipa,0,0,Huntly,Other,Weiqiao Self Supply,Other,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,SPIC,0,0,0,0,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,Dian Dian,0,0,0,0,0,0,0,0,0
8,Huntly,Huntly,GAC,Other,Solomon Islands,Gove,West Kalimantan,Metro LT,Metro LT,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alufer (Bel Air),Alufer (Bel Air),Weipa,West Kalimantan,West Kalimantan,0,0,0,0,0,0,0,0,0,0,0,0,0,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT,Metro LT
10,GAC,GAC,Solomon Islands,0,0,0,Metro LT,West Kalimantan,West Kalimantan,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1,Metro BH1
11,0,0,0,Mokanji,GAC,Other,Huntly,Solomon Islands,Solomon Islands,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan,West Kalimantan
12,West Kalimantan,West Kalimantan,Henan-Chine,Alufer (Bel Air),Weipa,Weipa,Weipa,Huntly,Huntly,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa,Weipa
13,Solomon Islands,Solomon Islands,Other,Henan-Chine,Alufer (Bel Air),West Kalimantan,Metro BH1,Metro Blend,GAC,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly,Huntly
14,0,0,0,0,0,0,0,0,Metro Blend,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC,GAC
15,0,0,0,0,0,0,Dynamic,Weipa,Weipa,Metro Blend,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic,Dynamic
16,0,Dynamic,Juruti,Dynamic,AMC,GAC,CBG,Dynamic,Dynamic,Dynamic,Metro Blend,Metro Blend,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG,CBG
17,0,0,0,0,0,0,0,0,0,0,0,CBG,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,Henan-Chine,Henan-Chine,Henan-Chine,Metro Blend,Metro Blend,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC,AMC
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),0,0,0,0,0,0
20,AMC,AMC,MRN,CBG,Amrun,AMC,Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),Alufer (Bel Air),0,0,0,0,0,0,0,0,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun,Amrun
21,0,0,0,GDM,Metro LT,Juruti,Amrun,Juruti,Juruti,Amrun,Amrun,Amrun,Amrun,Amrun,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT
22,0,0,GDM,0,0,0,AMRUN HT,Amrun,Amrun,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,AMRUN HT,Metro Blend,Metro Blend,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti,Juruti
23,0,0,0,0,Metro BH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,SMB Malapouya,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A,AGB2A
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,Amrun,AMR,Chalco Boffa,SMB Santou-Houda,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM,GDM
27,0,Discovery Bay,AMRUN HT,Amrun,Kuantan & Johor,CBG,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda,SMB Santou-Houda
28,0,0,Metro LT,AMRUN HT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,Awaso,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,Mokanji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,AMR,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,Aurum Xinfa-Fiji,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,Gujarat & Maharashtra,0,0,0,0,0,0,0,0,0
33,0,0,0,0,Dabiss N,MRN,Rundi,Rundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji,Mokanji
35,0,0,0,0,0,0,0,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye,SMB Kaboye
36,0,SMB Kaboye,SMB Dabiss S,SMB Dabiss S,Gujarat & Maharashtra,Gujarat & Maharashtra,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N,Dabiss N
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,SPIC,0,0,0,Ashapura Guinea,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,SMB Dabiss S,0,0,0,0,0,0,0,0,0
39,0,0,0,Ashapura Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,Metro Blend,Discovery Bay,Kuantan & Johor,Discovery Bay,Discovery Bay,Discovery Bay,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,Kuantan & Johor,0,0,0,0,0,0,0,0,0
41,0,0,0,0,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,Aurukun,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica,Metallica
43,0,0,0,0,0,Dom. Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
