Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Alufer (Bel Air),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.24894318,41.24894318,41.24894318,0.0,0.0,0.0,0.0,0.0,0.0
Amrun,39.3854715,39.3854715,33.66560224,38.713432399999995,43.36076609,38.1644024,41.61206247,40.86668586,40.58733988,41.24894318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768
AMRUN HT,0.0,0.0,0.0,38.75443121,43.51629769,38.76788525,42.65601815,41.991645399999996,41.64662191,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768
Juruti,0.0,0.0,34.40218133,0.0,0.0,0.0,42.65601815,42.345525200000004,42.20211533,41.41711768,41.41711768,41.41711768,41.41711768,41.41711768,41.57755155,42.050015,42.38301048,42.38301048,42.38301048,42.38301048,42.38301048,42.38301048,42.38301048,42.38301048,42.38301048,42.38301048,42.38301048
Metro Blend,0.0,0.0,0.0,0.0,44.13998551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGB2A,0.0,0.0,0.0,0.0,0.0,41.45893047,43.52178414,42.797278399999996,42.5234436,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603,43.17152603
SMB Malapouya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDM,0.0,0.0,35.78017815,42.05010278,45.077175700000005,43.06784035,45.73974281,45.02159899,44.74842244,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699,45.39494699
SMB Santou-Houda,0.0,42.25971999,35.78017815,42.16840491,46.88725774,44.01928717,46.54116025,45.8343229,45.56693127,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471,46.19976471
MRN,0.0,0.0,36.42122908,42.16840491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Awaso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.524564700000006,47.01311266,48.24493537,48.24493537,48.24493537,48.24493537,48.24493537,48.24493537,48.24493537,48.24493537,48.24493537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMR,0.0,0.0,0.0,0.0,0.0,45.72964943,48.73913938,48.16009686,47.88047791,48.54742944,48.54742944,48.54742944,48.54742944,48.54742944,48.54742944,48.54742944,48.54742944,48.54742944,48.54742944,48.54742944,48.54742944,0.0,0.0,0.0,0.0,0.0,0.0
Aurum Xinfa-Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gujarat & Maharashtra,0.0,0.0,0.0,0.0,0.0,45.95178535,49.19607309,48.6277672,48.34652977,49.11343465,49.11343465,49.11343465,49.11343465,49.11343465,49.11343465,49.11343465,49.11343465,49.11343465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rundi,0.0,0.0,0.0,0.0,48.78219236,45.97932713,49.49560754,48.76116562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mokanji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261,49.68593261
SMB Kaboye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.36224125,49.06706867,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103,49.76565103
Dabiss N,0.0,46.38684744,39.21112175,44.34776327,49.62562999,47.04277402,50.32786191,49.63685712,49.36946549,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893,50.00229893
Discovery Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMB Dabiss S,0.0,0.0,0.0,0.0,50.38657963,0.0,0.0,0.0,51.678226,50.86064974,50.86064974,50.86064974,50.86064974,50.86064974,50.86064974,50.86064974,50.86064974,50.86064974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashapura Guinea,0.0,0.0,0.0,46.88756526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kuantan & Johor,0.0,0.0,0.0,50.19246853,53.37337012,50.90736256,53.95739331,52.88501459,52.37112133,52.58021868,52.58021868,52.58021868,52.58021868,52.58021868,52.58021868,52.58021868,52.58021868,52.58021868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aurukun,0.0,0.0,0.0,0.0,62.33486906,58.87931973,60.28766084,59.95712946,59.80094383,56.14308417,56.14308417,56.14308417,56.14308417,56.14308417,56.14308417,56.14308417,56.14308417,56.14308417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metallica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.19904574,61.19904574,61.19904574,61.19904574,61.19904574,61.19904574,61.19904574,61.19904574,61.19904574
Dom. Rep.,0.0,0.0,0.0,0.0,0.0,61.25098735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rondon do Para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
