,snapshot_id,model_id,output_set,output_lebel,outrow,output_value,override_value,actual_value,output_id
0,2,5,51,index,0,0,,,122
1,2,5,51,Name,0,Chalco Boffa,,,84
2,2,5,51,Year,0,2014,,,95
3,2,5,51,51,0,0.0,,,112
4968,2,5,467,index,0,0,,,122
4969,2,5,467,Name,0,Chalco Boffa,,,84
4970,2,5,467,Year,0,2014,,,95
4971,2,5,467,467,0,33.0,,,146
9936,2,5,542,index,0,0,,,122
9937,2,5,542,Year,0,2014,,,95
9938,2,5,542,542,0,Metro BH1 Xinfa,,,108
13662,2,5,121 And 1723,level_0,0,0,,,78
13663,2,5,121 And 1723,index,0,Identified Supply,,,122
13664,2,5,121 And 1723,Year,0,2014,,,95
13665,2,5,121 And 1723,121 And 1723,0,14.017216528999999,,,134
13734,2,5,709,index,0,0,,,122
13735,2,5,709,Name,0,Chalco Boffa,,,84
13736,2,5,709,Year,0,2014,,,95
13737,2,5,709,709,0,10.0,,,118
18702,2,5,1709 & 25,index,0,0,,,122
18703,2,5,1709 & 25,Years,0,Pure Demand,,,101
18704,2,5,1709 & 25,Year,0,2014,,,95
18705,2,5,1709 & 25,1709 & 25,0,14.85,,,135
18806,2,5,1711,index,0,0,,,122
18807,2,5,1711,Years,0,Total Demand,,,101
18808,2,5,1711,Year,0,2014,,,95
18809,2,5,1711,1711,0,13.948394684078648,,,116
18910,2,5,864,index,0,0,,,122
18911,2,5,864,Name,0,Chalco Boffa,,,84
18912,2,5,864,Year,0,2014,,,95
18913,2,5,864,864,0,0.0,,,109
23878,2,5,937,index,0,0,,,122
23879,2,5,937,Name,0,Chalco Boffa,,,84
23880,2,5,937,Year,0,2014,,,95
23881,2,5,937,937,0,0.0,,,98
28846,2,5,1012,index,0,0,,,122
28847,2,5,1012,Name,0,Chalco Boffa,,,84
28848,2,5,1012,Year,0,2014,,,95
28849,2,5,1012,1012,0,0.0,,,85
33814,2,5,1088,index,0,0,,,122
33815,2,5,1088,Name,0,Chalco Boffa,,,84
33816,2,5,1088,Year,0,2014,,,95
33817,2,5,1088,1088,0,0.0,,,111
38782,2,5,1165 And Who Ia At Margin R10,index,0,0,,,122
38783,2,5,1165 And Who Ia At Margin R10,Rank,0,0,,,149
