Region,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Africa,0.46133635599999995,0.48810561900000005,4.660809245,10.221828874,13.981574376000001,18.132450672,23.12038576,27.620424200000002,33.203230350000005,41.67031785,49.784763090000006,45.53101590000001,45.90541590000001,46.243307400000006,47.759267400000006,54.7657674,53.668127399999996,50.691428996,72.45,72.45,72.45,72.45,72.45,72.45,72.45,72.45,72.45
Americas,0.8660461500000001,1.144969202,2.080201949,1.6148943709999999,1.092262047,0.9135,,0.7695,2.02635,2.02635,1.6425,0.7695,0.7695,0.7695,1.6425,1.6425,1.8438750000000002,1.8438750000000002,12.17,6.17,13.17,13.17,13.17,13.17,13.17,13.17,13.17
Asia ex-China,6.458565403000001,11.035688355,4.285492745,3.116198556,3.690535749,5.82122142,6.3991071,4.8547071,3.8503071,3.3751071,3.3751071,3.3751071,3.3751071,3.3751071,3.3751071,3.3751071,3.3751071,3.3751071,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Australasia,6.231268620000001,7.715652096,8.311079028,10.438427789999999,12.203975112,13.644602103,16.752729966000004,17.419043817000002,17.424682906,18.991979993,19.726033269000002,19.71743137,19.708692400000004,19.699825325,19.690833092000002,19.681713589000005,19.672459259000004,19.663293049000004,62.95,67.94,66.35,63.9,66.9,66.9,66.9,66.9,66.9
Other,,0.057674659,0.16652826199999998,0.316981132,0.206713208,0.22641509399999998,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.188679245,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
