Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
SMB Santou-Houda,11.05,16.78,15.12,17.85,27.52,34.51,46.29,50.58,52.1,58.29,60.06,62.88,62.87,63.2,64.3,64.63,63.4,63.61,124.92,124.91,123.32,118.87,118.87,118.87,118.87,118.87,118.87
MRN,11.05,16.78,15.12,17.85,27.68,34.64,46.29,50.58,53.36,59.55,60.06,62.88,62.87,63.2,64.3,64.63,63.4,63.61,127.77,127.76,126.17,121.72,121.72,121.72,121.72,121.72,121.72
Awaso,11.05,16.78,15.12,17.85,27.68,34.64,46.29,50.58,53.78,59.97,60.48,63.3,63.29,63.62,64.72,65.05,63.94,64.14,128.97,128.96,127.37,122.92,122.92,122.92,122.92,122.92,122.92
AMR,11.42,17.11,15.12,19.49,27.7,34.68,46.29,50.58,53.78,59.97,60.48,63.3,63.29,63.62,64.72,65.05,63.94,64.14,128.97,128.96,127.37,122.92,122.92,122.92,122.92,122.92,122.92
Aurum Xinfa-Fiji,11.56,17.17,17.71,19.64,27.95,34.68,46.29,50.58,53.78,59.97,60.48,63.3,63.29,63.62,64.72,65.05,63.94,64.14,129.57,129.56,127.97,123.52,123.52,123.52,123.52,123.52,123.52
Gujarat & Maharashtra,11.56,17.17,17.73,19.64,27.95,34.68,46.29,50.58,56.47,62.88,63.4,66.21,66.2,66.53,67.63,67.96,66.85,67.06,137.57,137.56,135.97,131.52,131.52,131.52,131.52,131.52,131.52
Rundi,13.44,20.03,17.73,22.7,27.95,35.0,46.29,50.58,56.47,63.24,66.77,67.58,66.84,68.58,71.38,71.71,70.6,70.8,137.57,137.56,135.97,131.52,131.52,131.52,131.52,131.52,131.52
Mokanji,13.44,20.03,17.73,22.74,27.95,35.0,46.29,50.58,56.47,63.24,67.17,67.58,66.84,68.58,71.78,72.11,71.0,71.2,137.57,137.56,135.97,131.52,131.52,131.52,131.52,131.52,131.52
SMB Kaboye,13.44,20.03,17.73,22.74,28.16,35.0,46.29,50.58,56.47,63.24,67.17,67.58,66.84,68.58,71.78,72.11,71.0,71.2,137.57,137.56,135.97,131.52,131.52,131.52,131.52,131.52,131.52
Dabiss N,13.44,20.03,17.73,24.93,28.4,35.14,46.29,50.58,56.47,63.24,67.17,67.58,66.84,68.58,71.78,72.11,71.0,71.2,137.57,137.56,135.97,131.52,131.52,131.52,131.52,131.52,131.52
Discovery Bay,13.44,20.03,19.39,24.93,30.77,38.5,46.29,50.58,56.47,63.24,68.05,67.58,66.84,68.58,72.07,72.98,72.08,72.28,140.07,140.06,138.47,134.02,134.02,134.02,134.02,134.02,134.02
SMB Dabiss S,13.44,20.03,19.39,25.71,30.77,38.5,46.29,50.58,56.47,63.24,68.73,67.58,66.84,68.58,72.07,73.35,73.91,74.65,140.07,140.06,138.47,134.02,134.02,134.02,134.02,134.02,134.02
Ashapura Guinea,13.44,20.03,19.39,25.71,30.77,38.5,46.29,50.58,56.47,63.24,68.73,67.58,66.84,68.58,72.07,73.35,73.91,74.65,140.07,140.06,138.47,134.02,134.02,134.02,134.02,134.02,134.02
Kuantan & Johor,13.44,20.03,19.39,25.71,31.01,38.5,46.29,50.58,56.47,63.24,68.73,67.58,66.84,68.58,72.07,73.35,73.91,74.65,140.07,140.06,138.47,134.02,134.02,134.02,134.02,134.02,134.02
Aurukun,13.44,20.03,19.49,25.71,31.01,38.5,46.29,50.58,56.47,63.24,68.73,67.58,66.84,68.58,72.07,73.35,73.91,74.65,150.07,153.73,153.47,151.02,154.02,154.02,154.02,154.02,154.02
Metallica,13.95,20.44,19.5,25.71,31.01,38.5,46.29,50.58,56.47,63.24,68.73,67.58,66.84,68.58,72.07,73.35,73.91,74.65,150.07,153.73,153.47,151.02,154.02,154.02,154.02,154.02,154.02
Dom. Rep.,13.95,20.44,19.5,25.71,31.01,38.5,46.29,50.58,56.47,63.24,68.73,67.58,66.84,68.58,72.07,73.35,73.91,74.65,152.07,153.73,155.47,153.02,156.02,156.02,156.02,156.02,156.02
Mirai,13.95,20.44,19.5,25.71,31.01,38.5,46.29,50.58,56.47,63.24,68.73,67.58,66.84,68.58,72.07,73.35,73.91,74.65,156.07,153.73,157.74,158.02,161.02,161.02,161.02,161.02,161.02
Rondon do Para,13.95,20.44,19.5,25.71,31.01,38.5,46.29,50.58,56.47,63.24,68.73,67.58,66.84,68.58,72.07,73.35,73.91,74.65,156.07,153.73,157.74,158.02,161.02,161.02,161.02,161.02,161.02
