Region,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Africa,2.4950211402547913,3.560316968874192,12.912670531223778,24.601219375253965,34.089318748919965,21.15861244947087,51.41438472551923,53.43000778520613,68.01339938567045,91.51710871784307,95.97315271053203,103.91170189230954,99.80151380980645,99.21858234004081,108.56736730241857,108.27461047269821,106.99405955906806,107.6311704580591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Americas,0.0,0.030801246476082463,4.592544775749469,0.0,5.594004405509658,3.1162131511854056,13.139143005391412,12.093672106240389,16.00393346976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8105263161380019,2.715789474207003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia ex-China,5.059643595958758,7.081212778075684,7.574066052744036,11.69635718113899,1.4387135615489441,12.26106656518956,25.635983898995008,22.672992878022495,23.49603814552251,39.51753178452169,44.689750863321606,44.689750863321606,44.689750863321606,45.78714455332164,46.335841398321605,46.61018982082163,47.118712548043476,37.991793406189856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australasia,23.913980076611313,40.06593617160303,20.36836314413663,24.98442115163865,34.954585406810644,71.0109525815713,20.18509577450051,37.8903651422216,45.52379574351234,40.6266319168035,45.39912462263728,35.22124832085934,38.05013389637838,42.23463091147029,42.6227657179675,45.90685714930803,42.57238456324537,50.75088964109311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other,4.970125819050001,7.5780166751,3.653755101500001,4.3466625,7.9164889056000005,0.4498586999999996,15.740999999999998,11.648339999999994,1.2592799999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
