Exporter,Importer,Mln t
Guinea,China,27.1
Australia,China,45.7
Indonesia,China,16.4
Brazil,China,1.2
Solomon Islands,China,0.0
Malaysia,China,0.8
Other,China,0.6
Guinea,Spain,3.7
Guinea,Ukraine,3.5
Guinea,Ireland,3.0
Guinea,Germany,2.4
Guinea,Other,2.9
Jamaica,United States,3.6
Brazil,Canada,2.7
Brazil,Ireland,1.5
Other,Not available,0.0
Seaborne,Not available,125.4
China Portion,Not available,93.5
