Exporter,Importer,Mln t,Last Year
Guinea,China,36.7581934,9.265078884383563
Australia,China,28.87425265,7.277893818630137
Indonesia,China,10.07108369,2.538464930082192
Brazil,China,2.388594183,0.6020566159890411
Solomon Islands,China,1.572636461,0.39639056003287676
Malaysia,China,1.029084023,0.25938556196164386
Other,China,2.670808217,0.673190016339726
Guinea,Spain,3.985618161,1.0045941666082192
Guinea,Ukraine,3.672602078,0.9256969621260274
Guinea,Ireland,3.096880851,0.7805836665534246
Guinea,Germany,2.669586857,0.6728821666958904
Guinea,Other,2.185634903,0.5508997563726027
Jamaica,United States,3.055167699,0.7700696665972602
Brazil,Canada,2.354219087,0.593392208230137
Brazil,Ireland,1.574205326,0.3967859999780822
Other,Not available,9.53433632,2.403175182027397
Seaborne,Not available,115.4929039,29.11054016109589
China Portion,Not available,83.36465263,21.012460388931505
